# 
T	Delay	
50.1023506	0.1	06-03-24 14:31:23.102857
50.0861218	0.1	06-03-24 14:31:23.309991
50.0680898	0.1	06-03-24 14:31:23.512244
50.0644833	0.1	06-03-24 14:31:23.736991
50.0771058	0.1	06-03-24 14:31:23.922416
50.0987442	0.1	06-03-24 14:31:24.222883
50.1257923	0.1	06-03-24 14:31:24.434213
50.1375131	0.1	06-03-24 14:31:24.648107
50.1420211	0.1	06-03-24 14:31:24.839383
50.1447259	0.1	06-03-24 14:31:25.040337
50.1537419	0.1	06-03-24 14:31:25.239210
50.1708724	0.1	06-03-24 14:31:25.441390
50.176282	0.1	06-03-24 14:31:25.666962
50.1916092	0.1	06-03-24 14:31:25.865852
50.1925108	0.1	06-03-24 14:31:26.055758
50.15825	0.1	06-03-24 14:31:26.259132
50.1131699	0.1	06-03-24 14:31:26.450923
50.1005474	0.1	06-03-24 14:31:26.681687
50.0484221	0.1	06-03-24 14:31:26.891484
50.0466189	0.1	06-03-24 14:31:27.108762
50.0330949	0.1	06-03-24 14:31:27.298899
50.0240789	0.1	06-03-24 14:31:27.506440
50.0339965	0.1	06-03-24 14:31:27.711466
50.0493237	0.1	06-03-24 14:31:27.915483
50.1068586	0.1	06-03-24 14:31:28.119822
50.1248907	0.1	06-03-24 14:31:28.318689
50.1564468	0.1	06-03-24 14:31:28.539793
50.1681676	0.1	06-03-24 14:31:28.732615
50.1789868	0.1	06-03-24 14:31:28.956686
50.198822	0.1	06-03-24 14:31:29.145865
50.1602208	0.1	06-03-24 14:31:29.343464
50.1854657	0.1	06-03-24 14:31:29.548663
50.2143169	0.1	06-03-24 14:31:29.755003
50.241365	0.1	06-03-24 14:31:29.957463
50.3340623	0.1	06-03-24 14:31:30.162775
50.357504	0.1	06-03-24 14:31:30.367331
50.3107883	0.1	06-03-24 14:31:30.572366
50.33423	0.1	06-03-24 14:31:30.778093
50.4440578	0.1	06-03-24 14:31:30.992511
50.4566802	0.1	06-03-24 14:31:31.196010
50.445861	0.1	06-03-24 14:31:31.397356
50.4350418	0.1	06-03-24 14:31:31.602095
50.3838181	0.1	06-03-24 14:31:31.807078
50.3775069	0.1	06-03-24 14:31:32.011041
50.4152065	0.1	06-03-24 14:31:32.210918
50.4233209	0.1	06-03-24 14:31:32.416924
50.4485658	0.1	06-03-24 14:31:32.625499
50.4801219	0.1	06-03-24 14:31:32.830868
50.5107763	0.1	06-03-24 14:31:33.031120
50.5315132	0.1	06-03-24 14:31:33.234117
50.5594628	0.1	06-03-24 14:31:33.555756
50.5883141	0.1	06-03-24 14:31:33.678843
50.6099526	0.1	06-03-24 14:31:33.891161
50.6081494	0.1	06-03-24 14:31:34.157806
50.5406968	0.1	06-03-24 14:31:34.366963
50.5452048	0.1	06-03-24 14:31:34.571789
50.5488113	0.1	06-03-24 14:31:34.874632
50.613559	0.1	06-03-24 14:31:35.084190
50.6198702	0.1	06-03-24 14:31:35.288284
50.6297878	0.1	06-03-24 14:31:35.493854
50.6306894	0.1	06-03-24 14:31:35.696591
50.6442134	0.1	06-03-24 14:31:35.899223
50.6730647	0.1	06-03-24 14:31:36.117425
50.7091288	0.1	06-03-24 14:31:36.313926
50.7316688	0.1	06-03-24 14:31:36.614096
50.7515041	0.1	06-03-24 14:31:36.738786
50.7713393	0.1	06-03-24 14:31:36.937137
50.7893714	0.1	06-03-24 14:31:37.135422
50.7974858	0.1	06-03-24 14:31:37.348309
50.8092066	0.1	06-03-24 14:31:37.544150
50.8308451	0.1	06-03-24 14:31:37.745797
50.8560899	0.1	06-03-24 14:31:37.949208
50.8732203	0.1	06-03-24 14:31:38.156712
50.8310127	0.1	06-03-24 14:31:38.360768
50.8490447	0.1	06-03-24 14:31:38.651222
50.9255133	0.1	06-03-24 14:31:38.774813
50.9426437	0.1	06-03-24 14:31:38.971598
50.9498565	0.1	06-03-24 14:31:39.179460
50.9624789	0.1	06-03-24 14:31:39.381469
50.9751014	0.1	06-03-24 14:31:39.588960
50.9931334	0.1	06-03-24 14:31:39.800988
51.0120671	0.1	06-03-24 14:31:39.998902
51.0129687	0.1	06-03-24 14:31:40.203762
50.9392049	0.1	06-03-24 14:31:40.408528
50.9410081	0.1	06-03-24 14:31:40.709916
51.0003462	0.1	06-03-24 14:31:40.833219
51.0039526	0.1	06-03-24 14:31:41.033857
51.0039526	0.1	06-03-24 14:31:41.326278
50.9599418	0.1	06-03-24 14:31:41.535257
50.9698594	0.1	06-03-24 14:31:41.739771
51.0346071	0.1	06-03-24 14:31:41.940111
51.0427215	0.1	06-03-24 14:31:42.144142
50.9942026	0.1	06-03-24 14:31:42.349646
50.9942026	0.1	06-03-24 14:31:42.552954
51.0373119	0.1	06-03-24 14:31:42.760810
51.0427215	0.1	06-03-24 14:31:42.964098
51.0661632	0.1	06-03-24 14:31:43.173228
51.0859984	0.1	06-03-24 14:31:43.377592
51.1597622	0.1	06-03-24 14:31:43.583042
51.1525493	0.1	06-03-24 14:31:43.783299
51.0787856	0.1	06-03-24 14:31:43.992529
51.0742776	0.1	06-03-24 14:31:44.197036
51.0742776	0.1	06-03-24 14:31:44.402137
51.091408	0.1	06-03-24 14:31:44.606609
51.0519052	0.1	06-03-24 14:31:44.807307
51.0573148	0.1	06-03-24 14:31:45.012228
51.0338731	0.1	06-03-24 14:31:45.219654
51.0257587	0.1	06-03-24 14:31:45.425964
