# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC	temp	Delay	a	
0.099	0.0	250	250	-7427847.0	-7441290.0	-7448756.0	-7445535.0	-7425665.0	-7419013.0	-7418215.0	-7415739.0	-11.8835912	52.0046628	6	11.0	11-03-24 19:46:52.450695
0.601	0.002	250	250	-7158712.0	-7171532.0	-7178691.0	-7175374.0	-7178186.0	-7171836.0	-7171040.0	-7168632.0	-11.3862043	52.1014152	6	11.0	11-03-24 19:47:00.238551
1.201	0.005	250	250	-6783874.0	-6795960.0	-6802743.0	-6799671.0	-6802383.0	-6796283.0	-6795585.0	-6793250.0	-10.7897479	52.1428839	6	11.0	11-03-24 19:47:07.711793
1.8	0.008	250	250	-6407767.0	-6419119.0	-6425508.0	-6422696.0	-6425264.0	-6419462.0	-6418805.0	-6416569.0	-10.1915482	52.1059227	6	11.0	11-03-24 19:47:15.285521
2.401	0.012	250	250	-6030370.0	-6040923.0	-6046981.0	-6044382.0	-6046854.0	-6041314.0	-6040726.0	-6038590.0	-9.59132279	52.0563405	6	11.0	11-03-24 19:47:22.763527
3.001	0.015	250	250	-5653583.0	-5663421.0	-5669116.0	-5666731.0	-5669093.0	-5663806.0	-5663292.0	-5661276.0	-8.99219814	52.124854	6	11.0	11-03-24 19:47:29.936290
3.6	0.018	250	250	-5276849.0	-5285917.0	-5291235.0	-5289108.0	-5291351.0	-5286354.0	-5285878.0	-5283953.0	-8.39309854	51.9631941	6	11.0	11-03-24 19:47:37.744174
4.201	0.021	250	250	-4899740.0	-4908041.0	-4913012.0	-4911119.0	-4913271.0	-4908517.0	-4908132.0	-4906317.0	-7.79340698	51.2972833	6	11.0	11-03-24 19:47:45.397294
4.8	0.024	250	250	-4522979.0	-4530548.0	-4535140.0	-4533481.0	-4535506.0	-4531042.0	-4530710.0	-4528991.0	-7.1942937	50.1457839	6	11.0	11-03-24 19:47:52.667805
5.4	0.027	250	250	-4145779.0	-4152565.0	-4156799.0	-4155375.0	-4157290.0	-4153090.0	-4152839.0	-4151213.0	-6.59438432	48.6276412	6	11.0	11-03-24 19:47:59.937262
6.0	0.03	250	250	-3768947.0	-3775000.0	-3778836.0	-3777639.0	-3779472.0	-3775548.0	-3775341.0	-3773833.0	-5.99509265	46.9489083	6	11.0	11-03-24 19:48:07.443299
6.6	0.033	250	250	-3391626.0	-3396910.0	-3400385.0	-3399455.0	-3401161.0	-3397513.0	-3397380.0	-3395953.0	-5.39510107	44.9102836	6	11.0	11-03-24 19:48:15.215126
7.2	0.036	250	250	-3014865.0	-3019345.0	-3022473.0	-3021773.0	-3023407.0	-3020017.0	-3019947.0	-3018621.0	-4.79601233	42.8553135	6	11.0	11-03-24 19:48:22.883957
7.801	0.039	250	250	-2637237.0	-2640976.0	-2643742.0	-2643270.0	-2644776.0	-2641692.0	-2641687.0	-2640454.0	-4.19545687	40.5933027	6	11.0	11-03-24 19:48:30.307438
