# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp	Delay	a	
0.104	0.0	250	250	-7440913.0	-7454359.0	-7461404.0	-7459255.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.8763553	9.9e+37	23.4994769	6	8.0	19-03-24 15:19:07.705516
0.601	0.002	250	250	-7154181.0	-7166721.0	-7173083.0	-7170820.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.3774536	9.9e+37	23.5411094	6	8.0	19-03-24 15:19:15.694795
1.201	0.005	250	250	-6779256.0	-6791045.0	-6797101.0	-6794994.0	-8125733.0	-8116765.0	-8115853.0	-8111928.0	-10.7810186	-1.16094072	23.6625871	6	8.0	19-03-24 15:19:23.781711
1.801	0.008	250	250	-6403312.0	-6414334.0	-6420038.0	-6418142.0	-7675170.0	-7666645.0	-7665776.0	-7662075.0	-10.1831312	-1.09654517	23.7868293	6	8.0	19-03-24 15:19:31.948002
2.401	0.011	250	250	-6026147.0	-6036431.0	-6041823.0	-6040088.0	-7223251.0	-7215101.0	-7214312.0	-7210807.0	-9.58337882	-1.03195664	23.7344661	6	8.0	19-03-24 15:19:39.861084
3.001	0.014	250	250	-5649482.0	-5659044.0	-5664098.0	-5662568.0	-6771614.0	-6763919.0	-6763198.0	-6759811.0	-8.98451384	-0.967465129	23.8255334	6	8.0	19-03-24 15:19:48.057768
3.601	0.017	250	250	-5272998.0	-5281822.0	-5286558.0	-5285175.0	-6320406.0	-6313151.0	-6312472.0	-6309324.0	-8.38584183	-0.902977834	23.7713272	6	8.0	19-03-24 15:19:56.348485
4.201	0.02	250	250	-4896091.0	-4904166.0	-4908593.0	-4907389.0	-5868808.0	-5862004.0	-5861367.0	-5858427.0	-7.78660482	-0.83847751	23.6948405	6	8.0	19-03-24 15:20:04.659450
4.801	0.024	250	250	-4519522.0	-4526860.0	-4530985.0	-4529953.0	-5417534.0	-5411128.0	-5410590.0	-5407835.0	-7.18782694	-0.774005162	23.450636	6	8.0	19-03-24 15:20:13.044261
5.401	0.027	250	250	-4142420.0	-4149029.0	-4152771.0	-4151960.0	-4965648.0	-4959715.0	-4959245.0	-4956652.0	-6.58823982	-0.709456669	23.4106828	6	8.0	19-03-24 15:20:21.392367
6.0	0.03	250	250	-3765778.0	-3771634.0	-3775101.0	-3774435.0	-4514363.0	-4508838.0	-4508449.0	-4506040.0	-5.98943441	-0.644988416	23.1555838	6	8.0	19-03-24 15:20:29.319426
6.601	0.033	250	250	-3388729.0	-3393843.0	-3396987.0	-3396497.0	-4062603.0	-4057524.0	-4057218.0	-4054998.0	-5.38988327	-0.580451427	23.1646353	6	8.0	19-03-24 15:20:37.314323
7.2	0.036	250	250	-3012144.0	-3016517.0	-3019343.0	-3019035.0	-3611384.0	-3606749.0	-3606491.0	-3604434.0	-4.79118453	-0.515992167	23.153577	6	8.0	19-03-24 15:20:45.191145
7.801	0.039	250	250	-2634704.0	-2638346.0	-2640844.0	-2640714.0	-3159124.0	-3154921.0	-3154731.0	-3152873.0	-4.19101512	-0.451372609	23.108586	6	8.0	19-03-24 15:20:53.692234
8.4	0.042	250	250	-2258242.0	-2261147.0	-2263314.0	-2263370.0	-2707998.0	-2704221.0	-2704142.0	-2702430.0	-3.59248387	-0.38693758	23.1738505	6	8.0	19-03-24 15:21:01.580314
9.0	0.045	250	250	-1881753.0	-1883904.0	-1885760.0	-1885992.0	-2256830.0	-2253485.0	-2253485.0	-2252010.0	-2.99383909	-0.322479697	23.1858304	6	8.0	19-03-24 15:21:09.982694
9.6	0.048	250	250	-1504850.0	-1506251.0	-1507791.0	-1508205.0	-1805129.0	-1802220.0	-1802299.0	-1800988.0	-2.39461244	-0.257954785	23.1443617	6	8.0	19-03-24 15:21:19.303101
