# 
Amax	Delay	
127	0.1	21-03-24 17:23:23.869664
127	0.1	21-03-24 17:23:24.218867
127	0.1	21-03-24 17:23:24.564869
127	0.1	21-03-24 17:23:24.914183
127	0.1	21-03-24 17:23:25.263848
127	0.1	21-03-24 17:23:25.612369
127	0.1	21-03-24 17:23:25.961992
127	0.1	21-03-24 17:23:26.311282
127	0.1	21-03-24 17:23:26.660903
127	0.1	21-03-24 17:23:27.009762
127	0.1	21-03-24 17:23:42.036882
127	0.1	21-03-24 17:23:42.385957
127	0.1	21-03-24 17:23:42.735558
127	0.1	21-03-24 17:23:43.084926
127	0.1	21-03-24 17:23:43.434870
127	0.1	21-03-24 17:23:43.784159
127	0.1	21-03-24 17:23:44.133548
127	0.1	21-03-24 17:23:44.483056
127	0.1	21-03-24 17:23:44.832440
127	0.1	21-03-24 17:23:45.182057
127	0.1	21-03-24 17:23:45.533601
127	0.1	21-03-24 17:23:45.881558
127	0.1	21-03-24 17:23:46.230407
127	0.1	21-03-24 17:23:46.579579
127	0.1	21-03-24 17:23:46.929608
39	0.1	21-03-24 17:23:47.278982
39	0.1	21-03-24 17:23:47.628182
39	0.1	21-03-24 17:23:47.978041
39	0.1	21-03-24 17:23:48.327819
38	0.1	21-03-24 17:23:48.676309
38	0.1	21-03-24 17:23:49.026279
39	0.1	21-03-24 17:23:49.375416
40	0.1	21-03-24 17:23:49.724905
40	0.1	21-03-24 17:23:50.074395
39	0.1	21-03-24 17:23:50.423524
38	0.1	21-03-24 17:23:50.772882
39	0.1	21-03-24 17:23:51.123595
38	0.1	21-03-24 17:23:51.472161
39	0.1	21-03-24 17:23:51.821638
39	0.1	21-03-24 17:23:52.171073
38	0.1	21-03-24 17:23:52.521541
39	0.1	21-03-24 17:23:52.869835
38	0.1	21-03-24 17:23:53.219514
127	0.1	21-03-24 17:23:53.568661
127	0.1	21-03-24 17:23:53.918120
125	0.1	21-03-24 17:23:54.268135
38	0.1	21-03-24 17:23:54.617088
39	0.1	21-03-24 17:23:54.966738
38	0.1	21-03-24 17:23:55.316450
39	0.1	21-03-24 17:23:55.665689
38	0.1	21-03-24 17:23:56.018856
40	0.1	21-03-24 17:23:56.364497
39	0.1	21-03-24 17:23:56.714343
38	0.1	21-03-24 17:23:57.063924
127	0.1	21-03-24 17:23:57.413095
127	0.1	21-03-24 17:23:57.763812
127	0.1	21-03-24 17:23:58.111745
127	0.1	21-03-24 17:23:58.461301
127	0.1	21-03-24 17:23:58.811013
127	0.1	21-03-24 17:23:59.162014
126	0.1	21-03-24 17:23:59.510725
109	0.1	21-03-24 17:23:59.861902
127	0.1	21-03-24 17:24:00.208240
127	0.1	21-03-24 17:24:00.557859
127	0.1	21-03-24 17:24:00.907606
127	0.1	21-03-24 17:24:01.256595
127	0.1	21-03-24 17:24:01.606743
127	0.1	21-03-24 17:24:01.955990
127	0.1	21-03-24 17:24:02.307043
127	0.1	21-03-24 17:24:02.655144
127	0.1	21-03-24 17:24:03.004092
127	0.1	21-03-24 17:24:03.353697
127	0.1	21-03-24 17:24:03.703173
127	0.1	21-03-24 17:24:04.052882
127	0.1	21-03-24 17:24:04.403368
127	0.1	21-03-24 17:24:04.751709
126	0.1	21-03-24 17:24:05.104325
126	0.1	21-03-24 17:24:05.450579
126	0.1	21-03-24 17:24:05.800596
125	0.1	21-03-24 17:24:06.149530
126	0.1	21-03-24 17:24:06.498574
125	0.1	21-03-24 17:24:06.857580
126	0.1	21-03-24 17:24:07.547691
126	0.1	21-03-24 17:24:07.896575
125	0.1	21-03-24 17:24:08.246366
126	0.1	21-03-24 17:24:08.595951
126	0.1	21-03-24 17:24:08.944773
127	0.1	21-03-24 17:24:09.294471
