# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp	Delay	a	
0.103	0.0	250	250	-7423961.0	-7437579.0	-7444616.0	-7442908.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.8621426	9.9e+37	19.3416558	6	37.0	25-03-24 17:09:50.984073
0.601	0.002	250	250	-7153405.0	-7165853.0	-7172151.0	-7169972.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.3763456	9.9e+37	19.4043161	6	37.0	25-03-24 17:09:59.059495
1.201	0.005	250	250	-6778603.0	-6790304.0	-6796271.0	-6794292.0	-8124191.0	-8115453.0	-8114363.0	-8110307.0	-10.7800484	-1.16076465	19.3332793	6	37.0	25-03-24 17:10:06.888466
1.8	0.008	250	250	-6402779.0	-6413740.0	-6419371.0	-6417578.0	-7673786.0	-7665500.0	-7664492.0	-7660606.0	-10.1823739	-1.09640188	19.3475422	6	37.0	25-03-24 17:10:14.689431
2.401	0.011	250	250	-6025561.0	-6035799.0	-6041114.0	-6039500.0	-7221536.0	-7213645.0	-7212738.0	-7209036.0	-9.5826081	-1.03180289	19.2830205	6	37.0	25-03-24 17:10:22.491790
3.001	0.014	250	250	-5648950.0	-5658465.0	-5663448.0	-5661991.0	-6770424.0	-6762932.0	-6762114.0	-6758583.0	-8.9837923	-0.967331607	19.2653368	6	37.0	25-03-24 17:10:30.330725
3.601	0.017	250	250	-5272500.0	-5281268.0	-5285939.0	-5284637.0	-6318982.0	-6311936.0	-6311216.0	-6307879.0	-8.38514948	-0.902820676	19.2578911	6	37.0	25-03-24 17:10:38.212670
4.201	0.021	250	250	-4895618.0	-4903660.0	-4907958.0	-4906877.0	-5867101.0	-5860440.0	-5859781.0	-5856678.0	-7.78590736	-0.838286257	19.2625447	6	37.0	25-03-24 17:10:46.242811
4.8	0.024	250	250	-4519087.0	-4526397.0	-4530404.0	-4529474.0	-5416037.0	-5409836.0	-5409238.0	-5406317.0	-7.18729911	-0.77383422	19.2699904	6	37.0	25-03-24 17:10:54.283143
5.401	0.027	250	250	-4142001.0	-4148544.0	-4152270.0	-4151496.0	-4964245.0	-4958468.0	-4957968.0	-4955203.0	-6.58771803	-0.709308186	19.3128035	6	37.0	25-03-24 17:11:02.293789
6.0	0.03	250	250	-3765424.0	-3771232.0	-3774634.0	-3774024.0	-4513002.0	-4507634.0	-4507195.0	-4504641.0	-5.98890693	-0.644821583	19.3621316	6	37.0	25-03-24 17:11:10.351401
6.6	0.033	250	250	-3388297.0	-3393369.0	-3396453.0	-3396017.0	-4061065.0	-4056103.0	-4055748.0	-4053442.0	-5.38924783	-0.58026957	19.4461984	6	37.0	25-03-24 17:11:18.430753
7.2	0.036	250	250	-3011723.0	-3016068.0	-3018845.0	-3018576.0	-3610028.0	-3605488.0	-3605216.0	-3603103.0	-4.79057566	-0.515837932	19.4375198	6	37.0	25-03-24 17:11:26.278703
7.801	0.039	250	250	-2634295.0	-2637916.0	-2640365.0	-2640275.0	-3157809.0	-3153715.0	-3153531.0	-3151589.0	-4.19045484	-0.451223149	19.4877786	6	37.0	25-03-24 17:11:34.309224
8.4	0.042	250	250	-2257888.0	-2260766.0	-2262897.0	-2262974.0	-2706749.0	-2703063.0	-2702951.0	-2701205.0	-3.59197948	-0.386778928	19.5036008	6	37.0	25-03-24 17:11:42.142422
9.0	0.045	250	250	-1881417.0	-1883549.0	-1885374.0	-1885633.0	-2255544.0	-2252268.0	-2252257.0	-2250685.0	-2.99342332	-0.322322022	19.4772385	6	37.0	25-03-24 17:11:50.173828
9.6	0.048	250	250	-1504539.0	-1505938.0	-1507449.0	-1507875.0	-1803845.0	-1800997.0	-1801065.0	-1799704.0	-2.39418316	-0.257798034	19.5808504	6	37.0	25-03-24 17:11:58.008440
10.2	0.051	250	250	-1127502.0	-1128151.0	-1129347.0	-1129952.0	-1352093.0	-1349660.0	-1349801.0	-1348619.0	-1.79464235	-0.193251745	19.6171485	6	37.0	25-03-24 17:12:05.835497
10.801	0.054	250	250	-750211.3	-750114.8	-751009.0	-751778.4	-899951.2	-897939.6	-898182.5	-897200.6	-1.19483413	-0.12866319	19.6394857	6	37.0	25-03-24 17:12:13.640111
11.401	0.057	250	250	-373575.9	-372751.2	-373323.0	-374276.7	-448619.3	-447037.1	-447351.3	-446558.4	-0.595939358	-0.0641796335	19.6795066	6	37.0	25-03-24 17:12:21.687228
12.001	0.061	250	250	3335.728	4899.408	4643.916	3523.468	3036.732	4192.064	3786.416	4401.264	0.00335447814	0.000349695612	19.6242921	6	37.0	25-03-24 17:12:29.714485
12.6	0.064	250	250	379959.9	382255.1	382303.4	381025.1	454364.6	455084.0	454614.5	455015.2	0.602155834	0.0648208958	19.721389	6	37.0	25-03-24 17:12:37.516802
13.2	0.067	250	250	756823.3	759845.8	760219.3	758769.3	905980.4	906282.3	905732.1	905944.6	1.20139435	0.129352439	19.727904	6	37.0	25-03-24 17:12:45.319598
13.799	0.07	250	250	1133179.0	1136946.0	1137632.0	1136013.0	1357027.0	1356913.0	1356287.0	1356300.0	1.79985901	0.193790434	19.7446569	6	37.0	25-03-24 17:12:53.123431
14.399	0.073	250	250	1509882.0	1514376.0	1515383.0	1513596.0	1808523.0	1807981.0	1807266.0	1807110.0	2.39879154	0.258302763	19.7372112	6	37.0	25-03-24 17:13:01.172030
14.999	0.076	250	250	1886443.0	1891684.0	1893000.0	1891032.0	2259870.0	2258890.0	2258119.0	2257754.0	2.99756122	0.3227693	19.7232504	6	37.0	25-03-24 17:13:09.004786
15.6	0.079	250	250	2263761.0	2269729.0	2271373.0	2269225.0	2712095.0	2710696.0	2709835.0	2709270.0	3.5973742	0.387380349	19.6559365	6	37.0	25-03-24 17:13:17.025443
16.2	0.082	250	250	2640694.0	2647390.0	2649366.0	2647040.0	3163910.0	3162072.0	3161138.0	3160365.0	4.19667923	0.451916313	19.7074282	6	37.0	25-03-24 17:13:24.858956
16.8	0.085	250	250	3017229.0	3024672.0	3026943.0	3024454.0	3615161.0	3612930.0	3611900.0	3610948.0	4.79532987	0.516381726	19.7738114	6	37.0	25-03-24 17:13:32.878656
17.4	0.088	250	250	3394140.0	3402309.0	3404898.0	3402239.0	4066908.0	4064251.0	4063142.0	4061989.0	5.39465259	0.58093319	19.711151	6	37.0	25-03-24 17:13:40.904751
18.0	0.091	250	250	3771095.0	3780010.0	3782923.0	3780085.0	4518749.0	4515652.0	4514467.0	4513138.0	5.99394342	0.645474618	19.7064975	6	37.0	25-03-24 17:13:48.931481
18.6	0.095	250	250	4147973.0	4157638.0	4160855.0	4157844.0	4970411.0	4966893.0	4965635.0	4964132.0	6.59313319	0.709999245	19.6736201	6	37.0	25-03-24 17:13:57.001511
19.2	0.098	250	250	4524273.0	4534688.0	4538226.0	4535052.0	5421423.0	5417501.0	5416131.0	5414460.0	7.19149826	0.774412458	19.6053755	6	37.0	25-03-24 17:14:05.046390
19.8	0.101	250	250	4901358.0	4912495.0	4916352.0	4913016.0	5873361.0	5869011.0	5867563.0	5865672.0	7.79100922	0.838987695	19.7744399	6	37.0	25-03-24 17:14:12.903599
20.4	0.104	250	250	5278217.0	5290106.0	5294274.0	5290748.0	6324771.0	6320014.0	6318506.0	6316392.0	8.39012324	0.90346111	19.7248097	6	37.0	25-03-24 17:14:20.730309
21.0	0.107	250	250	5654652.0	5667276.0	5671748.0	5668059.0	6776136.0	6770941.0	6769362.0	6767104.0	8.98864089	0.96795293	19.7490084	6	37.0	25-03-24 17:14:28.759234
21.6	0.11	250	250	6031131.0	6044471.0	6049259.0	6045415.0	7227244.0	7221615.0	7219913.0	7217475.0	9.58716781	1.03235544	19.8488974	6	37.0	25-03-24 17:14:36.783731
