# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp	time	Delay	a	
0.125	0.0	250	250	-7422231.0	-7436280.0	-7443495.0	-7441658.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.8640952	9.9e+37	24.8320651	1711452525.213356	6	10.0	26-03-24 12:28:45.213420
0.6	0.002	250	250	-7153552.0	-7166225.0	-7172511.0	-7170202.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.3762373	9.9e+37	24.8701468	1711452533.2244623	6	10.0	26-03-24 12:28:53.224529
1.2	0.005	250	250	-6778684.0	-6790594.0	-6796612.0	-6794445.0	-8124041.0	-8115076.0	-8114148.0	-8110094.0	-10.7799072	-1.16067432	24.8378934	1711452541.0673797	6	10.0	26-03-24 12:29:01.067429
1.8	0.008	250	250	-6402722.0	-6413901.0	-6419609.0	-6417611.0	-7673423.0	-7664867.0	-7664004.0	-7660148.0	-10.1820781	-1.09625647	24.7205604	1711452549.143249	6	10.0	26-03-24 12:29:09.143339
2.401	0.011	250	250	-6025575.0	-6035977.0	-6041369.0	-6039574.0	-7221330.0	-7213221.0	-7212383.0	-7208752.0	-9.58236582	-1.03170163	24.6892285	1711452556.9712596	6	10.0	26-03-24 12:29:16.971315
3.001	0.014	250	250	-5648937.0	-5658567.0	-5663658.0	-5662033.0	-6770053.0	-6762362.0	-6761643.0	-6758157.0	-8.98353203	-0.967231997	24.6422307	1711452565.0014455	6	10.0	26-03-24 12:29:25.001501
3.6	0.018	250	250	-5272477.0	-5281390.0	-5286123.0	-5284681.0	-6318840.0	-6311597.0	-6310948.0	-6307678.0	-8.38494826	-0.902744556	24.6173494	1711452572.831232	6	10.0	26-03-24 12:29:32.831286
4.2	0.021	250	250	-4895594.0	-4903757.0	-4908145.0	-4906914.0	-5866852.0	-5860034.0	-5859472.0	-5856334.0	-7.78571923	-0.838201018	24.6090557	1711452580.6986961	6	10.0	26-03-24 12:29:40.698749
4.8	0.024	250	250	-4519054.0	-4526475.0	-4530569.0	-4529490.0	-5415797.0	-5409395.0	-5408880.0	-5406024.0	-7.18703634	-0.773771978	24.5924682	1711452588.5665126	6	10.0	26-03-24 12:29:48.566567
5.4	0.027	250	250	-4141974.0	-4148666.0	-4152427.0	-4151539.0	-4964144.0	-4958223.0	-4957780.0	-4955070.0	-6.58751546	-0.709247927	24.6351576	1711452596.4318366	6	10.0	26-03-24 12:29:56.431893
6.0	0.03	250	250	-3765348.0	-3771274.0	-3774726.0	-3774016.0	-4512932.0	-4507456.0	-4507098.0	-4504569.0	-5.98861897	-0.644783262	24.5316475	1711452604.299065	6	10.0	26-03-24 12:30:04.299117
6.6	0.033	250	250	-3388306.0	-3393489.0	-3396606.0	-3396075.0	-4061262.0	-4056190.0	-4055899.0	-4053584.0	-5.3891824	-0.58024614	24.4938649	1711452612.1212626	6	10.0	26-03-24 12:30:12.121317
7.2	0.036	250	250	-3011818.0	-3016262.0	-3019068.0	-3018713.0	-3610086.0	-3605434.0	-3605240.0	-3603093.0	-4.79054736	-0.515798316	24.4523962	1711452620.2111056	6	10.0	26-03-24 12:30:20.211139
7.8	0.039	250	250	-2634397.0	-2638064.0	-2640552.0	-2640400.0	-3157866.0	-3153675.0	-3153535.0	-3151576.0	-4.190504	-0.451194619	24.3519499	1711452628.0591123	6	10.0	26-03-24 12:30:28.059163
8.4	0.042	250	250	-2257876.0	-2260810.0	-2262975.0	-2263004.0	-2706785.0	-2703009.0	-2702972.0	-2701219.0	-3.59184574	-0.386766822	24.2948152	1711452635.8607447	6	10.0	26-03-24 12:30:35.860803
8.999	0.045	250	250	-1881414.0	-1883584.0	-1885440.0	-1885645.0	-2255559.0	-2252245.0	-2252256.0	-2250693.0	-2.99330847	-0.322304431	24.3132458	1711452643.9090552	6	10.0	26-03-24 12:30:43.909109
9.599	0.048	250	250	-1504570.0	-1506002.0	-1507542.0	-1507919.0	-1803980.0	-1801091.0	-1801174.0	-1799808.0	-2.39414904	-0.257791411	24.3215395	1711452651.9513736	6	10.0	26-03-24 12:30:51.951426
10.2	0.051	250	250	-1127469.0	-1128156.0	-1129363.0	-1129934.0	-1352053.0	-1349599.0	-1349755.0	-1348588.0	-1.79461772	-0.193240024	24.3160103	1711452659.960361	6	10.0	26-03-24 12:30:59.960415
10.801	0.054	250	250	-750269.2	-750207.9	-751097.9	-751849.2	-900053.2	-898035.5	-898271.9	-897289.4	-1.1948772	-0.128671755	24.3436561	1711452667.7911608	6	10.0	26-03-24 12:31:07.791223
11.4	0.058	250	250	-373560.6	-372746.9	-373319.0	-374256.5	-448644.4	-447054.4	-447351.0	-446556.6	-0.595892907	-0.0641728976	24.3814387	1711452675.8062289	6	10.0	26-03-24 12:31:15.806289
12.0	0.061	250	250	3295.696	4856.132	4591.024	3486.696	2994.004	4155.456	3776.888	4387.448	0.00325424505	0.000345919525	24.4284365	1711452683.831168	6	10.0	26-03-24 12:31:23.831226
12.6	0.064	250	250	379981.8	382278.7	382338.1	381056.5	454400.7	455120.1	454675.2	455066.8	0.602249076	0.0648342838	24.3756104	1711452691.8526907	6	10.0	26-03-24 12:31:31.852754
13.2	0.067	250	250	757062.2	760107.9	760489.2	759017.3	906313.8	906599.7	906058.0	906280.6	1.2017463	0.129390536	24.427515	1711452699.8031552	6	10.0	26-03-24 12:31:39.803214
13.799	0.07	250	250	1133571.0	1137360.0	1138058.0	1136407.0	1357574.0	1357424.0	1356805.0	1356836.0	1.80034874	0.193857098	24.3875902	1711452707.8911762	6	10.0	26-03-24 12:31:47.891233
14.399	0.073	250	250	1510430.0	1514957.0	1515978.0	1514155.0	1809284.0	1808714.0	1808013.0	1807847.0	2.3994931	0.258374745	24.3875902	1711452715.943712	6	10.0	26-03-24 12:31:55.943761
14.999	0.076	250	250	1887069.0	1892353.0	1893687.0	1891680.0	2260619.0	2259642.0	2258848.0	2258502.0	2.99827487	0.322841509	24.3995701	1711452724.0313632	6	10.0	26-03-24 12:32:04.031411
15.6	0.079	250	250	2264322.0	2270356.0	2272023.0	2269822.0	2712794.0	2711359.0	2710494.0	2709967.0	3.59815877	0.387456616	24.4023346	1711452732.1042666	6	10.0	26-03-24 12:32:12.104315
16.2	0.082	250	250	2641285.0	2648043.0	2650043.0	2647652.0	3164556.0	3162671.0	3161754.0	3161017.0	4.19740763	0.451972456	24.4726698	1711452740.1565084	6	10.0	26-03-24 12:32:20.156563
16.8	0.085	250	250	3017726.0	3025231.0	3027537.0	3024981.0	3615602.0	3613305.0	3612305.0	3611398.0	4.79589074	0.516399734	24.4551608	1711452747.953994	6	10.0	26-03-24 12:32:27.954050
17.4	0.088	250	250	3394423.0	3402683.0	3405312.0	3402583.0	4067141.0	4064401.0	4063325.0	4062212.0	5.39482182	0.580902115	24.4023346	1711452756.0240114	6	10.0	26-03-24 12:32:36.024062
