# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp_pt100	time	Delay	a	
0.089	0.0	250	250	-7442738.0	-7456236.0	-7463226.0	-7461252.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.8806658	9.9e+37	20.943535	1711505295.553941	6	137.0	27-03-24 03:08:15.554004
0.6	0.002	250	250	-7154123.0	-7166674.0	-7173089.0	-7170707.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.3768481	9.9e+37	20.8899687	1711505303.6332366	6	137.0	27-03-24 03:08:23.633303
1.2	0.005	250	250	-6779023.0	-6790847.0	-6796903.0	-6794688.0	-8123660.0	-8114708.0	-8113743.0	-8109660.0	-10.7801899	-1.1605859	20.9144041	1711505311.6874623	6	137.0	27-03-24 03:08:31.687520
1.8	0.008	250	250	-6402937.0	-6414023.0	-6419745.0	-6417747.0	-7672994.0	-7664455.0	-7663570.0	-7659683.0	-10.1822196	-1.09623585	20.9542674	1711505319.5063748	6	137.0	27-03-24 03:08:39.506430
2.401	0.011	250	250	-6025783.0	-6036115.0	-6041510.0	-6039686.0	-7220903.0	-7212796.0	-7211985.0	-7208305.0	-9.58243304	-1.03162612	20.9917351	1711505327.5336075	6	137.0	27-03-24 03:08:47.533663
3.001	0.014	250	250	-5649182.0	-5658758.0	-5663838.0	-5662194.0	-6769432.0	-6761794.0	-6761086.0	-6757588.0	-8.98368344	-0.967145657	20.9941308	1711505335.3641188	6	137.0	27-03-24 03:08:55.364178
3.6	0.018	250	250	-5272700.0	-5281511.0	-5286286.0	-5284821.0	-6318470.0	-6311252.0	-6310608.0	-6307297.0	-8.38505508	-0.902720993	21.0605377	1711505343.1674993	6	137.0	27-03-24 03:09:03.167555
4.2	0.021	250	250	-4895784.0	-4903886.0	-4908312.0	-4907017.0	-5866913.0	-5860107.0	-5859503.0	-5856429.0	-7.78579445	-0.838203663	21.1123792	1711505350.9754002	6	137.0	27-03-24 03:09:10.975455
4.8	0.024	250	250	-4519236.0	-4526597.0	-4530695.0	-4529605.0	-5415659.0	-5409266.0	-5408745.0	-5405824.0	-7.187105	-0.773729249	21.0995386	1711505359.0611537	6	137.0	27-03-24 03:09:19.061205
5.4	0.027	250	250	-4142110.0	-4148746.0	-4152537.0	-4151620.0	-4963995.0	-4958026.0	-4957625.0	-4954897.0	-6.58754426	-0.709227694	21.1399769	1711505367.1149204	6	137.0	27-03-24 03:09:27.114976
6.0	0.03	250	250	-3765471.0	-3771352.0	-3774820.0	-3774098.0	-4512818.0	-4507319.0	-4506975.0	-4504442.0	-5.98874509	-0.644761047	21.1373896	1711505375.148208	6	137.0	27-03-24 03:09:35.148264
6.6	0.033	250	250	-3388471.0	-3393602.0	-3396749.0	-3396201.0	-4060852.0	-4055790.0	-4055503.0	-4053144.0	-5.38931558	-0.580187354	21.1161164	1711505383.1715899	6	137.0	27-03-24 03:09:43.171645
7.2	0.036	250	250	-3011881.0	-3016274.0	-3019101.0	-3018740.0	-3609700.0	-3605090.0	-3604877.0	-3602716.0	-4.79055968	-0.515747412	21.0905311	1711505390.9906778	6	137.0	27-03-24 03:09:50.990735
7.8	0.039	250	250	-2634494.0	-2638134.0	-2640654.0	-2640471.0	-3157574.0	-3153388.0	-3153246.0	-3151275.0	-4.1905372	-0.451155606	21.0659998	1711505398.7994175	6	137.0	27-03-24 03:09:58.799474
8.4	0.042	250	250	-2257981.0	-2260889.0	-2263069.0	-2263075.0	-2706476.0	-2702716.0	-2702655.0	-2700903.0	-3.59200271	-0.386722869	20.9993053	1711505406.871733	6	137.0	27-03-24 03:10:06.871789
8.999	0.045	250	250	-1881565.0	-1883737.0	-1885586.0	-1885777.0	-2255517.0	-2252190.0	-2252221.0	-2250666.0	-2.99344403	-0.322296338	20.9434392	1711505414.770904	6	137.0	27-03-24 03:10:14.770962
