# 
A1	f1	A2	f2	Delay	a	
0	4576272.033898305	5.0	1.0	0.5	6.500325016250813e-05	10-04-24 19:13:59.369576
0	4576272.033898305	5.0	254238.2711864407	0.5	6.500325016250813e-05	10-04-24 19:13:59.890626
0	4576272.033898305	5.0	508475.5423728814	0.5	6.500325016250813e-05	10-04-24 19:14:00.417096
0	4576272.033898305	5.0	762712.813559322	0.5	6.500325016250813e-05	10-04-24 19:14:00.938711
0	4576272.033898305	5.0	1016950.0847457628	0.5	6.500325016250813e-05	10-04-24 19:14:01.459911
0	4576272.033898305	5.0	1271187.3559322034	0.5	6.500325016250813e-05	10-04-24 19:14:01.989298
0	4576272.033898305	5.0	1525424.627118644	0.5	6.500325016250813e-05	10-04-24 19:14:02.510608
0	4576272.033898305	5.0	1779661.8983050848	0.5	6.500325016250813e-05	10-04-24 19:14:03.032004
0	4576272.033898305	5.0	2033899.1694915255	0.5	6.500325016250813e-05	10-04-24 19:14:03.553647
0	4576272.033898305	5.0	2288136.4406779665	0.5	6.500325016250813e-05	10-04-24 19:14:04.074709
0	4576272.033898305	5.0	2542373.7118644067	0.5	6.500325016250813e-05	10-04-24 19:14:04.596010
0	4576272.033898305	5.0	2796610.9830508474	0.5	6.500325016250813e-05	10-04-24 19:14:05.117282
0	4576272.033898305	5.0	3050848.254237288	0.5	6.500325016250813e-05	10-04-24 19:14:05.638832
0	4576272.033898305	5.0	3305085.525423729	0.5	6.500325016250813e-05	10-04-24 19:14:06.160321
0	4576272.033898305	5.0	3559322.7966101696	0.5	6.500325016250813e-05	10-04-24 19:14:06.681887
0	4576272.033898305	5.0	3813560.06779661	0.5	6.500325016250813e-05	10-04-24 19:14:07.208546
0	4576272.033898305	5.0	4067797.338983051	0.5	6.500325016250813e-05	10-04-24 19:14:07.737097
0	4576272.033898305	5.0	4322034.610169492	0.5	6.500325016250813e-05	10-04-24 19:14:08.258520
0	4576272.033898305	5.0	4576271.881355933	0.5	6.500325016250813e-05	10-04-24 19:14:08.786713
0	4576272.033898305	5.0	4830509.152542372	0.5	6.500325016250813e-05	10-04-24 19:14:09.307960
0	4576272.033898305	5.0	5084746.423728813	0.5	6.500325016250813e-05	10-04-24 19:14:09.835584
0	4576272.033898305	5.0	5338983.694915255	0.5	6.500325016250813e-05	10-04-24 19:14:10.356796
0	4576272.033898305	5.0	5593220.966101695	0.5	6.500325016250813e-05	10-04-24 19:14:10.877972
0	4576272.033898305	5.0	5847458.237288136	0.5	6.500325016250813e-05	10-04-24 19:14:11.399120
0	4576272.033898305	5.0	6101695.508474576	0.5	6.500325016250813e-05	10-04-24 19:14:11.920558
0	4576272.033898305	5.0	6355932.779661017	0.5	6.500325016250813e-05	10-04-24 19:14:12.442164
0	4576272.033898305	5.0	6610170.050847458	0.5	6.500325016250813e-05	10-04-24 19:14:12.963658
0	4576272.033898305	5.0	6864407.322033898	0.5	6.500325016250813e-05	10-04-24 19:14:13.485112
0	4576272.033898305	5.0	7118644.593220339	0.5	6.500325016250813e-05	10-04-24 19:14:14.006632
0	4576272.033898305	5.0	7372881.86440678	0.5	6.500325016250813e-05	10-04-24 19:14:14.535029
0	4576272.033898305	5.0	7627119.13559322	0.5	6.500325016250813e-05	10-04-24 19:14:15.056268
0	4576272.033898305	5.0	7881356.406779662	0.5	6.500325016250813e-05	10-04-24 19:14:15.578188
0	4576272.033898305	5.0	8135593.677966102	0.5	6.500325016250813e-05	10-04-24 19:14:16.099862
0	4576272.033898305	5.0	8389830.949152542	0.5	6.500325016250813e-05	10-04-24 19:14:16.621267
0	4576272.033898305	5.0	8644068.220338983	0.5	6.500325016250813e-05	10-04-24 19:14:17.142704
0	4576272.033898305	5.0	8898305.491525423	0.5	6.500325016250813e-05	10-04-24 19:14:17.664075
0	4576272.033898305	5.0	9152542.762711866	0.5	6.500325016250813e-05	10-04-24 19:14:18.185730
0	4576272.033898305	5.0	9406780.033898305	0.5	6.500325016250813e-05	10-04-24 19:14:18.707047
0	4576272.033898305	5.0	9661017.305084744	0.5	6.500325016250813e-05	10-04-24 19:14:19.228594
0	4576272.033898305	5.0	9915254.576271188	0.5	6.500325016250813e-05	10-04-24 19:14:19.749948
0	4576272.033898305	5.0	10169491.847457627	0.5	6.500325016250813e-05	10-04-24 19:14:20.271597
0	4576272.033898305	5.0	10423729.118644068	0.5	6.500325016250813e-05	10-04-24 19:14:20.792791
0	4576272.033898305	5.0	10677966.38983051	0.5	6.500325016250813e-05	10-04-24 19:14:21.321526
0	4576272.033898305	5.0	10932203.661016949	0.5	6.500325016250813e-05	10-04-24 19:14:21.842958
0	4576272.033898305	5.0	11186440.93220339	0.5	6.500325016250813e-05	10-04-24 19:14:22.364530
0	4576272.033898305	5.0	11440678.20338983	0.5	6.500325016250813e-05	10-04-24 19:14:22.885932
0	4576272.033898305	5.0	11694915.474576272	0.5	6.500325016250813e-05	10-04-24 19:14:23.407324
0	4576272.033898305	5.0	11949152.745762711	0.5	6.500325016250813e-05	10-04-24 19:14:23.935079
0	4576272.033898305	5.0	12203390.016949153	0.5	6.500325016250813e-05	10-04-24 19:14:24.456438
0	4576272.033898305	5.0	12457627.288135594	0.5	6.500325016250813e-05	10-04-24 19:14:24.977829
0	4576272.033898305	5.0	12711864.559322033	0.5	6.500325016250813e-05	10-04-24 19:14:25.507045
0	4576272.033898305	5.0	12966101.830508474	0.5	6.500325016250813e-05	10-04-24 19:14:26.036266
0	4576272.033898305	5.0	13220339.101694915	0.5	6.500325016250813e-05	10-04-24 19:14:26.557738
0	4576272.033898305	5.0	13474576.372881357	0.5	6.500325016250813e-05	10-04-24 19:14:27.079250
0	4576272.033898305	5.0	13728813.644067796	0.5	6.500325016250813e-05	10-04-24 19:14:27.600511
0	4576272.033898305	5.0	13983050.915254237	0.5	6.500325016250813e-05	10-04-24 19:14:28.122302
0	4576272.033898305	5.0	14237288.186440678	0.5	6.500325016250813e-05	10-04-24 19:14:28.647060
0	4576272.033898305	5.0	14491525.457627118	0.5	6.500325016250813e-05	10-04-24 19:14:29.168443
0	4576272.033898305	5.0	14745762.72881356	0.5	6.500325016250813e-05	10-04-24 19:14:29.689630
0	4576272.033898305	5.0	15000000.0	0.5	6.500325016250813e-05	10-04-24 19:14:30.211291
