# 
A1	f1	A2	f2	Amax	Delay	a	
0	0	0.0	6000000.0	0.0008317637711026717	0.1	0	10-04-24 20:37:38.456549
0	0	0.5	6000000.0	0.0018197008586099844	0.1	0	10-04-24 20:37:44.954430
0	0	1.0	6000000.0	0.003981071705534975	0.1	0	10-04-24 20:37:51.452000
0	0	1.5	6000000.0	0.006309573444801933	0.1	0	10-04-24 20:37:57.949723
0	0	2.0	6000000.0	0.008709635899560818	0.1	0	10-04-24 20:38:04.447700
0	0	2.5	6000000.0	0.010964781961431865	0.1	0	10-04-24 20:38:10.945301
0	0	3.0	6000000.0	0.013803842646028866	0.1	0	10-04-24 20:38:17.442889
0	0	3.5	6000000.0	0.016595869074375616	0.1	0	10-04-24 20:38:23.940656
0	0	4.0	6000000.0	0.01905460717963249	0.1	0	10-04-24 20:38:30.438280
0	0	4.5	6000000.0	0.021877616239495554	0.1	0	10-04-24 20:38:36.935974
0	0	5.0	6000000.0	0.025118864315095843	0.1	0	10-04-24 20:38:43.433794
0	0	5.5	6000000.0	0.027542287033381702	0.1	0	10-04-24 20:38:49.931635
0	0	6.0	6000000.0	0.030199517204020192	0.1	0	10-04-24 20:38:56.429305
0	0	6.5	6000000.0	0.033113112148259134	0.1	0	10-04-24 20:39:02.926965
0	0	7.0	6000000.0	0.03467368504525321	0.1	0	10-04-24 20:39:09.424935
0	0	7.5	6000000.0	0.03801893963205616	0.1	0	10-04-24 20:39:15.922432
0	0	8.0	6000000.0	0.03981071705534979	0.1	0	10-04-24 20:39:22.419874
0	0	8.5	6000000.0	0.04365158322401665	0.1	0	10-04-24 20:39:28.917956
0	0	9.0	6000000.0	0.04570881896148752	0.1	0	10-04-24 20:39:35.415572
0	0	9.5	6000000.0	0.04786300923226388	0.1	0	10-04-24 20:39:41.913064
0	0	10.0	6000000.0	0.05248074602497729	0.1	0	10-04-24 20:39:48.411360
0	0	10.5	6000000.0	0.04786300923226388	0.1	0	10-04-24 20:39:54.965037
0	0	11.0	6000000.0	0.05011872336272731	0.1	0	10-04-24 20:40:01.479813
0	0	11.5	6000000.0	0.05248074602497729	0.1	0	10-04-24 20:40:07.977750
0	0	12.0	6000000.0	0.054954087385762525	0.1	0	10-04-24 20:40:14.475290
0	0	12.5	6000000.0	0.06025595860743583	0.1	0	10-04-24 20:40:20.972879
0	0	13.0	6000000.0	0.06309573444801943	0.1	0	10-04-24 20:40:27.471172
0	0	13.5	6000000.0	0.06309573444801943	0.1	0	10-04-24 20:40:33.968340
0	0	14.0	6000000.0	0.06606934480075964	0.1	0	10-04-24 20:40:40.465963
0	0	14.5	6000000.0	0.06918309709189374	0.1	0	10-04-24 20:40:46.963932
0	0	15.0	6000000.0	0.06918309709189374	0.1	0	10-04-24 20:40:53.462128
0	0	15.5	6000000.0	0.07244359600749903	0.1	0	10-04-24 20:40:59.959897
0	0	16.0	6000000.0	0.07244359600749903	0.1	0	10-04-24 20:41:06.456368
0	0	16.5	6000000.0	0.07585775750291845	0.1	0	10-04-24 20:41:12.953636
0	0	17.0	6000000.0	0.0008317637711026717	0.1	0	10-04-24 20:41:19.446924
0	0	17.5	6000000.0	0.0008317637711026717	0.1	0	10-04-24 20:41:25.944693
0	0	18.0	6000000.0	0.0008317637711026717	0.1	0	10-04-24 20:41:32.442488
0	0	18.5	6000000.0	0.0008317637711026717	0.1	0	10-04-24 20:41:38.940106
0	0	19.0	6000000.0	0.0008317637711026717	0.1	0	10-04-24 20:41:45.437815
0	0	19.5	6000000.0	0.0008317637711026717	0.1	0	10-04-24 20:41:51.935543
0	0	20.0	6000000.0	0.0008317637711026717	0.1	0	10-04-24 20:41:58.433094
