# 
A1	f1	A2	f2	Delay	a	
1.0	0	7.0	10000000.0	0.1	0	10-04-24 18:18:49.117101
1052632.5263157894	0	7.0	10000000.0	0.1	0	10-04-24 18:18:49.239483
2105264.052631579	0	7.0	10000000.0	0.1	0	10-04-24 18:18:49.361631
3157895.578947368	0	7.0	10000000.0	0.1	0	10-04-24 18:18:49.483488
4210527.105263158	0	7.0	10000000.0	0.1	0	10-04-24 18:18:49.605427
5263158.631578947	0	7.0	10000000.0	0.1	0	10-04-24 18:18:49.727106
6315790.157894736	0	7.0	10000000.0	0.1	0	10-04-24 18:18:49.848842
7368421.684210526	0	7.0	10000000.0	0.1	0	10-04-24 18:18:49.970392
8421053.210526315	0	7.0	10000000.0	0.1	0	10-04-24 18:18:50.092142
9473684.736842105	0	7.0	10000000.0	0.1	0	10-04-24 18:18:50.213549
10526316.263157895	0	7.0	10000000.0	0.1	0	10-04-24 18:18:50.335272
11578947.789473685	0	7.0	10000000.0	0.1	0	10-04-24 18:18:50.456932
12631579.315789472	0	7.0	10000000.0	0.1	0	10-04-24 18:18:50.578505
13684210.842105264	0	7.0	10000000.0	0.1	0	10-04-24 18:18:50.699899
14736842.368421052	0	7.0	10000000.0	0.1	0	10-04-24 18:18:50.821339
15789473.894736843	0	7.0	10000000.0	0.1	0	10-04-24 18:18:50.942983
16842105.42105263	0	7.0	10000000.0	0.1	0	10-04-24 18:18:51.064442
17894736.94736842	0	7.0	10000000.0	0.1	0	10-04-24 18:18:51.185877
18947368.47368421	0	7.0	10000000.0	0.1	0	10-04-24 18:18:51.307348
20000000.0	0	7.0	10000000.0	0.1	0	10-04-24 18:18:51.428761
