# 
A1	f1	A2	f2	Delay	a	
20000000.0	1.0	7.0	10000000.0	0.1	0.0	10-04-24 18:19:18.468508
20000000.0	1052632.5263157894	7.0	10000000.0	0.1	0.0	10-04-24 18:19:18.594099
20000000.0	2105264.052631579	7.0	10000000.0	0.1	0.0	10-04-24 18:19:18.719648
20000000.0	3157895.578947368	7.0	10000000.0	0.1	0.0	10-04-24 18:19:18.845536
20000000.0	4210527.105263158	7.0	10000000.0	0.1	0.0	10-04-24 18:19:18.966998
20000000.0	5263158.631578947	7.0	10000000.0	0.1	0.0	10-04-24 18:19:19.090910
20000000.0	6315790.157894736	7.0	10000000.0	0.1	0.0	10-04-24 18:19:19.216017
20000000.0	7368421.684210526	7.0	10000000.0	0.1	0.0	10-04-24 18:19:19.338088
20000000.0	8421053.210526315	7.0	10000000.0	0.1	0.0	10-04-24 18:19:19.464491
20000000.0	9473684.736842105	7.0	10000000.0	0.1	0.0	10-04-24 18:19:19.587611
20000000.0	10526316.263157895	7.0	10000000.0	0.1	0.0	10-04-24 18:19:19.710486
20000000.0	11578947.789473685	7.0	10000000.0	0.1	0.0	10-04-24 18:19:19.837167
20000000.0	12631579.315789472	7.0	10000000.0	0.1	0.0	10-04-24 18:19:19.963626
20000000.0	13684210.842105264	7.0	10000000.0	0.1	0.0	10-04-24 18:19:20.090927
20000000.0	14736842.368421052	7.0	10000000.0	0.1	0.0	10-04-24 18:19:20.215516
20000000.0	15789473.894736843	7.0	10000000.0	0.1	0.0	10-04-24 18:19:20.343386
20000000.0	16842105.42105263	7.0	10000000.0	0.1	0.0	10-04-24 18:19:20.470060
20000000.0	17894736.94736842	7.0	10000000.0	0.1	0.0	10-04-24 18:19:20.597690
20000000.0	18947368.47368421	7.0	10000000.0	0.1	0.0	10-04-24 18:19:20.724478
20000000.0	20000000.0	7.0	10000000.0	0.1	0.0	10-04-24 18:19:20.850266
