# 
focus_V	pump_V	extractor_V	focus_I	pump_I	extractor_I	anode_I	time	Delay	
0	0	0	3.1343699200000003e-10	1.98265914e-10	3.45269324e-10	2.79914549e-06	1713169518.9076674	0.1	15-04-24 10:25:18.907732
0	0	0	3.54482258e-10	2.07350689e-10	3.19140898e-10	2.79914549e-06	1713169519.7044225	0.1	15-04-24 10:25:19.704474
0	0	0	3.47019482e-10	1.72801692e-10	5.78566369e-11	2.76182367e-06	1713169520.4974139	0.1	15-04-24 10:25:20.497463
0	0	0	3.39556706e-10	1.48232522e-10	2.51953516e-10	2.76182367e-06	1713169521.3011587	0.1	15-04-24 10:25:21.301209
0	0	0	2.83585889e-10	1.59599743e-10	1.6237034100000001e-10	4.62791449e-06	1713169522.0852695	0.1	15-04-24 10:25:22.085319
0	0	0	4.06721687e-10	3.78081881e-10	1.25044018e-10	2.35128369e-06	1713169522.8647366	0.1	15-04-24 10:25:22.864791
0	0	0	3.39556706e-10	-1.50177675e-10	2.1462719300000001e-10	2.94843275e-06	1713169523.6422482	0.1	15-04-24 10:25:23.642300
0	0	0	2.79854501e-10	1.2531926e-10	1.32509283e-10	2.94843275e-06	1713169524.4212577	0.1	15-04-24 10:25:24.421310
0	0	0	2.91048665e-10	-1.82623302e-10	9.33241708e-12	3.2843291e-06	1713169525.2005756	0.1	15-04-24 10:25:25.200669
0	0	0	2.0522674399999998e-10	1.10640411e-10	2.03429297e-10	2.94843275e-06	1713169525.9809802	0.1	15-04-24 10:25:25.981033
0	0	0	2.6119756199999996e-10	1.4093818000000002e-10	1.0638085700000001e-10	2.8364673e-06	1713169526.760776	0.1	15-04-24 10:25:26.760828
0	0	0	2.87317277e-10	1.69669348e-10	1.6237034100000001e-10	2.94843275e-06	1713169527.538411	0.1	15-04-24 10:25:27.538463
0	0	0	3.54482258e-10	1.55975053e-10	3.11675633e-10	3.09772002e-06	1713169528.317561	0.1	15-04-24 10:25:28.317608
0	0	0	2.35077847e-10	1.25364275e-10	2.6315141299999997e-10	2.50057096e-06	1713169529.1051385	0.1	15-04-24 10:25:29.105191
0	0	0	2.0895813199999998e-10	-1.00636347e-10	-3.41535019e-10	5.67292534e-06	1713169529.8827038	0.1	15-04-24 10:25:29.882755
0	0	0	2.5746617399999997e-10	1.7651667399999998e-10	3.45269324e-10	1.9034219e-06	1713169530.66207	0.1	15-04-24 10:25:30.662120
0	0	0	2.5000339799999997e-10	1.6183782e-10	3.26606162e-10	2.98575457e-06	1713169531.440464	0.1	15-04-24 10:25:31.440514
0	0	0	2.38809235e-10	1.16995709e-10	3.26606162e-10	3.0603982e-06	1713169532.2225356	0.1	15-04-24 10:25:32.222589
0	0	0	3.0597421600000003e-10	1.35031009e-10	8.02524307e-11	3.13504183e-06	1713169533.0000181	0.1	15-04-24 10:25:33.000067
0	0	0	2.87317277e-10	1.83811349e-10	-1.13844449e-10	3.20968547e-06	1713169533.7786045	0.1	15-04-24 10:25:33.778653
0	0	0	2.79854501e-10	2.48792131e-10	6.51345172e-10	1.71681281e-06	1713169534.552263	0.1	15-04-24 10:25:34.552312
0	0	0	2.79854501e-10	1.71907224e-10	1.28776651e-10	3.13504183e-06	1713169535.3327465	0.1	15-04-24 10:25:35.332795
0	0	0	2.9851144000000004e-10	-1.08154594e-10	-5.03896997e-11	4.10540906e-06	1713169536.1107647	0.1	15-04-24 10:25:36.110815
0	0	0	1.94032581e-10	-7.03319522e-10	-2.0510806100000004e-09	4.77720175e-06	1713169536.886019	0.1	15-04-24 10:25:36.886072
0	0	0	4.14184463e-10	7.542060200000001e-11	3.02529931e-09	3.2843291e-06	1713169537.6683342	0.1	15-04-24 10:25:37.668392
0	0	0	1.49255927e-10	1.89271236e-10	7.65197984e-11	3.62022545e-06	1713169538.4452362	0.1	15-04-24 10:25:38.445286
0	0	0	2.76123113e-10	1.59871046e-09	3.26606162e-10	2.42592732e-06	1713169539.2278967	0.1	15-04-24 10:25:39.227949
0	0	0	5.4105165e-10	-1.18914996e-11	2.51953516e-10	3.24700728e-06	1713169540.0114744	0.1	15-04-24 10:25:40.011553
0	0	0	3.1343699200000003e-10	1.95492131e-10	4.72178822e-10	3.0603982e-06	1713169540.7890177	0.1	15-04-24 10:25:40.789243
0	0	0	8.95537214e-11	1.69088087e-10	3.34071427e-10	3.24700728e-06	1713169541.5766268	0.1	15-04-24 10:25:41.576677
0	0	0	3.54482258e-10	1.57049632e-10	2.81814575e-10	3.17236365e-06	1713169542.3546226	0.1	15-04-24 10:25:42.354673
0	0	0	2.6119756199999996e-10	3.1064061599999997e-10	3.17282109e-11	3.0603982e-06	1713169543.1321044	0.1	15-04-24 10:25:43.132162
0	0	0	3.61945033e-10	1.29034717e-10	1.88498767e-10	3.24700728e-06	1713169543.9097269	0.1	15-04-24 10:25:43.909775
0	0	0	2.6866033799999996e-10	8.320802789999999e-11	3.0421036900000003e-10	3.20968547e-06	1713169544.6865823	0.1	15-04-24 10:25:44.686638
0	0	0	2.46272011e-10	3.6461254100000003e-10	2.8927983899999997e-10	2.72450185e-06	1713169545.463687	0.1	15-04-24 10:25:45.463745
