# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC1	temp_pt100	time	Delay	a	
0.081	0.0	250	250	-7450042.0	-7463427.0	-7470189.0	-7467817.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	22.4655287	1713994597.8809683	6	89.0	24-04-24 23:36:37.881029
0.6	0.002	250	250	-7153878.0	-7166525.0	-7172885.0	-7170372.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	22.483448	1713994604.662673	6	89.0	24-04-24 23:36:44.662728
1.2	0.005	250	250	-6778815.0	-6790762.0	-6796775.0	-6794448.0	-8125119.0	-8116207.0	-8115208.0	-8111162.0	-1.16089598	22.4014216	1713994611.4451365	6	89.0	24-04-24 23:36:51.445191
1.8	0.008	250	250	-6402936.0	-6414110.0	-6419817.0	-6417688.0	-7674458.0	-7665963.0	-7665065.0	-7661203.0	-1.09649927	22.327636	1713994618.2280633	6	89.0	24-04-24 23:36:58.228114
2.401	0.011	250	250	-6025777.0	-6036199.0	-6041571.0	-6039650.0	-7222260.0	-7214216.0	-7213376.0	-7209733.0	-1.03189246	22.3224615	1713994625.0138276	6	89.0	24-04-24 23:37:05.013880
3.0	0.015	250	250	-5649183.0	-5658833.0	-5663901.0	-5662165.0	-6770866.0	-6763209.0	-6762461.0	-6758990.0	-0.967401093	22.2675536	1713994631.7984786	6	89.0	24-04-24 23:37:11.798532
3.6	0.018	250	250	-5272704.0	-5281642.0	-5286363.0	-5284821.0	-6319570.0	-6312435.0	-6311731.0	-6308451.0	-0.902932202	22.2604625	1713994638.582477	6	89.0	24-04-24 23:37:18.582525
4.2	0.021	250	250	-4895825.0	-4904000.0	-4908432.0	-4907083.0	-5867808.0	-5861064.0	-5860426.0	-5857338.0	-0.838395786	22.2894017	1713994645.3652408	6	89.0	24-04-24 23:37:25.365293
4.8	0.024	250	250	-4519237.0	-4526673.0	-4530773.0	-4529606.0	-5416522.0	-5410212.0	-5409685.0	-5406737.0	-0.773915871	22.2733031	1713994652.1460114	6	89.0	24-04-24 23:37:32.146065
5.4	0.027	250	250	-4142141.0	-4148829.0	-4152581.0	-4151635.0	-4964521.0	-4958649.0	-4958172.0	-4955451.0	-0.709345954	22.2504967	1713994658.9291818	6	89.0	24-04-24 23:37:38.929232
