# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC1	temp_pt100	time	Delay	a	
0.083	0.0	250	250	-7448590.0	-7461933.0	-7468773.0	-7466492.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	21.72202	1713960587.31425	6	46.0	24-04-24 14:09:47.314310
0.6	0.002	250	250	-7153548.0	-7166151.0	-7172540.0	-7170068.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	21.8262779	1713960594.0812974	6	46.0	24-04-24 14:09:54.081357
1.2	0.005	250	250	-6778584.0	-6790453.0	-6796491.0	-6794195.0	-8124844.0	-8115957.0	-8115018.0	-8111016.0	-1.16089688	21.8049089	1713960600.8610551	6	46.0	24-04-24 14:10:00.861112
1.8	0.008	250	250	-6402695.0	-6413809.0	-6419543.0	-6417403.0	-7674275.0	-7665859.0	-7664959.0	-7661143.0	-1.09650411	21.8447722	1713960607.645563	6	46.0	24-04-24 14:10:07.645612
2.401	0.011	250	250	-6025580.0	-6035923.0	-6041356.0	-6039434.0	-7222151.0	-7214135.0	-7213285.0	-7209669.0	-1.03190461	21.8357646	1713960614.428603	6	46.0	24-04-24 14:10:14.428660
3.001	0.015	250	250	-5648981.0	-5658584.0	-5663680.0	-5661960.0	-6770886.0	-6763258.0	-6762541.0	-6759071.0	-0.967431893	21.813629	1713960621.213246	6	46.0	24-04-24 14:10:21.213305
3.6	0.018	250	250	-5272552.0	-5281404.0	-5286195.0	-5284652.0	-6319619.0	-6312413.0	-6311742.0	-6308492.0	-0.902960305	21.7432932	1713960627.9974756	6	46.0	24-04-24 14:10:27.997525
4.2	0.021	250	250	-4895687.0	-4903813.0	-4908244.0	-4906896.0	-5868228.0	-5861483.0	-5860872.0	-5857811.0	-0.838471606	21.7492344	1713960634.7770383	6	46.0	24-04-24 14:10:34.777129
4.8	0.024	250	250	-4519123.0	-4526483.0	-4530616.0	-4529448.0	-5416822.0	-5410513.0	-5409982.0	-5407109.0	-0.773980655	21.7965721	1713960641.5611126	6	46.0	24-04-24 14:10:41.561162
5.4	0.027	250	250	-4142046.0	-4148679.0	-4152483.0	-4151513.0	-4965018.0	-4959112.0	-4958674.0	-4956016.0	-0.709426532	21.834998	1713960648.3419406	6	46.0	24-04-24 14:10:48.341993
