# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp_pt100	time	Delay	a	
0.023	0.0	250	250	-7453894.0	-7466953.0	-7473458.0	-7471033.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	9.9e+37	21.4025383	1714423100.210476	20.0	3301.0326703267033	29-04-24 22:38:20.210546
0.6	0.003	250	250	-7156127.0	-7168782.0	-7175148.0	-7172665.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	9.9e+37	21.6790902	1714423126.6678677	20.0	3301.0326703267033	29-04-24 22:38:46.667938
1.2	0.006	250	250	-6779661.0	-6791556.0	-6797620.0	-6795304.0	-8124996.0	-8116071.0	-8115048.0	-8111053.0	9.9e+37	9.9e+37	21.7088919	1714423153.1270587	20.0	3301.0326703267033	29-04-24 22:39:13.127125
1.799	0.009	250	250	-6403221.0	-6414363.0	-6420116.0	-6418004.0	-7674472.0	-7665972.0	-7665030.0	-7661241.0	9.9e+37	9.9e+37	21.8260863	1714423179.595466	20.0	3301.0326703267033	29-04-24 22:39:39.595536
2.4	0.012	250	250	-6025818.0	-6036214.0	-6041613.0	-6039732.0	-7222625.0	-7214537.0	-7213733.0	-7210028.0	9.9e+37	9.9e+37	22.0167787	1714423206.0547366	20.0	3301.0326703267033	29-04-24 22:40:06.054806
3.0	0.015	250	250	-5649094.0	-5658763.0	-5663834.0	-5662111.0	-6771650.0	-6763996.0	-6763210.0	-6759789.0	9.9e+37	9.9e+37	22.0985177	1714423232.508445	20.0	3301.0326703267033	29-04-24 22:40:32.508515
3.6	0.018	250	250	-5272513.0	-5281419.0	-5286156.0	-5284639.0	-6320769.0	-6313562.0	-6312832.0	-6309642.0	9.9e+37	9.9e+37	22.2723448	1714423258.9651291	20.0	3301.0326703267033	29-04-24 22:40:58.965197
4.2	0.021	250	250	-4895565.0	-4903756.0	-4908192.0	-4906819.0	-5869413.0	-5862680.0	-5862033.0	-5858994.0	9.9e+37	9.9e+37	22.4666786	1714423285.4212244	20.0	3301.0326703267033	29-04-24 22:41:25.421294
4.799	0.024	250	250	-4518990.0	-4526435.0	-4530558.0	-4529373.0	-5418237.0	-5411882.0	-5411336.0	-5408505.0	9.9e+37	9.9e+37	22.6654203	1714423311.875501	20.0	3301.0326703267033	29-04-24 22:41:51.875574
5.399	0.027	250	250	-4141905.0	-4148584.0	-4152383.0	-4151404.0	-4966484.0	-4960565.0	-4960113.0	-4957434.0	9.9e+37	9.9e+37	22.72924	1714423338.3275287	20.0	3301.0326703267033	29-04-24 22:42:18.327599
