# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	temp_pt100	time	VDC10	ch1a	ch2a	ch3a	ch4a	VDC1	ch1b	ch2b	ch3b	ch4b	Delay	a	
0.021	0.0	250	250	21.5841273	1714471333.5139906	-11.9546665	-7453610.0	-7466562.0	-7473154.0	-7470676.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	1001.009900099001	30-04-24 12:02:19.944460
0.6	0.003	250	250	21.50258	1714471359.982147	-11.3803319	-7156054.0	-7168560.0	-7175013.0	-7172518.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	1001.009900099001	30-04-24 12:02:46.418868
1.2	0.006	250	250	21.2588962	1714471386.4572392	-10.7815364	-6779480.0	-6791261.0	-6797339.0	-6795077.0	-1.16091878	-8125347.0	-8116317.0	-8115352.0	-8111378.0	20	1001.009900099001	30-04-24 12:03:12.900723
1.799	0.009	250	250	21.428507	1714471412.986868	-10.1830067	-6403064.0	-6414069.0	-6419878.0	-6417802.0	-1.09651541	-7674560.0	-7665958.0	-7665095.0	-7661217.0	20	1001.009900099001	30-04-24 12:03:39.429716
2.4	0.012	250	250	21.553559	1714471439.4664404	-9.58303099	-6025672.0	-6035966.0	-6041454.0	-6039563.0	-1.03196093	-7222756.0	-7214578.0	-7213789.0	-7210148.0	20	1001.009900099001	30-04-24 12:04:05.909669
3.0	0.015	250	250	21.5848939	1714471465.948725	-8.98404567	-5648986.0	-5658549.0	-5663683.0	-5661992.0	-0.967542425	-6771820.0	-6764132.0	-6763376.0	-6759957.0	20	1001.009900099001	30-04-24 12:04:32.391053
3.599	0.018	250	250	21.7853605	1714471492.4287922	-8.38528118	-5272392.0	-5281234.0	-5286035.0	-5284519.0	-0.903123653	-6320891.0	-6313608.0	-6312961.0	-6309737.0	20	1001.009900099001	30-04-24 12:04:58.870137
4.199	0.021	250	250	21.9283319	1714471518.907944	-7.78596969	-4895504.0	-4903592.0	-4908059.0	-4906745.0	-0.838642061	-5869587.0	-5862721.0	-5862221.0	-5859137.0	20	1001.009900099001	30-04-24 12:05:25.348285
4.799	0.024	250	250	22.0675661	1714471545.3864589	-7.18708839	-4518877.0	-4526231.0	-4530375.0	-4529236.0	-0.774161802	-5418246.0	-5411800.0	-5411343.0	-5408478.0	20	1001.009900099001	30-04-24 12:05:51.827724
5.399	0.027	250	250	22.2301817	1714471571.8686888	-6.58754455	-4141788.0	-4148387.0	-4152247.0	-4151290.0	-0.709616273	-4966423.0	-4960501.0	-4960030.0	-4957350.0	20	1001.009900099001	30-04-24 12:06:18.312009
5.998	0.03	250	250	22.4731947	1714471598.370004	-5.98868579	-3765160.0	-3771021.0	-3774541.0	-3773790.0	-0.645124427	-4515007.0	-4509484.0	-4509137.0	-4506626.0	20	1001.009900099001	30-04-24 12:06:44.811137
6.599	0.033	250	250	22.6317856	1714471624.8705304	-5.38919266	-3388109.0	-3393254.0	-3396422.0	-3395857.0	-0.580576127	-4063210.0	-4058115.0	-4057827.0	-4055572.0	20	1001.009900099001	30-04-24 12:07:11.313171
7.199	0.036	250	250	22.7449554	1714471651.3686023	-4.79048598	-3011562.0	-3015941.0	-3018808.0	-3018433.0	-0.516095057	-3611905.0	-3607235.0	-3607032.0	-3604951.0	20	1001.009900099001	30-04-24 12:07:37.809835
7.799	0.039	250	250	22.7196575	1714471677.8694482	-4.19038477	-2634144.0	-2637783.0	-2640314.0	-2640123.0	-0.451448575	-3159384.0	-3155176.0	-3155027.0	-3153155.0	20	1001.009900099001	30-04-24 12:08:04.310089
8.399	0.043	250	250	22.6565086	1714471704.3685656	-3.59182317	-2257683.0	-2260595.0	-2262787.0	-2262781.0	-0.386967696	-2708073.0	-2704316.0	-2704225.0	-2702543.0	20	1001.009900099001	30-04-24 12:08:30.810451
8.998	0.046	250	250	22.5201491	1714471730.8684165	-2.99333081	-1881268.0	-1883427.0	-1885304.0	-1885485.0	-0.322494517	-2256702.0	-2253384.0	-2253394.0	-2251848.0	20	1001.009900099001	30-04-24 12:08:57.309841
9.598	0.049	250	250	22.357821	1714471757.3691833	-2.3940286	-1504347.0	-1505758.0	-1507303.0	-1507684.0	-0.257916832	-1804689.0	-1801824.0	-1801880.0	-1800543.0	20	1001.009900099001	30-04-24 12:09:23.811424
10.198	0.052	250	250	22.2373686	1714471783.849256	-1.79445895	-1127249.0	-1127919.0	-1129146.0	-1129706.0	-0.193328519	-1352606.0	-1350134.0	-1350321.0	-1349142.0	20	1001.009900099001	30-04-24 12:09:50.290168
10.799	0.055	250	250	21.9817066	1714471810.328378	-1.19463441	-750013.5	-749943.4	-750838.4	-751601.8	-0.128705303	-900283.9	-898251.7	-898499.6	-897526.5	20	1001.009900099001	30-04-24 12:10:16.770654
11.399	0.058	250	250	21.8178453	1714471836.8099804	-0.595818498	-373417.9	-372604.8	-373175.6	-374126.4	-0.0641861985	-448652.7	-447073.3	-447372.8	-446593.3	20	1001.009900099001	30-04-24 12:10:43.252115
11.999	0.061	250	250	21.528357	1714471863.287737	0.00340719903	3433.744	4980.324	4737.712	3604.272	0.00037367685	3195.524	4359.256	3972.296	4567.988	20	1001.009900099001	30-04-24 12:11:09.729244
12.598	0.064	250	250	21.3325858	1714471889.7682872	0.602353427	380145.1	382420.4	382507.6	381198.8	0.0649083911	454931.4	455625.1	455166.2	455607.6	20	1001.009900099001	30-04-24 12:11:36.208745
13.198	0.067	250	250	21.3442765	1714471916.2485495	1.20175995	757150.8	760161.4	760569.6	759085.9	0.129489489	907045.8	907292.4	906722.9	906980.3	20	1001.009900099001	30-04-24 12:12:02.688070
13.798	0.07	250	250	21.3629625	1714471942.724226	1.80048228	1133705.0	1137462.0	1138186.0	1136514.0	0.19397933	1358463.0	1358299.0	1357674.0	1357719.0	20	1001.009900099001	30-04-24 12:12:29.165448
