# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	hvpsu1	hvpsu2	hvpsu3	hvpsu4	VDChvpsu1	VDChvpsu2	VDChvpsu3	VDChvpsu4	temp_pt100	time	VDC10	ch1a	ch2a	ch3a	ch4a	VDC1	ch1b	ch2b	ch3b	ch4b	Delay	a	b	
0.022	0.0	250	250	0	0	0	0	215.499865	220.357979	215.364101	215.425824	20.5991388	1715600777.9814694	-11.961252	-7454120.0	-7467244.0	-7473657.0	-7471295.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	301.0029700297003	0.0	13-05-24 13:46:24.404941
0.6	0.002	250	250	1638	1638	1638	1638	215.149104	220.044757	215.040814	215.124899	20.9562798	1715600817.2094293	-11.3809129	-7156333.0	-7168999.0	-7175279.0	-7172877.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	301.0029700297003	0.025	13-05-24 13:47:03.639608
1.2	0.005	250	250	3276	3276	3276	3276	215.120024	220.04285	215.012026	215.122159	21.1980471	1715600856.4356232	-10.7820307	-6779719.0	-6791653.0	-6797622.0	-6795361.0	-1.16088829	-8124346.0	-8115479.0	-8114487.0	-8110535.0	20	301.0029700297003	0.05	13-05-24 13:47:42.880719
1.8	0.008	250	250	4915	4915	4915	4915	212.618341	212.448401	212.438803	212.433548	21.4150914	1715600895.6750689	-10.1833686	-6403221.0	-6414428.0	-6420060.0	-6417987.0	-1.09661652	-7674584.0	-7666101.0	-7665173.0	-7661386.0	20	301.0029700297003	0.075	13-05-24 13:48:22.119003
2.4	0.012	250	250	6553	6553	6553	6553	200.114267	199.953281	199.945202	199.940218	21.6899185	1715600934.9138985	-9.58319157	-6025767.0	-6036205.0	-6041530.0	-6039632.0	-1.03216461	-7223402.0	-7215396.0	-7214514.0	-7210980.0	20	301.0029700297003	0.1	13-05-24 13:49:01.358784
3.0	0.015	250	250	8191	8191	8191	8191	187.608592	187.456307	187.451355	187.446482	21.6960513	1715600974.1534193	-8.98417223	-5649034.0	-5658754.0	-5663729.0	-5662043.0	-0.96775118	-6772627.0	-6764911.0	-6764166.0	-6760795.0	20	301.0029700297003	0.125	13-05-24 13:49:40.598405
3.6	0.018	250	250	9830	9830	9830	9830	175.098643	174.955487	174.953272	174.94868	21.5204035	1715601013.4004672	-8.38539149	-5272450.0	-5281402.0	-5286118.0	-5284574.0	-0.903222898	-6320911.0	-6313697.0	-6312992.0	-6309765.0	20	301.0029700297003	0.15	13-05-24 13:50:19.844272
4.2	0.021	250	250	11468	11468	11468	11468	162.59559	162.460358	162.460733	162.456476	21.0196203	1715601052.6390882	-7.78593034	-4895444.0	-4903626.0	-4907990.0	-4906702.0	-0.838913089	-5870891.0	-5864027.0	-5863420.0	-5860400.0	20	301.0029700297003	0.175	13-05-24 13:50:59.080382
4.799	0.024	250	250	13107	13107	13107	13107	150.082697	149.956303	149.959345	149.95461	20.3851608	1715601091.8824801	-7.18704267	-4518828.0	-4526250.0	-4530317.0	-4529204.0	-0.774375021	-5419130.0	-5412697.0	-5412178.0	-5409260.0	20	301.0029700297003	0.2	13-05-24 13:51:38.325745
5.4	0.027	250	250	14745	14745	14745	14745	137.579249	137.461728	137.464793	137.460642	19.6863188	1715601131.1985943	-6.58736537	-4141686.0	-4148344.0	-4152097.0	-4151162.0	-0.709743095	-4966731.0	-4960730.0	-4960319.0	-4957614.0	20	301.0029700297003	0.225	13-05-24 13:52:17.642092
5.999	0.03	250	250	16383	16383	16383	16383	125.072804	124.964468	124.968817	124.964731	19.4530351	1715601170.4444957	-5.98851982	-3765048.0	-3770959.0	-3774386.0	-3773652.0	-0.645341837	-4515956.0	-4510441.0	-4510018.0	-4507548.0	20	301.0029700297003	0.25	13-05-24 13:52:56.889488
6.6	0.033	250	250	18022	18022	18022	18022	112.563044	112.464363	112.470322	112.466596	19.8451849	1715601209.7280235	-5.38893998	-3387971.0	-3393143.0	-3396199.0	-3395691.0	-0.580696965	-4063375.0	-4058344.0	-4058032.0	-4055699.0	20	301.0029700297003	0.275	13-05-24 13:53:36.170150
7.199	0.036	250	250	19660	19660	19660	19660	100.059254	99.9699323	99.9780233	99.973909	20.1484723	1715601248.981245	-4.7901927	-3011409.0	-3015830.0	-3018609.0	-3018246.0	-0.516176189	-3611767.0	-3607155.0	-3606927.0	-3604811.0	20	301.0029700297003	0.3	13-05-24 13:54:15.423877
7.8	0.039	250	250	21298	21298	21298	21298	87.5552453	87.4749309	87.4862191	87.4823122	20.5322527	1715601288.263329	-4.1900773	-2633987.0	-2637644.0	-2640118.0	-2639938.0	-0.451462608	-3158785.0	-3154597.0	-3154451.0	-3152507.0	20	301.0029700297003	0.325	13-05-24 13:54:54.707268
8.399	0.042	250	250	22937	22937	22937	22937	75.0443479	74.9733018	74.9879348	74.9829486	20.7850399	1715601327.5060947	-3.5914951	-2257518.0	-2260441.0	-2262589.0	-2262599.0	-0.386983046	-2707427.0	-2703712.0	-2703643.0	-2701902.0	20	301.0029700297003	0.35	13-05-24 13:55:33.949191
8.999	0.045	250	250	24575	24575	24575	24575	62.5377664	62.4762404	62.4936018	62.4895874	21.1587587	1715601366.746212	-2.99306539	-1881126.0	-1883307.0	-1885131.0	-1885326.0	-0.322478282	-2255903.0	-2252616.0	-2252632.0	-2251085.0	20	301.0029700297003	0.375	13-05-24 13:56:13.187902
9.599	0.048	250	250	26214	26214	26214	26214	50.0291819	49.9763316	49.9965335	49.9936609	21.3722575	1715601406.011804	-2.39379699	-1504241.0	-1505673.0	-1507182.0	-1507569.0	-0.2579135	-1804016.0	-1801138.0	-1801208.0	-1799899.0	20	301.0029700297003	0.4	13-05-24 13:56:52.456022
10.199	0.051	250	250	27852	27852	27852	27852	37.5262287	37.4821103	37.5054267	37.5020491	21.6283986	1715601445.2596624	-1.79417292	-1127109.0	-1127790.0	-1129008.0	-1129565.0	-0.193299571	-1351691.0	-1349208.0	-1349426.0	-1348262.0	20	301.0029700297003	0.425	13-05-24 13:57:31.702701
10.799	0.054	250	250	29490	29490	29490	29490	25.0238639	24.9884377	25.0154967	25.0123117	21.8088377	1715601484.5044336	-1.19432843	-749854.4	-749784.6	-750681.5	-751432.9	-0.12867031	-899333.7	-897356.0	-897565.8	-896620.6	20	301.0029700297003	0.45	13-05-24 13:58:10.947798
11.399	0.058	250	250	31129	31129	31129	31129	12.5136064	12.487565	12.5162013	12.5139765	21.4352148	1715601523.7418432	-0.595221787	-373096.2	-372276.8	-372855.3	-373791.7	-0.0641242206	-447614.2	-445972.3	-446317.4	-445553.4	20	301.0029700297003	0.475	13-05-24 13:58:50.184799
