# 
Scope_Frequency	base_freq	A2	f2	scope_rms	scope_dBm	scope_pkpk	scope_thd	Pmax	lin_Pmax	base_P	base_dB	base_V	thd	lin_thd	Delay	a	
1000000.0	1000000.0	1.0	1000000.0	0.3475530155007767	3.8307211759276356	0.98302837632973	0.012901133125374992	-30.599999999999994	8.709635899560814e-07	5.495408738576254e-07	-32.599999999999994	0.00524185498586915	-4.486184006897729	0.5966103725574471	0.5	1000000.0	29-05-24 16:34:27.632102
1000000.0	1000000.0	1.2375	1000000.0	0.4352950852560008	5.785975231409724	1.2312004264067782	0.011233878145873193	-27.39999999999999	1.8197008586099864e-06	1.8197008586099864e-06	-27.39999999999999	0.009538608018495116	-9.815473523384101	0.32301770249310524	0.5	1000000.0	29-05-24 16:34:37.307829
1000000.0	1000000.0	1.475	1000000.0	0.5218599618569896	7.361379520436417	1.4760428714353215	0.00904048809575911	-23.799999999999997	4.168693834703356e-06	4.168693834703356e-06	-23.799999999999997	0.014437267460817084	-12.949538197164419	0.22517651331955468	0.5	1000000.0	29-05-24 16:34:46.986470
1000000.0	1000000.0	1.7125	1000000.0	0.6087102098494598	8.698511680679609	1.7216924686481576	0.00837766873273534	-22.19999999999999	6.0255958607435935e-06	6.0255958607435935e-06	-22.19999999999999	0.017357413201199642	-14.574698165960086	0.1867519269670037	0.5	1000000.0	29-05-24 16:34:56.593296
1000000.0	1000000.0	1.9500000000000002	1000000.0	0.6960458481755002	9.863056902696659	1.9687149570465532	0.00725331378027626	-20.999999999999986	7.943282347242839e-06	7.943282347242839e-06	-20.999999999999986	0.019928976826775177	-15.900530729936758	0.16031474313139715	0.5	1000000.0	29-05-24 16:35:06.131759
1000000.0	1000000.0	2.1875	1000000.0	0.7835512218493844	10.891647800158136	2.2162175295068187	0.007320318185112936	-20.19999999999999	9.54992586021439e-06	9.54992586021439e-06	-20.19999999999999	0.02185168856200178	-15.742204433292258	0.16326375404535526	0.5	1000000.0	29-05-24 16:35:15.671029
1000000.0	1000000.0	2.425	1000000.0	0.8699816873908263	11.800502178004905	2.4606798026486736	0.00574770037204147	-19.799999999999997	1.0471285480509e-05	1.0471285480509e-05	-19.799999999999997	0.022881526916389342	-15.930021947534883	0.1597713491945764	0.5	1000000.0	29-05-24 16:35:29.563930
1000000.0	1000000.0	2.6624999999999996	1000000.0	0.9561328944443038	12.620665151799432	2.704352213508355	0.005791417924003497	-19.39999999999999	1.1481536214968853e-05	1.1481536214968853e-05	-19.39999999999999	0.02395990005714637	-17.00363943495352	0.14119458076956226	0.5	1000000.0	29-05-24 16:35:39.240943
1000000.0	1000000.0	2.9000000000000004	1000000.0	1.043630778856081	13.381237534046742	2.9518336031365324	0.00544417775655205	-18.999999999999986	1.2589254117941714e-05	1.2589254117941714e-05	-18.999999999999986	0.02508909535828436	-17.205266140177756	0.13795476095053338	0.5	1000000.0	29-05-24 16:35:48.917531
1000000.0	1000000.0	3.1375	1000000.0	1.130541996474375	14.076033952776278	3.1976556484928342	0.005211843779249053	-18.999999999999986	1.2589254117941714e-05	1.2589254117941714e-05	-18.999999999999986	0.02508909535828436	-16.3027493366737	0.1530602904665525	0.5	1000000.0	29-05-24 16:35:58.456218
