# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	hvpsu1	hvpsu2	hvpsu3	hvpsu4	VDChvpsu1	VDChvpsu2	VDChvpsu3	VDChvpsu4	temp_pt100	time	VDC10	ch1a	ch2a	ch3a	ch4a	VDC1	ch1b	ch2b	ch3b	ch4b	Delay	a	b	
0.024	0.0	250	250	0	0	0	0	205.230509	210.149933	205.035509	205.110384	40.6001913	1717410636.8863685	-11.960565	-7438811.0	-7452001.0	-7459125.0	-7455927.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	401.0039600396004	0.0	03-06-24 12:30:43.568162
0.6	0.002	250	250	1638	1638	1638	1638	204.751538	209.754492	204.625236	204.736166	40.5747426	1717410676.4951649	-11.3813778	-7156878.0	-7169639.0	-7176604.0	-7173418.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	401.0039600396004	0.025	03-06-24 12:31:23.176236
1.2	0.005	250	250	3276	3276	3276	3276	204.57745	209.595418	204.47438	204.590064	40.6338339	1717410716.1207576	-10.7825708	-6780276.0	-6792287.0	-6798858.0	-6795897.0	-1.16066037	-8123558.0	-8113915.0	-8113220.0	-8109647.0	20	401.0039600396004	0.05	03-06-24 12:32:02.812016
1.8	0.008	250	250	4915	4915	4915	4915	204.468903	209.49495	204.363512	204.479201	40.6400033	1717410755.739662	-10.1838981	-6403781.0	-6415032.0	-6421282.0	-6418558.0	-1.09611598	-7671820.0	-7662616.0	-7662017.0	-7658616.0	20	401.0039600396004	0.075	03-06-24 12:32:42.432897
2.4	0.012	250	250	6553	6553	6553	6553	200.11157	199.935367	199.92468	199.927636	40.5111206	1717410795.3611863	-9.58374032	-6026319.0	-6036822.0	-6042707.0	-6040207.0	-1.03191641	-7222341.0	-7213652.0	-7213048.0	-7209808.0	20	401.0039600396004	0.1	03-06-24 12:33:22.053008
3.0	0.015	250	250	8191	8191	8191	8191	187.60539	187.439904	187.431596	187.434281	40.4959863	1717410834.9750874	-8.98464717	-5649530.0	-5659271.0	-5664803.0	-5662571.0	-0.967570617	-6771964.0	-6763670.0	-6763142.0	-6760106.0	20	401.0039600396004	0.125	03-06-24 12:34:01.668593
3.6	0.018	250	250	9830	9830	9830	9830	175.095484	174.940306	174.934505	174.937004	40.3726946	1717410874.593166	-8.38591166	-5272974.0	-5281964.0	-5287147.0	-5285095.0	-0.903066208	-6320389.0	-6312601.0	-6312179.0	-6309287.0	20	401.0039600396004	0.15	03-06-24 12:34:41.285021
4.2	0.021	250	250	11468	11468	11468	11468	162.592554	162.446997	162.44368	162.445492	40.4941547	1717410914.2087321	-7.78658291	-4896059.0	-4904317.0	-4909134.0	-4907312.0	-0.838599938	-5869153.0	-5861855.0	-5861421.0	-5858714.0	20	401.0039600396004	0.175	03-06-24 12:35:20.903524
4.8	0.024	250	250	13107	13107	13107	13107	150.080386	149.944305	149.942812	149.94443	40.479406	1717410953.829835	-7.18776135	-4519431.0	-4526921.0	-4531372.0	-4529809.0	-0.774127771	-5417828.0	-5410968.0	-5410641.0	-5408056.0	20	401.0039600396004	0.2	03-06-24 12:36:00.522485
5.4	0.027	250	250	14745	14745	14745	14745	137.577448	137.450943	137.450102	137.450915	40.5586443	1717410993.4510443	-6.58812966	-4142305.0	-4149032.0	-4153150.0	-4151806.0	-0.709555054	-4965823.0	-4959459.0	-4959188.0	-4956763.0	20	401.0039600396004	0.225	03-06-24 12:36:40.144712
