# 
Scope_Frequency	A2r	f2	scope_rms	scope_dBm	scope_pkpk	scope_thd	Delay	a	b	
1000000.0	25500.0	1000000.0	0.09522454027300596	-7.414722350515927	0.2693356726496561	0.037046161141303734	0.5	1000000.0	0	04-06-24 15:45:43.705431
1000000.0	25505.0	1000000.0	0.09397625682832388	-7.529337190715114	0.2658049938953456	0.0362754879763267	0.5	1000000.0	0	04-06-24 15:45:47.801764
1000000.0	25510.0	1000000.0	0.09241865279704463	-7.674507374524454	0.26139942440366143	0.038676252588906265	0.5	1000000.0	0	04-06-24 15:45:50.479813
1000000.0	25515.0	1000000.0	0.0914608172614956	-7.764998488084238	0.2586902563938687	0.03772674313287433	0.5	1000000.0	0	04-06-24 15:45:53.148217
1000000.0	25520.0	1000000.0	0.09034376021554745	-7.871736794195165	0.25553074194522013	0.03930697693838495	0.5	1000000.0	0	04-06-24 15:45:55.909172
1000000.0	25525.0	1000000.0	0.08894027136281132	-8.00773103982196	0.2515610760048624	0.03882794979069642	0.5	1000000.0	0	04-06-24 15:45:58.684228
1000000.0	25530.0	1000000.0	0.08805449903611803	-8.094669031128943	0.2490557335296935	0.03988496027588929	0.5	1000000.0	0	04-06-24 15:46:01.338873
1000000.0	25535.0	1000000.0	0.08700282202098013	-8.199033251157312	0.24608114173360535	0.0393440854468572	0.5	1000000.0	0	04-06-24 15:46:04.102722
1000000.0	25540.0	1000000.0	0.08523038042864904	-8.37781150466326	0.2410679198568278	0.039643501850733336	0.5	1000000.0	0	04-06-24 15:46:06.762596
1000000.0	25545.0	1000000.0	0.08394567805147196	-8.50973321594308	0.23743423280599418	0.042608266079789354	0.5	1000000.0	0	04-06-24 15:46:09.426139
1000000.0	25550.0	1000000.0	0.08311486647406857	-8.596125813117377	0.23508434280491328	0.04133445341737937	0.5	1000000.0	0	04-06-24 15:46:12.193287
1000000.0	25555.0	1000000.0	0.0814129441029177	-8.775830838560829	0.23027057940613782	0.04344987678061776	0.5	1000000.0	0	04-06-24 15:46:14.850785
1000000.0	25560.0	1000000.0	0.08107204804392752	-8.81227715710085	0.2293063797461709	0.04279739041368633	0.5	1000000.0	0	04-06-24 15:46:17.620213
1000000.0	25565.0	1000000.0	0.08004614023394356	-8.922892135371487	0.22640467426892333	0.04169574545746948	0.5	1000000.0	0	04-06-24 15:46:20.278003
1000000.0	25570.0	1000000.0	0.07903484459139912	-9.033327970101018	0.22354429824241298	0.041488150056636156	0.5	1000000.0	0	04-06-24 15:46:22.946122
1000000.0	25575.0	1000000.0	0.07768544369914372	-9.182907032430112	0.21972761615660114	0.04189735293395577	0.5	1000000.0	0	04-06-24 15:46:25.606402
1000000.0	25580.0	1000000.0	0.07663158409024706	-9.301543979951248	0.2167468510531234	0.0442591271645634	0.5	1000000.0	0	04-06-24 15:46:28.265347
1000000.0	25585.0	1000000.0	0.07522460225564626	-9.462502040976172	0.21276730546811332	0.042633145174324774	0.5	1000000.0	0	04-06-24 15:46:31.029930
1000000.0	25590.0	1000000.0	0.07412847355512285	-9.589998897909698	0.20966698531934014	0.04290441054328992	0.5	1000000.0	0	04-06-24 15:46:33.696563
1000000.0	25595.0	1000000.0	0.07281132620645772	-9.745721213592898	0.20594153003108814	0.04575540762928685	0.5	1000000.0	0	04-06-24 15:46:36.550401
1000000.0	25600.0	1000000.0	0.07155589949794042	-9.896791135034679	0.202390647075587	0.04523386912962753	0.5	1000000.0	0	04-06-24 15:46:39.147203
1000000.0	25605.0	1000000.0	0.07018431751964811	-10.064898420579187	0.19851122740437196	0.04453811731571163	0.5	1000000.0	0	04-06-24 15:46:41.886390
1000000.0	25610.0	1000000.0	0.06934678743975747	-10.169173108498576	0.19614233460861846	0.046487182108212795	0.5	1000000.0	0	04-06-24 15:46:44.550132
1000000.0	25615.0	1000000.0	0.06861867710025502	-10.260853222643336	0.19408292757456153	0.0448517291095134	0.5	1000000.0	0	04-06-24 15:46:47.419071
1000000.0	25620.0	1000000.0	0.0668405353086963	-10.488901655593207	0.1890535830996721	0.046835497368644466	0.5	1000000.0	0	04-06-24 15:46:50.084452
1000000.0	25625.0	1000000.0	0.06564182290875693	-10.64608738055889	0.18566311243291397	0.04744870660440269	0.5	1000000.0	0	04-06-24 15:46:52.740178
1000000.0	25630.0	1000000.0	0.06459843839473162	-10.785259653968808	0.18271197537190464	0.049492027781945995	0.5	1000000.0	0	04-06-24 15:46:55.508483
1000000.0	25635.0	1000000.0	0.06352001309594822	-10.931488464205632	0.1796617280048132	0.048473737808345276	0.5	1000000.0	0	04-06-24 15:46:58.173222
1000000.0	25640.0	1000000.0	0.06205494833942651	-11.134171675312498	0.1755178991079575	0.049211605713748545	0.5	1000000.0	0	04-06-24 15:47:00.933712
1000000.0	25645.0	1000000.0	0.060952456131261504	-11.289875831881053	0.1723995802415623	0.051135397233270624	0.5	1000000.0	0	04-06-24 15:47:03.700163
1000000.0	25650.0	1000000.0	0.06004781691503557	-11.419755585097214	0.16984087414427973	0.04962848245412585	0.5	1000000.0	0	04-06-24 15:47:06.556375
1000000.0	25655.0	1000000.0	0.058774664132544535	-11.605896922741561	0.166239854280336	0.05051259997746142	0.5	1000000.0	0	04-06-24 15:47:09.230562
1000000.0	25660.0	1000000.0	0.05741767603087613	-11.80878783270763	0.1624017123256192	0.053517358050988624	0.5	1000000.0	0	04-06-24 15:47:11.910710
1000000.0	25665.0	1000000.0	0.056678678878383716	-11.921305668631778	0.1603115127343995	0.05435647177296983	0.5	1000000.0	0	04-06-24 15:47:14.557263
1000000.0	25670.0	1000000.0	0.055463911341549085	-12.109490183833627	0.15687563128295529	0.05309392432070338	0.5	1000000.0	0	04-06-24 15:47:17.222139
1000000.0	25675.0	1000000.0	0.05386083990615317	-12.36423761299646	0.15234146055217568	0.05479236992753433	0.5	1000000.0	0	04-06-24 15:47:19.881563
1000000.0	25680.0	1000000.0	0.05301542549782347	-12.501655015917333	0.14995026750800472	0.05484695607909042	0.5	1000000.0	0	04-06-24 15:47:22.629908
1000000.0	25685.0	1000000.0	0.052222844331256256	-12.632489601423732	0.14770850943792302	0.05590792895089797	0.5	1000000.0	0	04-06-24 15:47:25.310564
1000000.0	25690.0	1000000.0	0.05068403277955079	-12.892276780921236	0.1433560931052065	0.057114887531420355	0.5	1000000.0	0	04-06-24 15:47:27.973067
1000000.0	25695.0	1000000.0	0.0494052310479668	-13.11424135031563	0.13973909560042194	0.0574624561982283	0.5	1000000.0	0	04-06-24 15:47:31.845226
1000000.0	25700.0	1000000.0	0.04834621184174606	-13.302451029551987	0.13674373695192005	0.05911950111261284	0.5	1000000.0	0	04-06-24 15:47:34.524279
1000000.0	25705.0	1000000.0	0.04728112033609938	-13.495944869474352	0.1337312032470122	0.05791298044795473	0.5	1000000.0	0	04-06-24 15:47:37.186838
1000000.0	25710.0	1000000.0	0.046485441475188655	-13.643360846623905	0.13148068357422515	0.06112216553457257	0.5	1000000.0	0	04-06-24 15:47:39.849318
1000000.0	25715.0	1000000.0	0.04488258874581077	-13.94814207768646	0.12694713143747927	0.06253478831903495	0.5	1000000.0	0	04-06-24 15:47:42.615294
1000000.0	25720.0	1000000.0	0.04363017413422055	-14.193961116935645	0.12340476797862902	0.061180614618025674	0.5	1000000.0	0	04-06-24 15:47:45.279322
1000000.0	25725.0	1000000.0	0.04276468449124252	-14.367994598469538	0.12095679359624309	0.061537936714940615	0.5	1000000.0	0	04-06-24 15:47:47.943298
1000000.0	25730.0	1000000.0	0.04138972117027519	-14.65185002929462	0.11706781004368796	0.06419879696312128	0.5	1000000.0	0	04-06-24 15:47:50.602537
1000000.0	25735.0	1000000.0	0.040343335559684744	-14.874263992658062	0.11410818459974985	0.06529418160304706	0.5	1000000.0	0	04-06-24 15:47:53.368413
1000000.0	25740.0	1000000.0	0.038712948480181024	-15.232575051541703	0.10949675356024581	0.06290886855597591	0.5	1000000.0	0	04-06-24 15:47:56.033196
1000000.0	25745.0	1000000.0	0.0381677552602218	-15.355767667939077	0.10795471426868543	0.06589553838289795	0.5	1000000.0	0	04-06-24 15:47:58.695467
1000000.0	25750.0	1000000.0	0.036475292976565286	-15.749724265034843	0.10316770803798146	0.06908265691286794	0.5	1000000.0	0	04-06-24 15:48:01.356372
1000000.0	25755.0	1000000.0	0.0357511110875199	-15.923909172824938	0.10111941233975556	0.06777970034043515	0.5	1000000.0	0	04-06-24 15:48:04.118832
1000000.0	25760.0	1000000.0	0.0345007811301401	-16.233121482956093	0.09758294517341978	0.0709922009180777	0.5	1000000.0	0	04-06-24 15:48:06.787248
1000000.0	25765.0	1000000.0	0.034021920463593015	-16.354523544366142	0.09622852267518396	0.07173045335637505	0.5	1000000.0	0	04-06-24 15:48:09.445775
1000000.0	25770.0	1000000.0	0.03235651696303473	-16.790464732112454	0.09151805024055766	0.07130351597016757	0.5	1000000.0	0	04-06-24 15:48:13.467793
1000000.0	25775.0	1000000.0	0.030620416642683945	-17.269478129056218	0.08660761700319694	0.06946860340087722	0.5	1000000.0	0	04-06-24 15:48:16.206387
1000000.0	25780.0	1000000.0	0.029883207932958976	-17.48115570873857	0.0845224758920117	0.07512112208539193	0.5	1000000.0	0	04-06-24 15:48:18.868782
1000000.0	25785.0	1000000.0	0.02887441665613917	-17.779435662813427	0.08166918328144722	0.0751420581769681	0.5	1000000.0	0	04-06-24 15:48:21.513845
1000000.0	25790.0	1000000.0	0.027699366654819885	-18.140303262404387	0.07834563998478271	0.08092930892962312	0.5	1000000.0	0	04-06-24 15:48:24.294752
1000000.0	25795.0	1000000.0	0.02615433131381693	-18.638827624859438	0.07397562011759848	0.0793489312364473	0.5	1000000.0	0	04-06-24 15:48:26.967027
1000000.0	25800.0	1000000.0	0.024500360474003113	-19.206250559564445	0.06929748413072984	0.08342462395837412	0.5	1000000.0	0	04-06-24 15:48:29.604489
1000000.0	25805.0	1000000.0	0.02346029931723236	-19.583029068509024	0.06635574694352453	0.08692999623600747	0.5	1000000.0	0	04-06-24 15:48:32.281512
1000000.0	25810.0	1000000.0	0.022539280657356178	-19.93089901548141	0.06375071278353335	0.09244358753701201	0.5	1000000.0	0	04-06-24 15:48:35.047309
1000000.0	25815.0	1000000.0	0.02150736793417714	-20.337954747378156	0.06083202284692306	0.08665180237961645	0.5	1000000.0	0	04-06-24 15:48:37.709066
1000000.0	25820.0	1000000.0	0.020302926998346568	-20.83852698204624	0.05742534943386519	0.0934641967943844	0.5	1000000.0	0	04-06-24 15:48:41.686731
1000000.0	25825.0	1000000.0	0.019037296040068104	-21.39759477401985	0.053845604501551854	0.10028329871979648	0.5	1000000.0	0	04-06-24 15:48:44.363485
1000000.0	25830.0	1000000.0	0.018010859670964652	-21.87901119347044	0.05094240403335367	0.096865988255553	0.5	1000000.0	0	04-06-24 15:48:47.130559
1000000.0	25835.0	1000000.0	0.01674414041662274	-22.512442896436163	0.04735958093493473	0.09813420817076986	0.5	1000000.0	0	04-06-24 15:48:49.795053
1000000.0	25840.0	1000000.0	0.015374315585066273	-23.253784213591565	0.04348513122520954	0.102520457306492	0.5	1000000.0	0	04-06-24 15:48:52.439795
1000000.0	25845.0	1000000.0	0.014406082839041854	-23.81878188808651	0.040746555463286586	0.1029800589551461	0.5	1000000.0	0	04-06-24 15:48:55.129244
1000000.0	25850.0	1000000.0	0.013594140232269623	-24.32266513065437	0.038450034970554874	0.10205619199879047	0.5	1000000.0	0	04-06-24 15:48:57.888351
1000000.0	25855.0	1000000.0	0.012252736017024523	-25.225038507029957	0.03465597090290676	0.11262489044475739	0.5	1000000.0	0	04-06-24 15:49:00.653247
1000000.0	25860.0	1000000.0	0.010898890788639867	-26.24205402745666	0.030826718336235393	0.11637344843628966	0.5	1000000.0	0	04-06-24 15:49:04.625400
1000000.0	25865.0	1000000.0	0.009827042408055849	-27.141243438764388	0.027795073302976283	0.1063934831038073	0.5	1000000.0	0	04-06-24 15:49:07.306404
1000000.0	25870.0	1000000.0	0.008941353266523868	-27.96163496563773	0.02528996611097406	0.12160491263953341	0.5	1000000.0	0	04-06-24 15:49:10.075955
1000000.0	25875.0	1000000.0	0.007798253842685536	-29.14975268540442	0.02205679269430798	0.12751020252420564	0.5	1000000.0	0	04-06-24 15:49:12.733519
1000000.0	25880.0	1000000.0	0.006628252160190026	-30.561719602741405	0.018747528199539	0.12501406252065878	0.5	1000000.0	0	04-06-24 15:49:16.729662
1000000.0	25885.0	1000000.0	0.005658708782223564	-31.93535316068719	0.016005245410680612	0.14454011566117062	0.5	1000000.0	0	04-06-24 15:49:19.391814
1000000.0	25890.0	1000000.0	0.004762040181748337	-33.43383893076939	0.013469083619188275	0.14638495585163794	0.5	1000000.0	0	04-06-24 15:49:22.057586
1000000.0	25895.0	1000000.0	0.003875461847466755	-35.223230727911464	0.010961461410293952	0.16685572183438954	0.5	1000000.0	0	04-06-24 15:49:26.029330
1000000.0	25900.0	1000000.0	0.002881257952561913	-37.7980572147231	0.008149428146416787	0.21531809819933034	0.5	1000000.0	0	04-06-24 15:49:28.815200
1000000.0	25905.0	1000000.0	0.0023051956409716615	-39.73554424981154	0.0065200778787709275	0.16722552539686675	0.5	1000000.0	0	04-06-24 15:49:31.582882
1000000.0	25910.0	1000000.0	0.0013644479711393887	-44.29056044555581	0.003859241651875554	0.20316014303506286	0.5	1000000.0	0	04-06-24 15:49:34.240199
1000000.0	25915.0	1000000.0	0.0009096125313030977	-47.8125713475349	0.0025727727565467247	0.2871347366211222	0.5	1000000.0	0	04-06-24 15:49:38.213866
1000000.0	25920.0	1000000.0	0.0008012661707869578	-48.914163896406436	0.0022663229715953453	0.34023760046820356	0.5	1000000.0	0	04-06-24 15:49:40.900704
1000000.0	25925.0	1000000.0	0.00079554731257988	-48.97637978341016	0.0022501475979198686	0.37272446815947	0.5	1000000.0	0	04-06-24 15:49:43.553391
1000000.0	25930.0	1000000.0	0.000723592750881457	-49.799815896408205	0.0020466293638628256	0.40603331045741403	0.5	1000000.0	0	04-06-24 15:49:46.573748
1000000.0	25935.0	1000000.0	0.0009490429283259238	-47.44398289463719	0.0026842987610255975	0.41082606141833006	0.5	1000000.0	0	04-06-24 15:49:49.291021
1000000.0	25940.0	1000000.0	0.0007290427403166602	-49.734640249577595	0.0020620442618109348	0.42970574360189007	0.5	1000000.0	0	04-06-24 15:49:51.957603
1000000.0	25945.0	1000000.0	0.0007847630042432525	-49.09492962156263	0.002219644967698925	0.44892582664618	0.5	1000000.0	0	04-06-24 15:49:54.616381
1000000.0	25950.0	1000000.0	0.0007558493913979975	-49.42099468891561	0.0021378649208529956	0.4563489228439963	0.5	1000000.0	0	04-06-24 15:49:57.280359
1000000.0	25955.0	1000000.0	0.0007779860015877009	-49.170264388602675	0.002200476709563486	0.3658728004678854	0.5	1000000.0	0	04-06-24 15:49:59.938409
