# 
ch1a_avglen	ch1_10V	ch2_1V	time	Delay	a	
250	1641.0	1624.0	1717765206.6601224	0.0	1.0	07-06-24 15:00:06.660139
250	1659.0	1629.0	1717765206.6951272	0.0	2.0	07-06-24 15:00:06.695154
250	1606.0	1617.0	1717765206.730062	0.0	3.0	07-06-24 15:00:06.730096
250	1583.0	3327.0	1717765206.763986	0.0	4.0	07-06-24 15:00:06.764010
250	1623.0	1630.0	1717765206.7978752	0.0	5.0	07-06-24 15:00:06.797889
250	1627.0	1604.0	1717765206.8308766	0.0	6.0	07-06-24 15:00:06.830892
250	1620.0	1637.0	1717765206.8644853	0.0	7.000000000000001	07-06-24 15:00:06.864501
250	1618.0	1608.0	1717765206.8977823	0.0	8.0	07-06-24 15:00:06.897799
250	1618.0	1634.0	1717765206.9315937	0.0	9.0	07-06-24 15:00:06.931618
250	1608.0	1614.0	1717765206.964645	0.0	10.0	07-06-24 15:00:06.964659
250	1611.0	1616.0	1717765206.9988203	0.0	11.0	07-06-24 15:00:06.998844
250	1608.0	1620.0	1717765207.0330245	0.0	12.0	07-06-24 15:00:07.033050
250	1599.0	1615.0	1717765207.0682662	0.0	13.000000000000002	07-06-24 15:00:07.068292
250	1596.0	1620.0	1717765207.103128	0.0	14.0	07-06-24 15:00:07.103144
250	1624.0	1596.0	1717765207.1363258	0.0	15.0	07-06-24 15:00:07.136342
250	1645.0	1628.0	1717765207.170292	0.0	15.999999999999998	07-06-24 15:00:07.170308
250	1635.0	1625.0	1717765207.204448	0.0	17.0	07-06-24 15:00:07.204469
250	1604.0	1626.0	1717765207.238006	0.0	18.0	07-06-24 15:00:07.238033
250	1614.0	1644.0	1717765207.2713711	0.0	19.0	07-06-24 15:00:07.271398
250	1636.0	1624.0	1717765207.306386	0.0	20.0	07-06-24 15:00:07.306418
250	1616.0	1617.0	1717765207.34111	0.0	21.0	07-06-24 15:00:07.341145
250	1617.0	1627.0	1717765207.375074	0.0	22.0	07-06-24 15:00:07.375088
250	1646.0	1604.0	1717765207.4094625	0.0	23.0	07-06-24 15:00:07.409488
250	1604.0	1625.0	1717765207.4425213	0.0	23.999999999999996	07-06-24 15:00:07.442537
250	1622.0	1651.0	1717765207.4759858	0.0	25.000000000000004	07-06-24 15:00:07.476001
250	1621.0	1634.0	1717765207.509155	0.0	26.0	07-06-24 15:00:07.509169
250	1612.0	1636.0	1717765207.5437186	0.0	27.0	07-06-24 15:00:07.543733
250	1623.0	1636.0	1717765207.578275	0.0	28.0	07-06-24 15:00:07.578306
250	1604.0	1633.0	1717765207.6125002	0.0	29.0	07-06-24 15:00:07.612532
250	1617.0	1626.0	1717765207.6476347	0.0	30.0	07-06-24 15:00:07.647660
250	1610.0	1608.0	1717765207.6808019	0.0	30.999999999999996	07-06-24 15:00:07.680819
250	1620.0	1622.0	1717765207.7152956	0.0	32.0	07-06-24 15:00:07.715310
250	1620.0	1627.0	1717765207.7499883	0.0	33.0	07-06-24 15:00:07.750031
250	1612.0	1621.0	1717765207.784845	0.0	34.0	07-06-24 15:00:07.784861
250	1617.0	1623.0	1717765207.8188457	0.0	35.0	07-06-24 15:00:07.818865
250	1632.0	1628.0	1717765207.8525984	0.0	36.0	07-06-24 15:00:07.852623
250	1607.0	1607.0	1717765207.8866532	0.0	37.0	07-06-24 15:00:07.886672
250	1632.0	1632.0	1717765207.9207163	0.0	38.0	07-06-24 15:00:07.920734
250	1605.0	1612.0	1717765207.95466	0.0	39.0	07-06-24 15:00:07.954702
250	1614.0	1658.0	1717765207.988482	0.0	40.0	07-06-24 15:00:07.988496
250	1646.0	1615.0	1717765208.0227673	0.0	41.0	07-06-24 15:00:08.022786
250	1597.0	1641.0	1717765208.056941	0.0	42.00000000000001	07-06-24 15:00:08.056977
250	1598.0	1621.0	1717765208.0910814	0.0	43.0	07-06-24 15:00:08.091095
250	1581.0	1624.0	1717765208.125232	0.0	44.0	07-06-24 15:00:08.125246
250	1614.0	1607.0	1717765208.158999	0.0	45.0	07-06-24 15:00:08.159025
250	1615.0	1619.0	1717765208.193015	0.0	46.0	07-06-24 15:00:08.193056
250	1604.0	1633.0	1717765208.2265196	0.0	46.99999999999999	07-06-24 15:00:08.226539
250	1621.0	1618.0	1717765208.260972	0.0	48.0	07-06-24 15:00:08.260996
250	1602.0	1644.0	1717765208.2945628	0.0	49.00000000000001	07-06-24 15:00:08.294581
250	1632.0	1628.0	1717765208.3281314	0.0	50.0	07-06-24 15:00:08.328146
250	1626.0	1618.0	1717765208.3618972	0.0	51.0	07-06-24 15:00:08.361912
250	1598.0	1631.0	1717765208.395707	0.0	52.0	07-06-24 15:00:08.395742
250	1585.0	1618.0	1717765208.4303071	0.0	53.0	07-06-24 15:00:08.430322
250	1625.0	1612.0	1717765208.4646883	0.0	53.99999999999999	07-06-24 15:00:08.464722
250	1622.0	1632.0	1717765208.497816	0.0	55.0	07-06-24 15:00:08.497831
250	1621.0	1632.0	1717765208.531717	0.0	56.00000000000001	07-06-24 15:00:08.531740
250	1622.0	1603.0	1717765208.564933	0.0	57.0	07-06-24 15:00:08.564948
250	1605.0	1643.0	1717765208.5981898	0.0	58.0	07-06-24 15:00:08.598206
250	1623.0	1605.0	1717765208.6311371	0.0	59.0	07-06-24 15:00:08.631152
250	1608.0	1607.0	1717765208.664421	0.0	60.0	07-06-24 15:00:08.664436
250	1602.0	1631.0	1717765208.6973941	0.0	60.99999999999999	07-06-24 15:00:08.697416
250	1611.0	1628.0	1717765208.7314558	0.0	62.0	07-06-24 15:00:08.731477
250	1633.0	1617.0	1717765208.7644737	0.0	63.0	07-06-24 15:00:08.764492
250	1630.0	1608.0	1717765208.7980976	0.0	64.0	07-06-24 15:00:08.798127
250	1608.0	1619.0	1717765208.832122	0.0	65.0	07-06-24 15:00:08.832147
250	1619.0	1610.0	1717765208.8657498	0.0	66.0	07-06-24 15:00:08.865769
250	1596.0	1630.0	1717765208.8988292	0.0	67.0	07-06-24 15:00:08.898844
250	1653.0	1634.0	1717765208.9319806	0.0	68.0	07-06-24 15:00:08.931997
250	1644.0	1616.0	1717765208.9654307	0.0	69.0	07-06-24 15:00:08.965456
250	1615.0	1633.0	1717765208.998513	0.0	70.0	07-06-24 15:00:08.998527
250	1636.0	1618.0	1717765209.032392	0.0	71.0	07-06-24 15:00:09.032410
250	1606.0	1627.0	1717765209.0663352	0.0	72.0	07-06-24 15:00:09.066358
250	1617.0	1641.0	1717765209.0991182	0.0	73.0	07-06-24 15:00:09.099149
250	1629.0	1634.0	1717765209.1321974	0.0	74.0	07-06-24 15:00:09.132227
