# 
ch1a_avglen	ch1_10V	ch2_1V	time	Delay	a	
250	1627.136	1658.284	1717765905.4302921	0.25	1.0	07-06-24 15:11:45.430336
250	1628.18	1657.48	1717765905.7144392	0.25	2.0	07-06-24 15:11:45.714478
250	1628.336	1657.512	1717765905.9971104	0.25	3.0	07-06-24 15:11:45.997127
250	1627.916	1657.22	1717765906.2807596	0.25	4.0	07-06-24 15:11:46.280795
250	1627.076	1658.916	1717765906.5651212	0.25	5.0	07-06-24 15:11:46.565141
250	1626.668	1658.096	1717765906.8501189	0.25	6.0	07-06-24 15:11:46.850156
250	1626.948	1657.652	1717765907.1345572	0.25	7.0	07-06-24 15:11:47.134576
250	1628.672	1658.092	1717765907.4194767	0.25	8.0	07-06-24 15:11:47.419504
250	1628.568	1658.288	1717765907.702798	0.25	9.0	07-06-24 15:11:47.702813
250	1628.9	1659.38	1717765907.9862733	0.25	10.0	07-06-24 15:11:47.986289
250	1630.712	1662.044	1717765908.2690315	0.25	11.0	07-06-24 15:11:48.269065
250	1629.576	1661.436	1717765908.5525227	0.25	12.0	07-06-24 15:11:48.552543
250	1628.316	1661.196	1717765908.8363016	0.25	13.0	07-06-24 15:11:48.836321
250	1626.932	1661.308	1717765909.1206462	0.25	14.0	07-06-24 15:11:49.120678
250	1625.36	1659.432	1717765909.4043455	0.25	15.0	07-06-24 15:11:49.404371
250	1625.52	1659.536	1717765909.6881657	0.25	16.0	07-06-24 15:11:49.688199
250	1624.964	1659.516	1717765909.9723196	0.25	17.0	07-06-24 15:11:49.972355
250	1626.044	1659.704	1717765910.2562997	0.25	18.0	07-06-24 15:11:50.256336
250	1627.444	1659.268	1717765910.541034	0.25	19.0	07-06-24 15:11:50.541068
250	1627.628	1658.576	1717765910.8253284	0.25	20.0	07-06-24 15:11:50.825357
250	1627.852	1658.924	1717765911.1096785	0.25	21.0	07-06-24 15:11:51.109713
250	1628.208	1658.88	1717765911.3931074	0.25	22.0	07-06-24 15:11:51.393133
250	1628.904	1658.74	1717765911.6763232	0.25	23.0	07-06-24 15:11:51.676339
250	1629.764	1658.068	1717765911.9604008	0.25	24.0	07-06-24 15:11:51.960421
250	1630.472	1658.84	1717765912.2439291	0.25	25.0	07-06-24 15:11:52.243943
250	1629.352	1657.996	1717765912.528106	0.25	26.000000000000004	07-06-24 15:11:52.528126
250	1627.968	1659.788	1717765912.811746	0.25	27.0	07-06-24 15:11:52.811766
250	1626.7	1659.496	1717765913.0950086	0.25	28.0	07-06-24 15:11:53.095027
250	1627.232	1659.748	1717765913.3800755	0.25	29.0	07-06-24 15:11:53.380111
250	1627.912	1660.972	1717765913.664178	0.25	30.0	07-06-24 15:11:53.664198
250	1628.468	1661.42	1717765913.9478748	0.25	31.0	07-06-24 15:11:53.947897
250	1627.436	1662.928	1717765914.231373	0.25	32.0	07-06-24 15:11:54.231401
250	1626.828	1661.52	1717765914.5144885	0.25	33.0	07-06-24 15:11:54.514504
250	1626.424	1660.604	1717765914.799534	0.25	34.0	07-06-24 15:11:54.799556
250	1626.508	1659.36	1717765915.0840075	0.25	35.0	07-06-24 15:11:55.084027
250	1626.732	1658.524	1717765915.3691797	0.25	36.0	07-06-24 15:11:55.369225
250	1627.128	1659.06	1717765915.653023	0.25	37.0	07-06-24 15:11:55.653059
250	1627.304	1660.16	1717765915.9370127	0.25	38.0	07-06-24 15:11:55.937027
250	1627.128	1660.512	1717765916.2203996	0.25	39.0	07-06-24 15:11:56.220424
250	1626.592	1661.876	1717765916.5048258	0.25	40.0	07-06-24 15:11:56.504845
250	1626.964	1663.432	1717765916.7888422	0.25	41.0	07-06-24 15:11:56.788877
250	1626.804	1662.4	1717765917.0733392	0.25	42.0	07-06-24 15:11:57.073360
250	1627.38	1662.56	1717765917.3582456	0.25	43.0	07-06-24 15:11:57.358260
250	1627.044	1660.16	1717765917.6425538	0.25	44.0	07-06-24 15:11:57.642574
250	1627.692	1659.696	1717765917.9271739	0.25	45.0	07-06-24 15:11:57.927203
250	1627.932	1659.368	1717765918.2113488	0.25	45.99999999999999	07-06-24 15:11:58.211380
250	1627.516	1659.54	1717765918.4947188	0.25	47.0	07-06-24 15:11:58.494738
250	1628.688	1660.612	1717765918.7785356	0.25	48.0	07-06-24 15:11:58.778555
250	1628.884	1661.116	1717765919.0631027	0.25	49.0	07-06-24 15:11:59.063145
250	1629.684	1661.924	1717765919.3466249	0.25	50.0	07-06-24 15:11:59.346652
250	1628.664	1662.224	1717765919.6309288	0.25	51.00000000000001	07-06-24 15:11:59.630956
