# 
ch1a avglen	ch1_10V	ch2_1V	time	Delay	a	
1.0	0.0	0.0	1717761841.1657178	1.0	1.0	07-06-24 14:04:01.165741
1.0	0.0	0.0	1717761842.2150993	1.0	2.0	07-06-24 14:04:02.215120
1.0	0.0	0.0	1717761843.2654893	1.0	3.0	07-06-24 14:04:03.265509
1.0	0.0	0.0	1717761844.3130424	1.0	4.0	07-06-24 14:04:04.313060
1.0	0.0	0.0	1717761845.3607507	1.0	5.0	07-06-24 14:04:05.360788
1.0	0.0	0.0	1717761846.4115431	1.0	6.0	07-06-24 14:04:06.411575
1.0	0.0	0.0	1717761847.461501	1.0	7.000000000000001	07-06-24 14:04:07.461536
1.0	0.0	0.0	1717761848.5135636	1.0	8.0	07-06-24 14:04:08.513597
1.0	0.0	0.0	1717761849.5633533	1.0	9.0	07-06-24 14:04:09.563373
1.0	0.0	0.0	1717761850.6141074	1.0	10.0	07-06-24 14:04:10.614126
1.0	0.0	0.0	1717761851.6626813	1.0	11.0	07-06-24 14:04:11.662700
1.0	0.0	0.0	1717761852.7118435	1.0	12.0	07-06-24 14:04:12.711885
1.0	0.0	0.0	1717761853.7621236	1.0	13.000000000000002	07-06-24 14:04:13.762144
1.0	0.0	0.0	1717761854.8121877	1.0	14.0	07-06-24 14:04:14.812205
1.0	0.0	0.0	1717761855.8619351	1.0	15.0	07-06-24 14:04:15.861969
1.0	0.0	0.0	1717761856.9112346	1.0	15.999999999999998	07-06-24 14:04:16.911268
1.0	0.0	0.0	1717761857.9575908	1.0	17.0	07-06-24 14:04:17.957609
1.0	0.0	0.0	1717761859.0069828	1.0	18.0	07-06-24 14:04:19.007008
1.0	0.0	0.0	1717761860.053319	1.0	19.0	07-06-24 14:04:20.053341
1.0	0.0	0.0	1717761861.1009464	1.0	20.0	07-06-24 14:04:21.100974
1.0	0.0	0.0	1717761862.148506	1.0	21.0	07-06-24 14:04:22.148521
1.0	0.0	0.0	1717761863.1955278	1.0	22.0	07-06-24 14:04:23.195553
1.0	0.0	0.0	1717761864.2454104	1.0	23.0	07-06-24 14:04:24.245429
1.0	0.0	0.0	1717761865.2952964	1.0	23.999999999999996	07-06-24 14:04:25.295317
1.0	0.0	0.0	1717761866.3423588	1.0	25.000000000000004	07-06-24 14:04:26.342378
1.0	0.0	0.0	1717761867.3929644	1.0	26.0	07-06-24 14:04:27.392999
1.0	0.0	0.0	1717761868.4429488	1.0	27.0	07-06-24 14:04:28.442970
1.0	0.0	0.0	1717761869.4915981	1.0	28.0	07-06-24 14:04:29.491617
1.0	0.0	0.0	1717761870.541128	1.0	29.0	07-06-24 14:04:30.541146
1.0	0.0	0.0	1717761871.590372	1.0	30.0	07-06-24 14:04:31.590402
1.0	0.0	0.0	1717761872.635385	1.0	30.999999999999996	07-06-24 14:04:32.635405
1.0	0.0	0.0	1717761873.683742	1.0	32.0	07-06-24 14:04:33.683765
1.0	0.0	0.0	1717761874.7353992	1.0	33.0	07-06-24 14:04:34.735419
1.0	0.0	0.0	1717761875.7846243	1.0	34.0	07-06-24 14:04:35.784650
1.0	0.0	0.0	1717761876.8357801	1.0	35.0	07-06-24 14:04:36.835799
1.0	0.0	0.0	1717761877.8874245	1.0	36.0	07-06-24 14:04:37.887455
1.0	0.0	0.0	1717761878.9383	1.0	37.0	07-06-24 14:04:38.938329
1.0	0.0	0.0	1717761879.985957	1.0	38.0	07-06-24 14:04:39.985975
1.0	0.0	0.0	1717761881.0363314	1.0	39.0	07-06-24 14:04:41.036350
1.0	0.0	0.0	1717761882.0848668	1.0	40.0	07-06-24 14:04:42.084887
1.0	0.0	0.0	1717761883.1339633	1.0	41.0	07-06-24 14:04:43.134000
1.0	0.0	0.0	1717761884.1854923	1.0	42.00000000000001	07-06-24 14:04:44.185516
1.0	0.0	0.0	1717761885.2366352	1.0	43.0	07-06-24 14:04:45.236659
1.0	0.0	0.0	1717761886.2889714	1.0	44.0	07-06-24 14:04:46.289006
1.0	0.0	0.0	1717761887.3382032	1.0	45.0	07-06-24 14:04:47.338221
1.0	0.0	0.0	1717761888.3900568	1.0	46.0	07-06-24 14:04:48.390079
1.0	0.0	0.0	1717761889.4420047	1.0	46.99999999999999	07-06-24 14:04:49.442024
1.0	0.0	0.0	1717761890.4923587	1.0	48.0	07-06-24 14:04:50.492395
1.0	0.0	0.0	1717761891.5401096	1.0	49.00000000000001	07-06-24 14:04:51.540136
1.0	0.0	0.0	1717761892.5918477	1.0	50.0	07-06-24 14:04:52.591870
1.0	0.0	0.0	1717761893.643908	1.0	51.0	07-06-24 14:04:53.643949
1.0	0.0	0.0	1717761894.6927447	1.0	52.0	07-06-24 14:04:54.692824
1.0	0.0	0.0	1717761895.742862	1.0	53.0	07-06-24 14:04:55.742877
1.0	0.0	0.0	1717761896.793097	1.0	53.99999999999999	07-06-24 14:04:56.793114
1.0	0.0	0.0	1717761897.839547	1.0	55.0	07-06-24 14:04:57.839569
1.0	0.0	0.0	1717761898.8867757	1.0	56.00000000000001	07-06-24 14:04:58.886801
1.0	0.0	0.0	1717761899.9341295	1.0	57.0	07-06-24 14:04:59.934152
1.0	0.0	0.0	1717761900.9844642	1.0	58.0	07-06-24 14:05:00.984501
1.0	0.0	0.0	1717761902.035341	1.0	59.0	07-06-24 14:05:02.035378
1.0	0.0	0.0	1717761903.0846708	1.0	60.0	07-06-24 14:05:03.084687
1.0	0.0	0.0	1717761904.1340055	1.0	60.99999999999999	07-06-24 14:05:04.134026
1.0	0.0	0.0	1717761905.1846294	1.0	62.0	07-06-24 14:05:05.184665
1.0	0.0	0.0	1717761906.2342315	1.0	63.0	07-06-24 14:05:06.234252
1.0	0.0	0.0	1717761907.2860065	1.0	64.0	07-06-24 14:05:07.286022
1.0	0.0	0.0	1717761908.3339832	1.0	65.0	07-06-24 14:05:08.334001
1.0	0.0	0.0	1717761909.3830767	1.0	66.0	07-06-24 14:05:09.383113
1.0	0.0	0.0	1717761910.4343708	1.0	67.0	07-06-24 14:05:10.434395
1.0	0.0	0.0	1717761911.4835818	1.0	68.0	07-06-24 14:05:11.483603
1.0	0.0	0.0	1717761912.5352597	1.0	69.0	07-06-24 14:05:12.535278
1.0	0.0	0.0	1717761913.5859966	1.0	70.0	07-06-24 14:05:13.586055
1.0	0.0	0.0	1717761914.6347117	1.0	71.0	07-06-24 14:05:14.634754
1.0	0.0	0.0	1717761915.6865468	1.0	72.0	07-06-24 14:05:15.686561
1.0	0.0	0.0	1717761916.7365046	1.0	73.0	07-06-24 14:05:16.736528
