# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	hvpsu1	hvpsu2	hvpsu3	hvpsu4	VDChvpsu1	VDChvpsu2	VDChvpsu3	VDChvpsu4	temp_pt100	time	VDC10	ch1a	ch2a	ch3a	ch4a	VDC1	ch1b	ch2b	ch3b	ch4b	Delay	a	b	
0.023	0.0	250	250	0	0	0	0	214.784401	219.633002	214.6341	214.702015	21.3996636	1717829709.0399683	-11.9621765	-7454907.0	-7467898.0	-7474430.0	-7472007.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	3701.0366303663036	0.0	08-06-24 08:55:15.719365
0.6	0.002	250	250	1638	1638	1638	1638	214.434965	219.329338	214.308737	214.416157	21.027478	1717829748.6532433	-11.3818179	-7157378.0	-7169955.0	-7176343.0	-7173878.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	3701.0366303663036	0.025	08-06-24 08:55:55.331953
1.2	0.005	250	250	3276	3276	3276	3276	214.292841	219.222118	214.213584	214.305002	20.8587296	1717829788.254715	-10.7828295	-6780637.0	-6792424.0	-6798461.0	-6796229.0	-1.16066091	-8123110.0	-8114278.0	-8113231.0	-8109290.0	20	3701.0366303663036	0.05	08-06-24 08:56:34.943900
1.8	0.008	250	250	4915	4915	4915	4915	212.612903	212.442805	212.4326	212.428334	20.4691038	1717829827.8575814	-10.1842051	-6404174.0	-6415259.0	-6420954.0	-6418870.0	-1.09624617	-7672284.0	-7663865.0	-7662848.0	-7659030.0	20	3701.0366303663036	0.075	08-06-24 08:57:14.546079
2.401	0.011	250	250	6553	6553	6553	6553	200.108783	199.947522	199.939169	199.935385	20.0263908	1717829867.4706256	-9.58406027	-6026752.0	-6037063.0	-6042428.0	-6040561.0	-1.03169496	-7220443.0	-7212466.0	-7211514.0	-7207879.0	20	3701.0366303663036	0.1	08-06-24 08:57:54.160800
3.001	0.015	250	250	8191	8191	8191	8191	187.602513	187.449969	187.444913	187.441232	19.6988333	1717829907.0839872	-8.98493787	-5649938.0	-5659518.0	-5664557.0	-5662897.0	-0.967409579	-6770410.0	-6762887.0	-6762065.0	-6758597.0	20	3701.0366303663036	0.125	08-06-24 08:58:33.773020
3.6	0.018	250	250	9830	9830	9830	9830	175.092656	174.949966	174.94751	174.943515	19.7378094	1717829946.69786	-8.38616794	-5273321.0	-5282175.0	-5286900.0	-5285412.0	-0.903027016	-6319786.0	-6312707.0	-6311926.0	-6308679.0	20	3701.0366303663036	0.15	08-06-24 08:59:13.379912
4.2	0.021	250	250	11468	11468	11468	11468	162.58952	162.454938	162.455369	162.451545	20.2272407	1717829986.295561	-7.78678598	-4896340.0	-4904459.0	-4908837.0	-4907551.0	-0.838492824	-5868004.0	-5861348.0	-5860683.0	-5857625.0	20	3701.0366303663036	0.175	08-06-24 08:59:52.989934
4.8	0.024	250	250	13107	13107	13107	13107	150.077234	149.95108	149.954024	149.950069	20.5242992	1717830025.9102645	-7.18793944	-4519699.0	-4527056.0	-4531125.0	-4530032.0	-0.774055712	-5416956.0	-5410738.0	-5410165.0	-5407295.0	20	3701.0366303663036	0.2	08-06-24 09:00:32.599276
5.4	0.027	250	250	14745	14745	14745	14745	137.574825	137.457426	137.460014	137.456717	20.9042466	1717830065.5211365	-6.58827596	-4142529.0	-4149145.0	-4152913.0	-4152001.0	-0.709528268	-4965279.0	-4959481.0	-4958975.0	-4956301.0	20	3701.0366303663036	0.225	08-06-24 09:01:12.209793
6.0	0.03	250	250	16383	16383	16383	16383	125.068963	124.960575	124.964545	124.961967	21.1288612	1717830105.1344264	-5.98939327	-3765867.0	-3771739.0	-3775172.0	-3774436.0	-0.645120581	-4514451.0	-4509058.0	-4508633.0	-4506139.0	20	3701.0366303663036	0.25	08-06-24 09:01:51.822621
6.6	0.033	250	250	18022	18022	18022	18022	112.560143	112.46114	112.467049	112.464054	21.4188286	1717830144.782513	-5.38982562	-3388788.0	-3393894.0	-3397029.0	-3396474.0	-0.580575979	-4062662.0	-4057681.0	-4057373.0	-4055066.0	20	3701.0366303663036	0.275	08-06-24 09:02:31.469645
7.2	0.036	250	250	19660	19660	19660	19660	100.057183	99.9675607	99.9753526	99.972243	21.6925058	1717830184.3952186	-4.79103556	-3012169.0	-3016542.0	-3019352.0	-3018983.0	-0.516082665	-3611220.0	-3606666.0	-3606424.0	-3604337.0	20	3701.0366303663036	0.3	08-06-24 09:03:11.082814
7.8	0.039	250	250	21298	21298	21298	21298	87.5540554	87.4730335	87.4840815	87.4808629	21.5240448	1717830224.0259109	-4.19102806	-2634765.0	-2638389.0	-2640890.0	-2640695.0	-0.45142984	-3158704.0	-3154546.0	-3154378.0	-3152477.0	20	3701.0366303663036	0.325	08-06-24 09:03:50.713383
8.4	0.042	250	250	22937	22937	22937	22937	75.0437913	74.9716933	74.9859798	74.9819697	21.1084504	1717830263.6363103	-3.59226575	-2258168.0	-2261067.0	-2263232.0	-2263230.0	-0.386934823	-2707241.0	-2703525.0	-2703437.0	-2701704.0	20	3701.0366303663036	0.35	08-06-24 09:04:30.326069
8.999	0.045	250	250	24575	24575	24575	24575	62.5369279	62.4748333	62.4922731	62.4892256	20.8954307	1717830303.2566233	-2.99373046	-1881704.0	-1883851.0	-1885693.0	-1885882.0	-0.322439153	-2255815.0	-2252476.0	-2252471.0	-2250943.0	20	3701.0366303663036	0.375	08-06-24 09:05:09.946010
9.599	0.048	250	250	26214	26214	26214	26214	50.0284402	49.9752963	49.9953895	49.9930804	20.6731159	1717830342.8703828	-2.39440077	-1504733.0	-1506143.0	-1507677.0	-1508042.0	-0.257872114	-1803880.0	-1800955.0	-1801026.0	-1799669.0	20	3701.0366303663036	0.4	08-06-24 09:05:49.559724
10.199	0.051	250	250	27852	27852	27852	27852	37.5257105	37.481597	37.5047212	37.5019966	20.2363441	1717830382.5022435	-1.79476209	-1127586.0	-1128251.0	-1129451.0	-1130016.0	-0.193294656	-1351789.0	-1349311.0	-1349471.0	-1348307.0	20	3701.0366303663036	0.425	08-06-24 09:06:29.185440
10.8	0.054	250	250	29490	29490	29490	29490	25.0235807	24.9877609	25.0148621	25.0123073	19.7807023	1717830422.101282	-1.19491737	-750299.1	-750222.2	-751106.2	-751859.9	-0.128690743	-899611.7	-897572.7	-897795.9	-896799.3	20	3701.0366303663036	0.45	08-06-24 09:07:08.789009
11.4	0.057	250	250	31129	31129	31129	31129	12.5138475	12.4876245	12.5160552	12.5143825	19.6726581	1717830461.7136126	-0.595937751	-373569.5	-372755.4	-373326.8	-374271.1	-0.0641722904	-447953.5	-446343.8	-446668.1	-445872.5	20	3701.0366303663036	0.475	08-06-24 09:07:48.401066
12.0	0.06	250	250	32767	32767	32767	32767	0.00983973446	-0.00714673437	0.0236440549	0.0214794624	20.0534135	1717830501.3231106	0.00338339517	3373.936	4919.432	4668.088	3548.724	0.000370376385	3837.616	4985.156	4592.296	5198.848	20	3701.0366303663036	0.5	08-06-24 09:08:28.012545
12.599	0.064	250	250	34405	34405	34405	34405	-12.490969	-12.4980559	-12.4646824	-12.4671307	20.4535801	1717830540.9347887	0.602268231	380048.7	382333.7	382399.6	381110.0	0.0648665015	455304.2	456035.4	455533.6	455960.9	20	3701.0366303663036	0.525	08-06-24 09:09:07.613627
