# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	hvpsu1	hvpsu2	hvpsu3	hvpsu4	VDChvpsu1	VDChvpsu2	VDChvpsu3	VDChvpsu4	temp_pt100	time	VDC10	ch1a	ch2a	ch3a	ch4a	VDC1	ch1b	ch2b	ch3b	ch4b	Delay	a	b	
0.023	0.0	250	250	0	0	0	0	214.664034	219.520604	214.496673	214.570428	21.360471	1718016403.0472474	-11.9619408	-7455097.0	-7468009.0	-7474590.0	-7472140.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	701.0069300693007	0.0	10-06-24 12:46:49.724935
0.6	0.002	250	250	1638	1638	1638	1638	214.30274	219.19914	214.169031	214.261946	21.6375979	1718016442.6540062	-11.3816228	-7157262.0	-7169713.0	-7176177.0	-7173661.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	701.0069300693007	0.025	10-06-24 12:47:29.331216
1.2	0.005	250	250	3276	3276	3276	3276	214.260158	219.158714	214.127214	214.232199	21.7912059	1718016482.25415	-10.7827476	-6780578.0	-6792306.0	-6798421.0	-6796138.0	-1.16071119	-8123405.0	-8114566.0	-8113430.0	-8109558.0	20	701.0069300693007	0.05	10-06-24 12:48:08.945211
1.8	0.008	250	250	4915	4915	4915	4915	212.616811	212.446204	212.43691	212.43183	21.3217576	1718016521.869746	-10.1840894	-6404090.0	-6415115.0	-6420880.0	-6418780.0	-1.09638706	-7673216.0	-7664743.0	-7663698.0	-7659977.0	20	701.0069300693007	0.075	10-06-24 12:48:48.556601
2.401	0.012	250	250	6553	6553	6553	6553	200.113085	199.951014	199.943618	199.938647	20.8386063	1718016561.480071	-9.58384381	-6026527.0	-6036809.0	-6042264.0	-6040392.0	-1.03164202	-7220060.0	-7212012.0	-7211084.0	-7207503.0	20	701.0069300693007	0.1	10-06-24 12:49:28.168681
3.001	0.015	250	250	8191	8191	8191	8191	187.607174	187.453987	187.448622	187.444568	20.8272031	1718016601.0941834	-8.98471102	-5649727.0	-5659256.0	-5664401.0	-5662697.0	-0.967406388	-6770424.0	-6762832.0	-6761983.0	-6758542.0	20	701.0069300693007	0.125	10-06-24 12:50:07.782865
3.6	0.018	250	250	9830	9830	9830	9830	175.096398	174.953191	174.950969	174.946463	20.5961682	1718016640.7075756	-8.38594691	-5273159.0	-5281942.0	-5286768.0	-5285223.0	-0.903008692	-6319674.0	-6312455.0	-6311710.0	-6308412.0	20	701.0069300693007	0.15	10-06-24 12:50:47.398272
4.2	0.021	250	250	11468	11468	11468	11468	162.593586	162.458473	162.459093	162.454757	20.2889522	1718016680.328262	-7.78668524	-4896247.0	-4904323.0	-4908762.0	-4907437.0	-0.838609358	-5868851.0	-5862123.0	-5861506.0	-5858451.0	20	701.0069300693007	0.175	10-06-24 12:51:27.017597
4.8	0.024	250	250	13107	13107	13107	13107	150.080979	149.954424	149.957021	149.952942	19.9635463	1718016719.9408538	-7.1878299	-4519606.0	-4526932.0	-4531048.0	-4529926.0	-0.774112663	-5417421.0	-5411097.0	-5410551.0	-5407673.0	20	701.0069300693007	0.2	10-06-24 12:52:06.631130
5.4	0.027	250	250	14745	14745	14745	14745	137.577476	137.460081	137.463338	137.458701	19.8276074	1718016759.553013	-6.58818312	-4142456.0	-4149031.0	-4152849.0	-4151890.0	-0.709619787	-4965988.0	-4960131.0	-4959610.0	-4956971.0	20	701.0069300693007	0.225	10-06-24 12:52:46.241868
