# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	hvpsu1	hvpsu2	hvpsu3	hvpsu4	VDChvpsu1	VDChvpsu2	VDChvpsu3	VDChvpsu4	temp_pt100	time	VDC10	ch1a	ch2a	ch3a	ch4a	VDC1	ch1b	ch2b	ch3b	ch4b	Delay	a	b	
0.086	0.0	250	250	0	0	0	0	210.365018	215.187289	210.117167	210.161518	30.3677532	1718101100.7340386	-11.9557585	-7447070.0	-7460147.0	-7466895.0	-7464171.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	6.0	101.0009900099001	0.0	11-06-24 12:18:27.412940
0.6	0.002	250	250	1638	1638	1638	1638	209.853514	214.767035	209.703397	209.767922	30.4163787	1718101126.3628967	-11.381188	-7156674.0	-7169356.0	-7175942.0	-7173205.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	6.0	101.0009900099001	0.025	11-06-24 12:18:53.040346
1.2	0.005	250	250	3276	3276	3276	3276	209.611389	214.557185	209.483801	209.605818	30.494314	1718101151.961637	-10.7826212	-6780197.0	-6792102.0	-6798402.0	-6795859.0	-1.16063955	-8122820.0	-8113620.0	-8112732.0	-8109040.0	6.0	101.0009900099001	0.05	11-06-24 12:19:18.650762
1.8	0.008	250	250	4915	4915	4915	4915	209.342557	212.356604	209.242131	209.366594	30.6115534	1718101177.572758	-10.183993	-6403728.0	-6414895.0	-6420858.0	-6418521.0	-1.09623916	-7672086.0	-7663313.0	-7662510.0	-7659026.0	6.0	101.0009900099001	0.075	11-06-24 12:19:44.260892
2.401	0.012	250	250	6553	6553	6553	6553	200.1261	199.957095	199.948571	199.947041	30.6238539	1718101203.1815853	-9.58388286	-6026317.0	-6036735.0	-6042360.0	-6040226.0	-1.03175974	-7220732.0	-7212456.0	-7211696.0	-7208395.0	6.0	101.0009900099001	0.1	11-06-24 12:20:09.869098
3.001	0.015	250	250	8191	8191	8191	8191	187.619466	187.459923	187.45414	187.452024	30.5131492	1718101228.7950845	-8.98489436	-5649592.0	-5659251.0	-5664557.0	-5662622.0	-0.967287625	-6769465.0	-6761640.0	-6760934.0	-6757820.0	6.0	101.0009900099001	0.125	11-06-24 12:20:35.484946
3.6	0.018	250	250	9830	9830	9830	9830	175.108681	174.958901	174.955388	174.953454	30.5603333	1718101254.4072185	-8.38613856	-5273017.0	-5281936.0	-5286878.0	-5285167.0	-0.90275385	-6317813.0	-6310383.0	-6309756.0	-6306803.0	6.0	101.0009900099001	0.15	11-06-24 12:21:01.096211
4.2	0.021	250	250	11468	11468	11468	11468	162.60448	162.463477	162.463056	162.460845	30.5814748	1718101280.0191882	-7.7867831	-4896076.0	-4904254.0	-4908851.0	-4907346.0	-0.838348186	-5866954.0	-5859977.0	-5859441.0	-5856639.0	6.0	101.0009900099001	0.175	11-06-24 12:21:26.706969
4.8	0.024	250	250	13107	13107	13107	13107	150.091067	149.959557	149.960882	149.959158	30.5602372	1718101305.6280425	-7.18803501	-4519502.0	-4526961.0	-4531200.0	-4529894.0	-0.773993532	-5416538.0	-5409945.0	-5409488.0	-5406890.0	6.0	101.0009900099001	0.2	11-06-24 12:21:52.315423
5.4	0.027	250	250	14745	14745	14745	14745	137.587496	137.465006	137.466243	137.464392	30.5425552	1718101331.2380157	-6.58835252	-4142376.0	-4149064.0	-4152964.0	-4151865.0	-0.709465522	-4964842.0	-4958716.0	-4958328.0	-4955893.0	6.0	101.0009900099001	0.225	11-06-24 12:22:17.924350
6.0	0.03	250	250	16383	16383	16383	16383	125.080649	124.967521	124.970156	124.968391	30.4702896	1718101356.8388276	-5.98948772	-3765738.0	-3771672.0	-3775254.0	-3774347.0	-0.645038177	-4513838.0	-4508201.0	-4507866.0	-4505600.0	6.0	101.0009900099001	0.25	11-06-24 12:22:43.518487
6.6	0.033	250	250	18022	18022	18022	18022	112.570568	112.467899	112.472098	112.469811	30.45501	1718101382.4412115	-5.38997615	-3388673.0	-3393872.0	-3397088.0	-3396420.0	-0.580505184	-4062162.0	-4056940.0	-4056691.0	-4054599.0	6.0	101.0009900099001	0.275	11-06-24 12:23:09.130875
7.199	0.036	250	250	19660	19660	19660	19660	100.066209	99.9733673	99.9797578	99.9767702	30.4820135	1718101408.0521052	-4.7912287	-3012119.0	-3016564.0	-3019468.0	-3018987.0	-0.516028227	-3610821.0	-3606053.0	-3605867.0	-3603934.0	6.0	101.0009900099001	0.3	11-06-24 12:23:34.750211
7.8	0.039	250	250	21298	21298	21298	21298	87.561658	87.4782823	87.4876669	87.4847158	30.4636588	1718101433.680452	-4.19114699	-2634703.0	-2638394.0	-2640962.0	-2640671.0	-0.451424298	-3158589.0	-3154284.0	-3154186.0	-3152434.0	6.0	101.0009900099001	0.325	11-06-24 12:24:00.369967
8.4	0.042	250	250	22937	22937	22937	22937	75.0497821	74.9765979	74.9893476	74.9850148	30.5406332	1718101459.2907376	-3.59255088	-2258238.0	-2261155.0	-2263404.0	-2263316.0	-0.386936359	-2707198.0	-2703343.0	-2703293.0	-2701699.0	6.0	101.0009900099001	0.35	11-06-24 12:24:25.979886
8.999	0.045	250	250	24575	24575	24575	24575	62.5421713	62.4795931	62.4946633	62.491203	30.5659069	1718101484.9118404	-2.99402971	-1881768.0	-1883945.0	-1885863.0	-1885982.0	-0.322470438	-2255934.0	-2252517.0	-2252563.0	-2251131.0	6.0	101.0009900099001	0.375	11-06-24 12:24:51.607525
9.599	0.048	250	250	26214	26214	26214	26214	50.0328857	49.979203	49.9972774	49.9947305	30.6303886	1718101510.531228	-2.39465285	-1504805.0	-1506236.0	-1507811.0	-1508140.0	-0.257924427	-1804127.0	-1801168.0	-1801277.0	-1800035.0	6.0	101.0009900099001	0.4	11-06-24 12:25:17.218358
10.199	0.051	250	250	27852	27852	27852	27852	37.5295677	37.485326	37.5058137	37.5023856	30.5951207	1718101536.1404572	-1.79506574	-1127714.0	-1128390.0	-1129648.0	-1130167.0	-0.193339967	-1352049.0	-1349516.0	-1349702.0	-1348612.0	6.0	101.0009900099001	0.425	11-06-24 12:25:42.830300
10.8	0.055	250	250	29490	29490	29490	29490	25.0263465	24.9909397	25.015154	25.0119509	30.5442849	1718101561.7721157	-1.1953551	-750534.4	-750462.3	-751375.5	-752111.1	-0.128737651	-899869.3	-897764.1	-898028.0	-897115.1	6.0	101.0009900099001	0.45	11-06-24 12:26:08.461140
11.399	0.058	250	250	31129	31129	31129	31129	12.5157832	12.4904302	12.5158479	12.5132135	30.5574503	1718101587.3925316	-0.596340546	-373816.6	-372990.1	-373576.0	-374505.8	-0.0642102868	-448226.1	-446567.6	-446926.5	-446159.5	6.0	101.0009900099001	0.475	11-06-24 12:26:34.081525
11.999	0.061	250	250	32767	32767	32767	32767	0.00991112729	-0.00495089527	0.0230013328	0.0198146929	30.4941218	1718101613.0049462	0.003020937	3108.092	4676.728	4417.748	3293.064	0.000332263571	3565.7	4765.872	4351.436	4946.06	6.0	101.0009900099001	0.5	11-06-24 12:26:59.693915
12.599	0.064	250	250	34405	34405	34405	34405	-12.4916	-12.4962965	-12.4659594	-12.470041	30.5064224	1718101638.6149857	0.601835179	379730.8	382040.2	382116.6	380800.3	0.0648259975	455009.9	455755.2	455268.5	455702.1	6.0	101.0009900099001	0.525	11-06-24 12:27:25.305397
13.199	0.067	250	250	36044	36044	36044	36044	-25.0028479	-24.9976692	-24.9651779	-24.9692245	30.520837	1718101664.2560143	1.20134569	756786.2	759845.9	760256.8	758740.9	0.129391796	906947.2	907248.4	906681.8	906940.7	6.0	101.0009900099001	0.55	11-06-24 12:27:50.942514
13.799	0.07	250	250	37682	37682	37682	37682	-37.5066751	-37.4906824	-37.4559499	-37.4598143	30.5949285	1718101689.866303	1.80004659	1133337.0	1137138.0	1137881.0	1136164.0	0.193874949	1358330.0	1358191.0	1357554.0	1357633.0	6.0	101.0009900099001	0.575	11-06-24 12:28:16.556059
14.399	0.073	250	250	39321	39321	39321	39321	-50.0186349	-49.9926712	-49.9565753	-49.9593105	30.5771504	1718101715.482176	2.39924428	1510215.0	1514755.0	1515835.0	1513914.0	0.258396832	1809984.0	1809377.0	1808682.0	1808580.0	6.0	101.0009900099001	0.6	11-06-24 12:28:42.170681
14.998	0.076	250	250	40959	40959	40959	40959	-62.5241796	-62.4892418	-62.4508946	-62.4532166	30.6054031	1718101741.0910077	2.99808455	1886862.0	1892151.0	1893550.0	1891448.0	0.322889671	2261461.0	2260406.0	2259635.0	2259368.0	6.0	101.0009900099001	0.625	11-06-24 12:29:07.780020
15.599	0.079	250	250	42597	42597	42597	42597	-75.0262054	-74.9818885	-74.9411778	-74.9422301	30.7166844	1718101766.7285469	3.59802654	2264207.0	2270252.0	2271992.0	2269662.0	0.38753981	2714019.0	2712504.0	2711668.0	2711226.0	6.0	101.0009900099001	0.65	11-06-24 12:29:33.416929
