# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	hvpsu1	hvpsu2	hvpsu3	hvpsu4	VDChvpsu1	VDChvpsu2	VDChvpsu3	VDChvpsu4	temp_pt100	time	VDC10	ch1a	ch2a	ch3a	ch4a	VDC1	ch1b	ch2b	ch3b	ch4b	Delay	a	b	
0.023	0.0	250	250	0	0	0	0	205.909047	210.833801	205.718845	205.783602	39.9540894	1718197542.8319144	-11.9609716	-7436873.0	-7451559.0	-7458527.0	-7455537.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	401.0039600396004	0.0	12-06-24 15:05:49.510134
0.6	0.002	250	250	1638	1638	1638	1638	205.465336	210.446583	205.336832	205.450006	39.9382332	1718197582.4325445	-11.3815459	-7154712.0	-7168942.0	-7175751.0	-7172739.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	401.0039600396004	0.025	12-06-24 15:06:29.111602
1.2	0.005	250	250	3276	3276	3276	3276	205.272124	210.279565	205.169136	205.285231	39.942942	1718197622.0496066	-10.7826588	-6778352.0	-6791611.0	-6798033.0	-6795256.0	-1.16033018	-8119178.0	-8110470.0	-8109770.0	-8106370.0	20	401.0039600396004	0.05	12-06-24 15:07:08.739754
1.8	0.008	250	250	4915	4915	4915	4915	205.182729	210.191673	205.093687	205.222176	39.9315064	1718197661.6613703	-10.1841461	-6402072.0	-6414501.0	-6420565.0	-6418006.0	-1.09605553	-7669560.0	-7661075.0	-7660426.0	-7657187.0	20	401.0039600396004	0.075	12-06-24 15:07:48.350133
2.401	0.012	250	250	6553	6553	6553	6553	200.136582	199.961699	199.952525	199.95367	39.9334284	1718197701.2707746	-9.58395787	-6024867.0	-6036294.0	-6042051.0	-6039695.0	-1.0315843	-7218506.0	-7210319.0	-7209730.0	-7206679.0	20	401.0039600396004	0.1	12-06-24 15:08:27.959610
3.0	0.015	250	250	8191	8191	8191	8191	187.629725	187.464454	187.457806	187.458506	39.9119024	1718197740.8818562	-8.98491752	-5648152.0	-5658834.0	-5664263.0	-5662112.0	-0.967174501	-6767763.0	-6759933.0	-6759407.0	-6756471.0	20	401.0039600396004	0.125	12-06-24 15:09:07.570058
3.6	0.018	250	250	9830	9830	9830	9830	175.118183	174.963315	174.958815	174.959781	39.9040224	1718197780.492351	-8.38602407	-5271667.0	-5281485.0	-5286549.0	-5284662.0	-0.902751403	-6316952.0	-6309575.0	-6309050.0	-6306350.0	20	401.0039600396004	0.15	12-06-24 15:09:47.182765
4.2	0.021	250	250	11468	11468	11468	11468	162.613472	162.467781	162.466206	162.46668	39.8930673	1718197820.1033869	-7.78669094	-4894860.0	-4903809.0	-4908557.0	-4906858.0	-0.838148453	-5864841.0	-5857838.0	-5857378.0	-5854769.0	20	401.0039600396004	0.175	12-06-24 15:10:26.791452
4.8	0.024	250	250	13107	13107	13107	13107	150.099523	149.963174	149.963527	149.963452	39.9270859	1718197859.7162657	-7.18773485	-4518251.0	-4526409.0	-4530795.0	-4529315.0	-0.773712397	-5413902.0	-5407305.0	-5406983.0	-5404538.0	20	401.0039600396004	0.2	12-06-24 15:11:06.405241
5.4	0.027	250	250	14745	14745	14745	14745	137.594971	137.469062	137.469352	137.469079	39.9378489	1718197899.3441951	-6.58805786	-4141257.0	-4148530.0	-4152577.0	-4151291.0	-0.709292133	-4963005.0	-4956905.0	-4956613.0	-4954331.0	20	401.0039600396004	0.225	12-06-24 15:11:46.032393
6.0	0.03	250	250	16383	16383	16383	16383	125.08794	124.971632	124.972698	124.972515	39.9403474	1718197938.9563801	-5.98921772	-3764742.0	-3771213.0	-3774886.0	-3773846.0	-0.644794426	-4511633.0	-4505918.0	-4505701.0	-4503564.0	20	401.0039600396004	0.25	12-06-24 15:12:25.644468
6.6	0.033	250	250	18022	18022	18022	18022	112.576773	112.471191	112.473856	112.473205	39.9584138	1718197978.56652	-5.38957842	-3387706.0	-3393346.0	-3396694.0	-3395855.0	-0.580305056	-4060247.0	-4054991.0	-4054848.0	-4052867.0	20	401.0039600396004	0.275	12-06-24 15:13:05.255106
7.199	0.036	250	250	19660	19660	19660	19660	100.071694	99.9766417	99.9810429	99.9797519	39.9187254	1718198018.1779072	-4.79084488	-3011252.0	-3016059.0	-3019078.0	-3018466.0	-0.515939517	-3609785.0	-3604963.0	-3604878.0	-3603039.0	20	401.0039600396004	0.3	12-06-24 15:13:44.867120
7.8	0.039	250	250	21298	21298	21298	21298	87.5662246	87.4814096	87.4886292	87.4867926	39.8971034	1718198057.7906315	-4.19078931	-2633955.0	-2637940.0	-2640620.0	-2640223.0	-0.451278309	-3157256.0	-3152857.0	-3152836.0	-3151156.0	20	401.0039600396004	0.325	12-06-24 15:14:24.468645
8.4	0.042	250	250	22937	22937	22937	22937	75.054199	74.9794785	74.9898905	74.986668	39.8871092	1718198097.3866878	-3.59208475	-2257472.0	-2260673.0	-2262989.0	-2262813.0	-0.386853086	-2706324.0	-2702391.0	-2702415.0	-2700926.0	20	401.0039600396004	0.35	12-06-24 15:15:04.075047
8.999	0.045	250	250	24575	24575	24575	24575	62.5461608	62.4823669	62.495115	62.4921784	39.9176683	1718198137.0266726	-2.99348254	-1881047.0	-1883460.0	-1885435.0	-1885484.0	-0.322405715	-2255269.0	-2251766.0	-2251870.0	-2250525.0	20	401.0039600396004	0.375	12-06-24 15:15:43.716867
9.599	0.048	250	250	26214	26214	26214	26214	50.0358768	49.981814	49.9971934	49.9949755	39.9195903	1718198176.6394584	-2.39417319	-1504182.0	-1505820.0	-1507445.0	-1507720.0	-0.257882527	-1803690.0	-1800603.0	-1800796.0	-1799608.0	20	401.0039600396004	0.4	12-06-24 15:16:23.330213
10.199	0.051	250	250	27852	27852	27852	27852	37.5318168	37.4872756	37.5056631	37.5025655	39.9294883	1718198216.2567694	-1.79458674	-1127187.0	-1128001.0	-1129284.0	-1129771.0	-0.193334536	-1351900.0	-1349291.0	-1349511.0	-1348471.0	20	401.0039600396004	0.425	12-06-24 15:17:02.946219
10.8	0.054	250	250	29490	29490	29490	29490	25.0277813	24.9929694	25.0148013	25.0116568	39.9357347	1718198255.899929	-1.19479319	-750053.5	-750049.5	-750994.3	-751712.6	-0.128766795	-900014.5	-897836.9	-898126.7	-897246.5	20	401.0039600396004	0.45	12-06-24 15:17:42.588211
11.399	0.058	250	250	31129	31129	31129	31129	12.5165878	12.4921324	12.5152087	12.5119576	39.9376567	1718198295.5100234	-0.59585293	-373479.8	-372660.5	-373257.8	-374187.9	-0.0643010245	-448804.7	-447098.5	-447468.0	-446723.0	20	401.0039600396004	0.475	12-06-24 15:18:22.199649
