# 
hvpsu1	hvpsu2	hvpsu3	hvpsu4	VDC	IDC	Delay	a	b	
-100.0	-115.0	-100.0	-115.0	-99.9987954	0.00105098422	5.0	-100.0	-15.0	18-06-24 15:09:23.049417
-100.0	-114.0	-100.0	-114.0	-100.008999	0.00104949151	5.0	-100.0	-14.0	18-06-24 15:09:30.326764
-100.0	-113.0	-100.0	-113.0	-100.01852	0.0010485154	5.0	-100.0	-13.0	18-06-24 15:09:37.589884
-100.0	-112.0	-100.0	-112.0	-100.029059	0.00104778586	5.0	-100.0	-12.0	18-06-24 15:09:44.863392
-100.0	-111.0	-100.0	-111.0	-100.040241	0.0010471966399999998	5.0	-100.0	-11.0	18-06-24 15:09:52.073808
-100.0	-110.0	-100.0	-110.0	-100.044608	0.000995919454	5.0	-100.0	-10.0	18-06-24 15:09:59.411979
-100.0	-109.0	-100.0	-109.0	-100.044815	0.0008954608390000001	5.0	-100.0	-9.0	18-06-24 15:10:06.669959
-100.0	-108.0	-100.0	-108.0	-100.044772	0.000795471673	5.0	-100.0	-8.0	18-06-24 15:10:13.848106
-100.0	-107.0	-100.0	-107.0	-100.044773	0.000695693808	5.0	-100.0	-7.0	18-06-24 15:10:21.163657
-100.0	-106.0	-100.0	-106.0	-100.044542	0.000595725189	5.0	-100.0	-6.0	18-06-24 15:10:28.479049
-100.0	-105.0	-100.0	-105.0	-100.044247	0.000496009339	5.0	-100.0	-5.0	18-06-24 15:10:35.698712
-100.0	-104.0	-100.0	-104.0	-100.044191	0.000396046474	5.0	-100.0	-4.0	18-06-24 15:10:42.928073
-100.0	-103.0	-100.0	-103.0	-100.044068	0.000296274736	5.0	-100.0	-3.0	18-06-24 15:10:50.227147
-100.0	-102.0	-100.0	-102.0	-100.043977	0.000195524423	5.0	-100.0	-2.0	18-06-24 15:10:57.578516
-100.0	-101.0	-100.0	-101.0	-100.044022	9.58077516e-05	5.0	-100.0	-1.0	18-06-24 15:11:04.918926
-100.0	-100.0	-100.0	-100.0	-100.044062	-4.1953118e-06	5.0	-100.0	0.0	18-06-24 15:11:12.205012
-100.0	-99.0	-100.0	-99.0	-100.043653	-0.000103958233	5.0	-100.0	1.0	18-06-24 15:11:19.429944
-100.0	-98.0	-100.0	-98.0	-100.043614	-0.00020393551900000002	5.0	-100.0	2.0	18-06-24 15:11:26.850937
-100.0	-97.0	-100.0	-97.0	-100.043867	-0.000303657495	5.0	-100.0	3.0	18-06-24 15:11:35.212668
-100.0	-96.0	-100.0	-96.0	-100.043748	-0.00040360848100000005	5.0	-100.0	4.0	18-06-24 15:11:42.430685
-100.0	-95.0	-100.0	-95.0	-100.043527	-0.000503371477	5.0	-100.0	5.0	18-06-24 15:11:49.712460
-100.0	-94.0	-100.0	-94.0	-100.04349	-0.0006041149909999999	5.0	-100.0	6.0	18-06-24 15:11:56.858730
-100.0	-93.0	-100.0	-93.0	-100.043553	-0.000703927599	5.0	-100.0	7.0	18-06-24 15:12:04.082488
-100.0	-92.0	-100.0	-92.0	-100.043592	-0.0008040341460000001	5.0	-100.0	8.0	18-06-24 15:12:11.301680
-100.0	-91.0	-100.0	-91.0	-100.043313	-0.0009037999819999999	5.0	-100.0	9.0	18-06-24 15:12:18.616571
-100.0	-90.0	-100.0	-90.0	-100.042859	-0.00100374932	5.0	-100.0	10.0	18-06-24 15:12:26.033910
-100.0	-89.0	-100.0	-89.0	-99.5589398	-0.0010556238	5.0	-100.0	11.0	18-06-24 15:12:33.438487
-100.0	-88.0	-100.0	-88.0	-98.5605833	-0.00105678618	5.0	-100.0	12.0	18-06-24 15:12:40.598013
-100.0	-87.0	-100.0	-87.0	-97.555115	-0.0010579557299999999	5.0	-100.0	13.0	18-06-24 15:12:47.880591
-100.0	-86.0	-100.0	-86.0	-96.5564707	-0.00105916234	5.0	-100.0	14.0	18-06-24 15:12:55.218081
-100.0	-85.0	-100.0	-85.0	-95.5620278	-0.00106024067	5.0	-100.0	15.0	18-06-24 15:13:02.488383
