# 
hvpsu1	hvpsu2	hvpsu3	hvpsu4	VDC	IDC	Delay	a	b	
0.0	-15.0	0.0	-15.0	-0.00579142861	0.0011452520399999999	5.0	0.0	-15.0	18-06-24 15:16:55.469179
0.0	-14.0	0.0	-14.0	-0.0163314017	0.00114598838	5.0	0.0	-14.0	18-06-24 15:17:02.717521
0.0	-13.0	0.0	-13.0	-0.0270262437	0.00114655265	5.0	0.0	-13.0	18-06-24 15:17:09.975859
0.0	-12.0	0.0	-12.0	-0.0376374196	0.00114703398	5.0	0.0	-12.0	18-06-24 15:17:17.257527
0.0	-11.0	0.0	-11.0	-0.0430686798	0.0010957343	5.0	0.0	-11.0	18-06-24 15:17:24.497813
0.0	-10.0	0.0	-10.0	-0.0430364828	0.0009957454370000001	5.0	0.0	-10.0	18-06-24 15:17:32.310087
0.0	-9.0	0.0	-9.0	-0.0430956838	0.0008959768999999999	5.0	0.0	-9.0	18-06-24 15:17:39.932644
0.0	-8.0	0.0	-8.0	-0.0430271353	0.000795996787	5.0	0.0	-8.0	18-06-24 15:17:47.170607
0.0	-7.0	0.0	-7.0	-0.0431081472	0.0006962748849999999	5.0	0.0	-7.0	18-06-24 15:17:54.440767
0.0	-6.0	0.0	-6.0	-0.0431294965	0.0005962866159999999	5.0	0.0	-6.0	18-06-24 15:18:01.610019
0.0	-5.0	0.0	-5.0	-0.0429910146	0.0004957667319999999	5.0	0.0	-5.0	18-06-24 15:18:08.800411
0.0	-4.0	0.0	-4.0	-0.0431703486	0.000395796245	5.0	0.0	-4.0	18-06-24 15:18:16.040359
0.0	-3.0	0.0	-3.0	-0.0432383202	0.000296093172	5.0	0.0	-3.0	18-06-24 15:18:23.204027
0.0	-2.0	0.0	-2.0	-0.0431033003	0.00019611237500000001	5.0	0.0	-2.0	18-06-24 15:18:30.474029
0.0	-1.0	0.0	-1.0	-0.0430996075	9.63584194e-05	5.0	0.0	-1.0	18-06-24 15:18:37.649620
0.0	0.0	0.0	0.0	-0.043315293	-3.60220449e-06	5.0	0.0	0.0	18-06-24 15:18:44.822913
0.0	1.0	0.0	1.0	-0.0431127632	-0.00010344200999999999	5.0	0.0	1.0	18-06-24 15:18:52.646524
0.0	2.0	0.0	2.0	-0.0431867357	-0.000203339573	5.0	0.0	2.0	18-06-24 15:18:59.987173
0.0	3.0	0.0	3.0	-0.0431074548	-0.000304067097	5.0	0.0	3.0	18-06-24 15:19:07.353530
0.0	4.0	0.0	4.0	-0.0431504996	-0.000403795648	5.0	0.0	4.0	18-06-24 15:19:14.610085
0.0	5.0	0.0	5.0	-0.0431458835	-0.000503759784	5.0	0.0	5.0	18-06-24 15:19:21.979784
0.0	6.0	0.0	6.0	-0.0430496386	-0.000603535557	5.0	0.0	6.0	18-06-24 15:19:29.262181
0.0	7.0	0.0	7.0	-0.0430979918	-0.000703522332	5.0	0.0	7.0	18-06-24 15:19:36.519817
0.0	8.0	0.0	8.0	-0.0431320353	-0.000803235715	5.0	0.0	8.0	18-06-24 15:19:43.790000
0.0	9.0	0.0	9.0	-0.0431672328	-0.0009031638369999999	5.0	0.0	9.0	18-06-24 15:19:51.158248
0.0	10.0	0.0	10.0	-0.0429372374	-0.0010037000799999998	5.0	0.0	10.0	18-06-24 15:19:58.439853
0.0	11.0	0.0	11.0	-0.0426670823	-0.0011036574999999998	5.0	0.0	11.0	18-06-24 15:20:05.701041
0.0	12.0	0.0	12.0	0.281776053	-0.00117136129	5.0	0.0	12.0	18-06-24 15:20:13.291306
0.0	13.0	0.0	13.0	1.27724226	-0.00117266013	5.0	0.0	13.0	18-06-24 15:20:20.451536
0.0	14.0	0.0	14.0	2.27264937	-0.0011740663100000001	5.0	0.0	14.0	18-06-24 15:20:27.793843
0.0	15.0	0.0	15.0	3.26919527	-0.00117534114	5.0	0.0	15.0	18-06-24 15:20:35.100975
