# 
hvpsu1	hvpsu2	hvpsu3	hvpsu4	VDC	IDC	Delay	a	b	
-100.0	-115.0	-100.0	-115.0	-105.207898	0.0017999235689293211	2.0	-100.0	-15.0	18-06-24 15:38:18.608981
-100.0	-114.7	-100.0	-114.7	-104.87436	0.0018056988423472958	2.0	-100.0	-14.7	18-06-24 15:38:22.950227
-100.0	-114.4	-100.0	-114.4	-104.532386	0.0018193287493751874	2.0	-100.0	-14.4	18-06-24 15:38:36.410649
-100.0	-114.1	-100.0	-114.1	-104.135064	0.0018339495631310607	2.0	-100.0	-14.1	18-06-24 15:39:00.182859
-100.0	-113.8	-100.0	-113.8	-103.794532	0.0018352023472958112	2.0	-100.0	-13.8	18-06-24 15:39:04.388808
-100.0	-113.5	-100.0	-113.5	-103.481679	0.0018363386104168751	2.0	-100.0	-13.5	18-06-24 15:39:08.646480
-100.0	-113.2	-100.0	-113.2	-103.172806	0.0018373595421373589	2.0	-100.0	-13.2	18-06-24 15:39:12.982803
-100.0	-112.9	-100.0	-112.9	-102.872748	0.0018383217634709587	2.0	-100.0	-12.9	18-06-24 15:39:17.191751
-100.0	-112.6	-100.0	-112.6	-102.564587	0.0018389710126961913	2.0	-100.0	-12.6	18-06-24 15:39:21.494781
-100.0	-112.3	-100.0	-112.3	-102.253418	0.001839583065080476	2.0	-100.0	-12.3	18-06-24 15:39:25.783664
-100.0	-112.0	-100.0	-112.0	-101.950964	0.0018401278896331102	2.0	-100.0	-12.0	18-06-24 15:39:30.084053
-100.0	-111.7	-100.0	-111.7	-101.637915	0.0018405284054783565	2.0	-100.0	-11.7	18-06-24 15:39:34.290310
-100.0	-111.4	-100.0	-111.4	-101.338153	0.0018409045686294111	2.0	-100.0	-11.4	18-06-24 15:39:38.589292
-100.0	-111.1	-100.0	-111.1	-101.035636	0.0018411784024792563	2.0	-100.0	-11.1	18-06-24 15:39:42.789557
-100.0	-110.8	-100.0	-110.8	-100.724894	0.0018414846506048185	2.0	-100.0	-10.8	18-06-24 15:39:47.185213
-100.0	-110.5	-100.0	-110.5	-100.42193	0.0018416698950314905	2.0	-100.0	-10.5	18-06-24 15:39:52.063366
-100.0	-110.2	-100.0	-110.2	-100.121132	0.0018416830410876736	2.0	-100.0	-10.2	18-06-24 15:39:56.311578
-100.0	-109.9	-100.0	-109.9	-100.040989	0.0018003485854243726	2.0	-100.0	-9.899999999999999	18-06-24 15:40:00.613096
-100.0	-109.6	-100.0	-109.6	-100.04222	0.0017463722863141058	2.0	-100.0	-9.600000000000001	18-06-24 15:40:04.796815
-100.0	-109.3	-100.0	-109.3	-100.042265	0.0016926160411876439	2.0	-100.0	-9.3	18-06-24 15:40:09.019491
-100.0	-109.0	-100.0	-109.0	-100.042368	0.0016370115385384385	2.0	-100.0	-9.0	18-06-24 15:40:13.193947
