# 
hvpsu1	hvpsu2	hvpsu3	hvpsu4	VDC	IDC	Delay	a	b	
0.0	-15.0	0.0	-15.0	-6.34384363	0.0016136370628811356	0.1	0.0	-15.0	18-06-24 15:35:28.028171
0.0	-12.0	0.0	-12.0	-3.20995628	0.0016147337358792362	0.1	0.0	-12.0	18-06-24 15:35:30.376681
0.0	-9.0	0.0	-9.0	-0.196715506	0.0016113475097470759	0.1	0.0	-9.0	18-06-24 15:35:33.011967
0.0	-6.0	0.0	-6.0	-0.0430468689	0.001090044966510047	0.1	0.0	-6.0	18-06-24 15:35:35.392735
0.0	-3.0	0.0	-3.0	-0.0431018001	0.0005437703688893332	0.1	0.0	-3.0	18-06-24 15:35:39.578569
0.0	0.0	0.0	0.0	-0.0431570774	-1.5246763291012698e-06	0.1	0.0	0.0	18-06-24 15:35:41.843629
0.0	3.0	0.0	3.0	-0.0431619243	-0.0005482263800859743	0.1	0.0	3.0	18-06-24 15:35:44.190646
0.0	6.0	0.0	6.0	0.0432190481	-0.0010928588803358992	0.1	0.0	6.0	18-06-24 15:35:46.453639
0.0	9.0	0.0	9.0	2.55557437	-0.0011709315085474358	0.1	0.0	9.0	18-06-24 15:35:48.964292
0.0	12.0	0.0	12.0	5.56970514	-0.001174422157352794	0.1	0.0	12.0	18-06-24 15:35:51.270215
0.0	15.0	0.0	15.0	8.57536025	-0.001177903544936519	0.1	0.0	15.0	18-06-24 15:35:53.542313
