# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	hvpsu1	hvpsu2	hvpsu3	hvpsu4	VDChvpsu1	VDChvpsu2	VDChvpsu3	VDChvpsu4	temp_pt100	time	VDC10	ch1a	ch2a	ch3a	ch4a	VDC1	ch1b	ch2b	ch3b	ch4b	Delay	a	b	
0.024	0.0	250	250	0	0	0	0	215.020977	219.881515	214.877121	214.953944	20.2083631	1718881963.011836	-11.9610213	-7454103.0	-7467027.0	-7473426.0	-7471249.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	701.0069300693007	0.0	20-06-24 13:12:49.689550
0.6	0.002	250	250	1638	1638	1638	1638	214.845177	219.756447	214.754075	214.836063	20.1868024	1718882002.6199076	-11.3813797	-7156159.0	-7168666.0	-7174946.0	-7172681.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	701.0069300693007	0.025	20-06-24 13:13:29.296509
1.2	0.005	250	250	3276	3276	3276	3276	214.541484	219.466534	214.452097	214.555636	20.1800946	1718882042.220424	-10.7824436	-6779500.0	-6791266.0	-6797226.0	-6795148.0	-1.16077631	-8122710.0	-8113932.0	-8112804.0	-8109068.0	20	701.0069300693007	0.05	20-06-24 13:14:08.900276
1.8	0.008	250	250	4915	4915	4915	4915	212.648419	212.478203	212.469743	212.46218	20.1522094	1718882081.8293822	-10.1838687	-6403126.0	-6414150.0	-6419802.0	-6417894.0	-1.09646778	-7672635.0	-7664330.0	-7663285.0	-7659710.0	20	701.0069300693007	0.075	20-06-24 13:14:48.518283
2.401	0.012	250	250	6553	6553	6553	6553	200.142607	199.980657	199.974361	199.967256	20.087719	1718882121.4420538	-9.5837553	-6025730.0	-6035957.0	-6041298.0	-6039567.0	-1.0320401	-7221714.0	-7213756.0	-7212790.0	-7209456.0	20	701.0069300693007	0.1	20-06-24 13:15:28.130718
3.001	0.015	250	250	8191	8191	8191	8191	187.634595	187.481832	187.478173	187.471308	20.0617503	1718882161.0604482	-8.98487242	-5649129.0	-5658641.0	-5663597.0	-5662088.0	-0.967641706	-6771016.0	-6763506.0	-6762628.0	-6759438.0	20	701.0069300693007	0.125	20-06-24 13:16:07.757917
3.6	0.018	250	250	9830	9830	9830	9830	175.123037	174.979576	174.978067	174.971459	20.0357817	1718882200.682444	-8.38596223	-5272498.0	-5281250.0	-5285938.0	-5284578.0	-0.903235648	-6320296.0	-6313212.0	-6312409.0	-6309357.0	20	701.0069300693007	0.15	20-06-24 13:16:47.372404
4.2	0.021	250	250	11468	11468	11468	11468	162.617989	162.48312	162.484953	162.477337	20.1206829	1718882240.3164027	-7.78660322	-4895561.0	-4903582.0	-4907958.0	-4906786.0	-0.838723905	-5868813.0	-5862098.0	-5861442.0	-5858578.0	20	701.0069300693007	0.175	20-06-24 13:17:26.995782
4.8	0.024	250	250	13107	13107	13107	13107	150.103878	149.9772	149.98107	149.974521	20.1769324	1718882279.9133718	-7.18782079	-4519042.0	-4526311.0	-4530394.0	-4529402.0	-0.774271497	-5417704.0	-5411432.0	-5410840.0	-5408101.0	20	701.0069300693007	0.2	20-06-24 13:18:06.609917
5.4	0.027	250	250	14745	14745	14745	14745	137.599049	137.480922	137.48518	137.47871	20.2604921	1718882319.560262	-6.5882497	-4141961.0	-4148555.0	-4152278.0	-4151462.0	-0.709709159	-4965853.0	-4960007.0	-4959493.0	-4956971.0	20	701.0069300693007	0.225	20-06-24 13:18:46.250226
6.0	0.03	250	250	16383	16383	16383	16383	125.090741	124.981968	124.986653	124.981293	20.3089797	1718882359.1739097	-5.98934127	-3765310.0	-3771130.0	-3774578.0	-3773914.0	-0.645227534	-4514540.0	-4509143.0	-4508716.0	-4506355.0	20	701.0069300693007	0.25	20-06-24 13:19:25.865093
6.6	0.033	250	250	18022	18022	18022	18022	112.579415	112.480291	112.487442	112.481859	20.319233	1718882398.7865875	-5.38989854	-3388328.0	-3393413.0	-3396526.0	-3396030.0	-0.580658814	-4062686.0	-4057685.0	-4057349.0	-4055162.0	20	701.0069300693007	0.275	20-06-24 13:20:05.474462
7.199	0.036	250	250	19660	19660	19660	19660	100.074196	99.9844579	99.9929786	99.9874284	20.2725661	1718882438.430486	-4.79109442	-3011759.0	-3016098.0	-3018888.0	-3018598.0	-0.516157027	-3611251.0	-3606660.0	-3606402.0	-3604433.0	20	701.0069300693007	0.3	20-06-24 13:20:45.121524
7.8	0.039	250	250	21298	21298	21298	21298	87.568799	87.4877339	87.4997774	87.4936095	20.1645709	1718882478.0506296	-4.19097932	-2634364.0	-2637951.0	-2640425.0	-2640326.0	-0.451496791	-3158726.0	-3154554.0	-3154347.0	-3152536.0	20	701.0069300693007	0.325	20-06-24 13:21:24.739420
8.4	0.042	250	250	22937	22937	22937	22937	75.056046	74.9844619	74.9996799	74.9929957	20.1125378	1718882517.6869278	-3.59245	-2257943.0	-2260789.0	-2262964.0	-2263028.0	-0.387014496	-2707398.0	-2703659.0	-2703556.0	-2701923.0	20	701.0069300693007	0.35	20-06-24 13:22:04.374454
8.999	0.045	250	250	24575	24575	24575	24575	62.5474633	62.4855976	62.5036709	62.4981152	20.075645	1718882557.2969644	-2.99383374	-1881485.0	-1883612.0	-1885446.0	-1885688.0	-0.322519083	-2256002.0	-2252695.0	-2252663.0	-2251205.0	20	701.0069300693007	0.375	20-06-24 13:22:43.987610
9.599	0.048	250	250	26214	26214	26214	26214	50.0367973	49.9837268	50.0048846	49.9998812	20.0780406	1718882596.9088185	-2.39455201	-1504622.0	-1506012.0	-1507528.0	-1507952.0	-0.257941139	-1804029.0	-1801150.0	-1801208.0	-1799934.0	20	701.0069300693007	0.4	20-06-24 13:23:23.596933
10.199	0.051	250	250	27852	27852	27852	27852	37.5323076	37.488224	37.5115608	37.5067191	20.0984514	1718882636.5209494	-1.79497519	-1127541.0	-1128180.0	-1129382.0	-1129980.0	-0.193365349	-1352052.0	-1349577.0	-1349739.0	-1348629.0	20	701.0069300693007	0.425	20-06-24 13:24:03.211407
10.8	0.055	250	250	29490	29490	29490	29490	25.0282671	24.9922958	25.0197486	25.0153865	20.1368774	1718882676.1374254	-1.19510697	-750297.8	-750203.0	-751077.6	-751869.2	-0.128734654	-899777.1	-897710.5	-897942.1	-896992.4	20	701.0069300693007	0.45	20-06-24 13:24:42.826911
11.399	0.058	250	250	31129	31129	31129	31129	12.516356	12.4897709	12.5187243	12.5151698	20.2471723	1718882715.750509	-0.596210656	-373678.5	-372841.1	-373409.4	-374371.9	-0.0642280666	-448280.6	-446656.5	-446977.9	-446206.6	20	701.0069300693007	0.475	20-06-24 13:25:22.440233
11.999	0.061	250	250	32767	32767	32767	32767	0.00989768203	-0.00698600071	0.0241705139	0.0205242044	20.2980556	1718882755.3672884	0.0031746658	3224.512	4791.872	4545.98	3410.308	0.000308435353	3397.968	4577.4	4160.672	4769.272	20	701.0069300693007	0.5	20-06-24 13:26:02.055453
12.599	0.064	250	250	34405	34405	34405	34405	-12.4929723	-12.5001054	-12.4668049	-12.4704858	20.3194246	1718882794.9774942	0.602031451	379850.6	382155.2	382222.5	380915.9	0.0648271038	454966.2	455719.4	455219.6	455638.2	20	701.0069300693007	0.525	20-06-24 13:26:41.667897
13.199	0.067	250	250	36044	36044	36044	36044	-25.005463	-25.003096	-24.9670634	-24.9709059	20.33514	1718882834.594199	1.20147844	756822.9	759862.9	760253.3	758766.6	0.129397029	906890.0	907205.1	906622.9	906870.6	20	701.0069300693007	0.55	20-06-24 13:27:21.282049
13.799	0.07	250	250	37682	37682	37682	37682	-37.5101394	-37.4980213	-37.4594266	-37.4624426	20.2920186	1718882874.2055275	1.80017842	1133334.0	1137111.0	1137825.0	1136161.0	0.193860287	1358059.0	1357958.0	1357290.0	1357346.0	20	701.0069300693007	0.575	20-06-24 13:28:00.890884
14.399	0.073	250	250	39321	39321	39321	39321	-50.0231809	-50.0013556	-49.9614074	-49.9635471	20.2268574	1718882913.815658	2.39955308	1510269.0	1514798.0	1515813.0	1513976.0	0.258374196	1809601.0	1809085.0	1808340.0	1808208.0	20	701.0069300693007	0.6	20-06-24 13:28:40.503203
