# 
ch1_10V	ch2_1V	time	Delay	a	
1612.733	1685.8	1718880463.4965627	0.2	0	20-06-24 12:47:43.496584
1609.8	1681.933	1718880463.7321463	0.2	0	20-06-24 12:47:43.732161
1613.4	1678.2	1718880463.9667137	0.2	0	20-06-24 12:47:43.966774
1617.867	1684.933	1718880464.2018213	0.2	0	20-06-24 12:47:44.201839
1622.267	1683.733	1718880464.4368718	0.2	0	20-06-24 12:47:44.436909
1626.0	1686.8	1718880464.6710136	0.2	0	20-06-24 12:47:44.671050
1618.867	1691.133	1718880464.9061968	0.2	0	20-06-24 12:47:44.906241
1615.333	1690.067	1718880465.1405675	0.2	0	20-06-24 12:47:45.140608
1624.867	1684.2	1718880465.3745227	0.2	0	20-06-24 12:47:45.374570
1620.267	1686.6	1718880465.6092951	0.2	0	20-06-24 12:47:45.609315
1614.533	1680.8	1718880465.8438013	0.2	0	20-06-24 12:47:45.843836
1618.133	1682.733	1718880466.0796149	0.2	0	20-06-24 12:47:46.079646
1623.533	1692.2	1718880466.3142214	0.2	0	20-06-24 12:47:46.314240
1621.267	1689.533	1718880466.548502	0.2	0	20-06-24 12:47:46.548520
1613.933	1690.8	1718880466.78175	0.2	0	20-06-24 12:47:46.781771
1624.6	1682.733	1718880467.0155783	0.2	0	20-06-24 12:47:47.015593
1622.333	1686.4	1718880467.2491977	0.2	0	20-06-24 12:47:47.249215
1624.6	1685.333	1718880467.483405	0.2	0	20-06-24 12:47:47.483420
1620.4	1691.333	1718880467.7178118	0.2	0	20-06-24 12:47:47.717850
1618.867	1686.067	1718880467.9531124	0.2	0	20-06-24 12:47:47.953146
1618.133	1685.2	1718880468.188307	0.2	0	20-06-24 12:47:48.188338
1620.067	1681.267	1718880468.4231727	0.2	0	20-06-24 12:47:48.423214
1624.133	1690.933	1718880468.6574047	0.2	0	20-06-24 12:47:48.657421
1622.4	1689.0	1718880468.8910284	0.2	0	20-06-24 12:47:48.891052
1617.067	1694.6	1718880469.1275187	0.2	0	20-06-24 12:47:49.127539
1618.133	1679.133	1718880469.361971	0.2	0	20-06-24 12:47:49.361991
1620.0	1684.6	1718880469.5960135	0.2	0	20-06-24 12:47:49.596033
1605.067	1687.133	1718880469.8302243	0.2	0	20-06-24 12:47:49.830256
1616.6	1685.333	1718880470.0635414	0.2	0	20-06-24 12:47:50.063561
1611.533	1684.467	1718880470.297684	0.2	0	20-06-24 12:47:50.297723
1619.267	1685.667	1718880470.5316043	0.2	0	20-06-24 12:47:50.531623
1617.6	1681.267	1718880470.765374	0.2	0	20-06-24 12:47:50.765435
1623.933	1691.867	1718880470.999471	0.2	0	20-06-24 12:47:50.999489
