# 
voltage	Source_Voltage	Source_Current	Delay	a	
0.0151377	0	0	0.1	0	17-09-24 15:50:29.710942
0.01513189	0	0	0.1	0	17-09-24 15:50:29.833539
0.01513404	0	0	0.1	0	17-09-24 15:50:29.955904
0.01513468	0	0	0.1	0	17-09-24 15:50:30.079205
0.01513265	0	0	0.1	0	17-09-24 15:50:30.206294
0.0151331	0	0	0.1	0	17-09-24 15:50:30.328717
0.01513215	0	0	0.1	0	17-09-24 15:50:30.450920
0.01513269	0	0	0.1	0	17-09-24 15:50:30.573271
0.01513776	0	0	0.1	0	17-09-24 15:50:30.695504
0.01514684	0	0	0.1	0	17-09-24 15:50:30.817919
0.0151432	0	0	0.1	0	17-09-24 15:50:30.940921
0.01514133	0	0	0.1	0	17-09-24 15:50:31.063602
0.01513672	0	0	0.1	0	17-09-24 15:50:31.186058
0.01513527	0	0	0.1	0	17-09-24 15:50:31.308822
0.01513318	0	0	0.1	0	17-09-24 15:50:31.431771
0.01513413	0	0	0.1	0	17-09-24 15:50:31.553945
0.01513282	0	0	0.1	0	17-09-24 15:50:31.676235
0.01513278	0	0	0.1	0	17-09-24 15:50:31.798715
0.01513202	0	0	0.1	0	17-09-24 15:50:31.921550
0.01513151	0	0	0.1	0	17-09-24 15:50:32.044025
0.01512965	0	0	0.1	0	17-09-24 15:50:32.166535
0.01512946	0	0	0.1	0	17-09-24 15:50:32.289193
0.01512739	0	0	0.1	0	17-09-24 15:50:32.411871
0.01512924	0	0	0.1	0	17-09-24 15:50:32.534372
0.01512912	0	0	0.1	0	17-09-24 15:50:32.658298
0.01513095	0	0	0.1	0	17-09-24 15:50:32.781924
0.01513031	0	0	0.1	0	17-09-24 15:50:32.905019
0.01512853	0	0	0.1	0	17-09-24 15:50:33.027887
0.01512725	0	0	0.1	0	17-09-24 15:50:33.150766
0.01512789	0	0	0.1	0	17-09-24 15:50:33.273617
0.01513163	0	0	0.1	0	17-09-24 15:50:33.396476
0.01513466	0	0	0.1	0	17-09-24 15:50:33.518783
0.01513506	0	0	0.1	0	17-09-24 15:50:33.642334
0.01513522	0	0	0.1	0	17-09-24 15:50:33.764755
0.01513239	0	0	0.1	0	17-09-24 15:50:33.887049
0.01513234	0	0	0.1	0	17-09-24 15:50:34.009404
0.01513023	0	0	0.1	0	17-09-24 15:50:34.132051
0.01513061	0	0	0.1	0	17-09-24 15:50:34.255383
0.01513099	0	0	0.1	0	17-09-24 15:50:34.378912
0.01512946	0	0	0.1	0	17-09-24 15:50:34.502332
0.01512875	0	0	0.1	0	17-09-24 15:50:34.624996
0.01512497	0	0	0.1	0	17-09-24 15:50:34.748587
