# 
voltage	Source_Voltage	Delay	a	
958.8680949999999	0.0	0.1	0	17-09-24 15:42:22.816464
873.8847125	40.0	0.1	0	17-09-24 15:42:22.950467
774.7746500000001	80.0	0.1	0	17-09-24 15:42:23.083183
665.612037	120.0	0.1	0	17-09-24 15:42:23.216933
552.933148	160.0	0.1	0	17-09-24 15:42:23.350338
448.540169	200.0	0.1	0	17-09-24 15:42:23.484099
346.661424	240.0	0.1	0	17-09-24 15:42:23.618155
254.48537399999998	280.0	0.1	0	17-09-24 15:42:23.751380
223.69719500000002	320.0	0.1	0	17-09-24 15:42:23.884525
229.23697649999997	360.0	0.1	0	17-09-24 15:42:24.017827
254.0225695	400.0	0.1	0	17-09-24 15:42:24.151563
292.5039895	440.0	0.1	0	17-09-24 15:42:24.284696
333.452477	480.0	0.1	0	17-09-24 15:42:24.418108
372.37754850000005	520.0	0.1	0	17-09-24 15:42:24.551213
411.694451	560.0	0.1	0	17-09-24 15:42:24.684397
452.179776	600.0	0.1	0	17-09-24 15:42:24.817377
491.674873	640.0	0.1	0	17-09-24 15:42:24.950970
531.0574685	680.0	0.1	0	17-09-24 15:42:25.084372
571.161613	720.0	0.1	0	17-09-24 15:42:25.217483
610.15193	760.0	0.1	0	17-09-24 15:42:25.350620
649.3414740000001	800.0	0.1	0	17-09-24 15:42:25.484018
689.6512895	840.0	0.1	0	17-09-24 15:42:25.617345
728.92559	880.0	0.1	0	17-09-24 15:42:25.750875
768.085241	920.0	0.1	0	17-09-24 15:42:25.883884
807.491554	960.0	0.1	0	17-09-24 15:42:26.016998
848.4992905	1000.0	0.1	0	17-09-24 15:42:26.151168
888.6198135	1040.0	0.1	0	17-09-24 15:42:26.284213
928.87575	1080.0	0.1	0	17-09-24 15:42:26.417044
969.9857850000001	1120.0	0.1	0	17-09-24 15:42:26.550135
1009.951115	1160.0	0.1	0	17-09-24 15:42:26.683422
1049.8690100000001	1200.0	0.1	0	17-09-24 15:42:26.817008
1086.6937850000002	1240.0	0.1	0	17-09-24 15:42:26.950436
1117.154215	1280.0	0.1	0	17-09-24 15:42:27.083535
1142.22406	1320.0	0.1	0	17-09-24 15:42:27.217087
1162.66765	1360.0	0.1	0	17-09-24 15:42:27.350331
1177.36176	1400.0	0.1	0	17-09-24 15:42:27.483631
1186.992855	1440.0	0.1	0	17-09-24 15:42:27.617636
1191.632535	1480.0	0.1	0	17-09-24 15:42:27.751178
1191.64059	1520.0	0.1	0	17-09-24 15:42:27.884554
1191.64059	1560.0	0.1	0	17-09-24 15:42:28.017236
1191.64059	1600.0	0.1	0	17-09-24 15:42:28.150934
1191.64059	1640.0	0.1	0	17-09-24 15:42:28.284112
1191.64059	1680.0	0.1	0	17-09-24 15:42:28.417121
1191.64059	1720.0	0.1	0	17-09-24 15:42:28.550316
1191.64059	1760.0	0.1	0	17-09-24 15:42:28.683950
1191.64059	1800.0	0.1	0	17-09-24 15:42:28.817033
1191.64059	1840.0	0.1	0	17-09-24 15:42:28.950868
1191.64059	1880.0	0.1	0	17-09-24 15:42:29.084144
1191.64059	1920.0	0.1	0	17-09-24 15:42:29.217777
1191.64059	1960.0	0.1	0	17-09-24 15:42:29.351234
1191.64059	2000.0	0.1	0	17-09-24 15:42:29.484815
1191.64059	2040.0	0.1	0	17-09-24 15:42:29.617924
1191.64059	2080.0	0.1	0	17-09-24 15:42:29.750739
1191.64059	2120.0	0.1	0	17-09-24 15:42:29.883955
1191.64059	2160.0	0.1	0	17-09-24 15:42:30.016802
1191.64059	2200.0	0.1	0	17-09-24 15:42:30.150807
1191.64059	2240.0	0.1	0	17-09-24 15:42:30.283849
1191.64059	2280.0	0.1	0	17-09-24 15:42:30.417000
1191.64059	2320.0	0.1	0	17-09-24 15:42:30.550711
1191.64059	2360.0	0.1	0	17-09-24 15:42:30.684045
1191.64059	2400.0	0.1	0	17-09-24 15:42:30.817433
1191.64059	2440.0	0.1	0	17-09-24 15:42:30.950843
1191.64059	2480.0	0.1	0	17-09-24 15:42:31.084227
1191.64059	2520.0	0.1	0	17-09-24 15:42:31.217574
1191.64059	2560.0	0.1	0	17-09-24 15:42:31.350805
1191.64059	2600.0	0.1	0	17-09-24 15:42:31.484040
1191.64059	2640.0	0.1	0	17-09-24 15:42:31.617106
1191.64059	2680.0	0.1	0	17-09-24 15:42:31.750376
1191.64059	2720.0	0.1	0	17-09-24 15:42:31.883912
1191.64059	2760.0	0.1	0	17-09-24 15:42:32.016870
