# 
voltage	Source_Voltage	Delay	a	
5.441802120899999	0.0	2.0	0	17-09-24 16:01:14.806746
200.29411209	200.0	2.0	0	17-09-24 16:01:16.840824
395.30732148000004	400.0	2.0	0	17-09-24 16:01:18.875198
590.2206219	600.0	2.0	0	17-09-24 16:01:20.910086
783.33211242	800.0	2.0	0	17-09-24 16:01:22.943869
982.4806719	1000.0	2.0	0	17-09-24 16:01:24.977450
1176.6565809	1200.0	2.0	0	17-09-24 16:01:27.010856
1374.0433707	1400.0	2.0	0	17-09-24 16:01:29.044345
1568.5411341	1600.0	2.0	0	17-09-24 16:01:31.078703
1763.0906241	1800.0	2.0	0	17-09-24 16:01:33.113015
1960.6642043999998	2000.0	2.0	0	17-09-24 16:01:35.146746
2156.3823324	2200.0	2.0	0	17-09-24 16:01:37.181023
2350.2028605	2400.0	2.0	0	17-09-24 16:01:39.214431
2547.506313	2600.0	2.0	0	17-09-24 16:01:41.249036
2742.2157723	2800.0	2.0	0	17-09-24 16:01:43.283067
2937.6838884	3000.0	2.0	0	17-09-24 16:01:45.317388
3131.3712683999997	3200.0	2.0	0	17-09-24 16:01:47.351883
3325.4130714000003	3400.0	2.0	0	17-09-24 16:01:49.386415
3518.2392993	3600.0	2.0	0	17-09-24 16:01:51.419681
3710.8212627	3800.0	2.0	0	17-09-24 16:01:53.453342
3904.6197590999996	4000.0	2.0	0	17-09-24 16:01:55.487435
4101.165512699999	4200.0	2.0	0	17-09-24 16:01:57.521570
4293.9131928	4400.0	2.0	0	17-09-24 16:01:59.555257
4486.6876941	4600.0	2.0	0	17-09-24 16:02:01.589208
4677.5272374	4800.0	2.0	0	17-09-24 16:02:03.623088
4869.6158823000005	5000.0	2.0	0	17-09-24 16:02:05.657479
5063.385641700001	5200.0	2.0	0	17-09-24 16:02:07.691402
5254.7319141	5400.0	2.0	0	17-09-24 16:02:09.726059
5446.0561548000005	5600.0	2.0	0	17-09-24 16:02:11.759709
5639.7684401999995	5800.0	2.0	0	17-09-24 16:02:13.792971
5830.561046399999	6000.0	2.0	0	17-09-24 16:02:15.827186
5830.103170199999	6200.0	2.0	0	17-09-24 16:02:17.861704
5829.519809099999	6400.0	2.0	0	17-09-24 16:02:19.896226
5829.0992909999995	6600.0	2.0	0	17-09-24 16:02:21.930912
5828.6768571	6800.0	2.0	0	17-09-24 16:02:23.964610
5828.5887303	7000.0	2.0	0	17-09-24 16:02:25.999039
5827.7304519	7200.0	2.0	0	17-09-24 16:02:28.033181
5828.083917	7400.0	2.0	0	17-09-24 16:02:30.067118
5827.7467362	7600.0	2.0	0	17-09-24 16:02:32.101504
5827.6269987	7800.0	2.0	0	17-09-24 16:02:34.134216
