# 
voltage	Source_Voltage	Delay	a	
4.9883140608	0.0	2.0	0	18-09-24 13:37:02.787843
104.0394348	100.0	2.0	0	18-09-24 13:37:04.822409
199.82071791	200.0	2.0	0	18-09-24 13:37:06.856756
296.00910852	300.0	2.0	0	18-09-24 13:37:08.891117
394.59502704	400.0	2.0	0	18-09-24 13:37:10.925557
489.9237024	500.0	2.0	0	18-09-24 13:37:12.959736
589.2364754399999	600.0	2.0	0	18-09-24 13:37:14.993887
684.52405689	700.0	2.0	0	18-09-24 13:37:17.028550
781.90168035	800.0	2.0	0	18-09-24 13:37:19.063618
879.75528432	900.0	2.0	0	18-09-24 13:37:21.098427
980.9298317999999	1000.0	2.0	0	18-09-24 13:37:23.133685
1076.7629373	1100.0	2.0	0	18-09-24 13:37:25.168206
1174.8068759999999	1200.0	2.0	0	18-09-24 13:37:27.202888
1272.1362213	1300.0	2.0	0	18-09-24 13:37:29.238508
1371.8488218	1400.0	2.0	0	18-09-24 13:37:31.273058
1467.8629704	1500.0	2.0	0	18-09-24 13:37:33.308025
1566.1463841	1600.0	2.0	0	18-09-24 13:37:35.342420
1662.4555659	1700.0	2.0	0	18-09-24 13:37:37.377030
1760.4659781	1800.0	2.0	0	18-09-24 13:37:39.411783
1856.8259286	1900.0	2.0	0	18-09-24 13:37:41.446965
1957.6429878	2000.0	2.0	0	18-09-24 13:37:43.481525
2055.1035654	2100.0	2.0	0	18-09-24 13:37:45.516076
2152.8745026	2200.0	2.0	0	18-09-24 13:37:47.550296
2247.8818983	2300.0	2.0	0	18-09-24 13:37:49.584381
2346.5408088	2400.0	2.0	0	18-09-24 13:37:51.618967
2444.3127038999996	2500.0	2.0	0	18-09-24 13:37:53.654078
2543.2474896	2600.0	2.0	0	18-09-24 13:37:55.688765
2639.8009359	2700.0	2.0	0	18-09-24 13:37:57.723208
2737.9377908999995	2800.0	2.0	0	18-09-24 13:37:59.757085
2833.3273887	2900.0	2.0	0	18-09-24 13:38:01.791462
2933.2411482	3000.0	2.0	0	18-09-24 13:38:03.826108
3029.5196772	3100.0	2.0	0	18-09-24 13:38:05.860856
3126.4534098	3200.0	2.0	0	18-09-24 13:38:07.894707
3222.3535683	3300.0	2.0	0	18-09-24 13:38:09.929583
3320.0871474	3400.0	2.0	0	18-09-24 13:38:11.964625
3415.2066174	3500.0	2.0	0	18-09-24 13:38:13.998937
3511.9765491000003	3600.0	2.0	0	18-09-24 13:38:16.032905
3607.0577031	3700.0	2.0	0	18-09-24 13:38:18.066977
