# 
voltage	Source_Voltage	Delay	a	
0.7418954658	0.0	2.0	0	18-09-24 13:32:21.974539
86.47929821099999	100.0	2.0	0	18-09-24 13:32:24.011903
183.35891904	200.0	2.0	0	18-09-24 13:32:26.048881
280.94785523999997	300.0	2.0	0	18-09-24 13:32:28.082780
380.14539291	400.0	2.0	0	18-09-24 13:32:30.117214
476.00666067000003	500.0	2.0	0	18-09-24 13:32:32.151702
574.2445741199999	600.0	2.0	0	18-09-24 13:32:34.187451
669.92106297	700.0	2.0	0	18-09-24 13:32:36.222428
767.65109784	800.0	2.0	0	18-09-24 13:32:38.257049
863.59484079	900.0	2.0	0	18-09-24 13:32:40.291554
964.8246591	1000.0	2.0	0	18-09-24 13:32:42.326375
1060.9049028	1100.0	2.0	0	18-09-24 13:32:44.361808
1157.7054873	1200.0	2.0	0	18-09-24 13:32:46.396814
1252.8287888999998	1300.0	2.0	0	18-09-24 13:32:48.431529
1349.0038647	1400.0	2.0	0	18-09-24 13:32:50.466266
1443.344562	1500.0	2.0	0	18-09-24 13:32:52.501043
1539.1412673	1600.0	2.0	0	18-09-24 13:32:54.535586
1633.2798477	1700.0	2.0	0	18-09-24 13:32:56.570416
1730.8122678	1800.0	2.0	0	18-09-24 13:32:58.604621
1827.6789474	1900.0	2.0	0	18-09-24 13:33:00.639556
1927.2124205999999	2000.0	2.0	0	18-09-24 13:33:02.674147
2023.1470634999998	2100.0	2.0	0	18-09-24 13:33:04.708676
2119.660278	2200.0	2.0	0	18-09-24 13:33:06.743212
2214.3084612	2300.0	2.0	0	18-09-24 13:33:08.777626
