# 
Voltage 1	Current 1	Voltmeter 1	Delay	
1.0	0.0	-0.0001897075	0.1	04-12-23 12:16:41.623831
1.0	0.0	-0.0002025644	0.1	04-12-23 12:16:41.827303
1.0	0.0	-0.0001841522	0.1	04-12-23 12:16:42.032704
1.0	0.0	-0.0001914536	0.1	04-12-23 12:16:42.237807
1.0	0.0	-0.0001786761	0.1	04-12-23 12:16:42.442735
1.0	0.0	-0.0001907393	0.1	04-12-23 12:16:42.645425
1.0	0.0	-0.0001973264	0.1	04-12-23 12:16:42.852182
1.0	0.0	-0.0001962153	0.1	04-12-23 12:16:43.056776
1.0	0.0	-0.0001897075	0.1	04-12-23 12:16:43.261776
1.0	0.0	-0.0001839935	0.1	04-12-23 12:16:43.466791
1.0	0.0	-0.0001889139	0.1	04-12-23 12:16:43.772834
1.0	0.0	-0.0001905012	0.1	04-12-23 12:16:43.976220
1.0	0.0	-0.0001858982	0.1	04-12-23 12:16:44.183397
1.0	0.0	-0.000176454	0.1	04-12-23 12:16:44.388199
1.0	0.0	-0.0001771682	0.1	04-12-23 12:16:44.593904
1.0	0.0	-0.0001944693	0.1	04-12-23 12:16:44.797899
1.0	0.0	-0.0001976439	0.1	04-12-23 12:16:45.002646
1.0	0.0	-0.0002054214	0.1	04-12-23 12:16:45.207112
1.0	0.0	-0.0001928028	0.1	04-12-23 12:16:45.370940
1.0	0.0	-0.0001920091	0.1	04-12-23 12:16:45.513496
1.0	0.0	-0.0001857394	0.1	04-12-23 12:16:45.719514
1.0	0.0	-0.000166851	0.1	04-12-23 12:16:45.943030
1.0	0.0	-0.0001837554	0.1	04-12-23 12:16:46.129064
1.0	0.0	-0.0001964534	0.1	04-12-23 12:16:46.341739
1.0	0.0	-0.0001923265	0.1	04-12-23 12:16:46.538899
1.0	0.0	-0.0001982788	0.1	04-12-23 12:16:46.743325
1.0	0.0	-0.0001994692	0.1	04-12-23 12:16:46.949771
1.0	0.0	-0.0001807395	0.1	04-12-23 12:16:47.156870
1.0	0.0	-0.0001776444	0.1	04-12-23 12:16:47.357799
1.0	0.0	-0.0002027231	0.1	04-12-23 12:16:47.562603
1.0	0.0	-0.0001936757	0.1	04-12-23 12:16:47.767418
1.0	0.0	-0.0001938345	0.1	04-12-23 12:16:47.971824
1.0	0.0	-0.0001855807	0.1	04-12-23 12:16:48.177401
1.0	0.0	-0.0001829617	0.1	04-12-23 12:16:48.381812
1.0	0.0	-0.0001938345	0.1	04-12-23 12:16:48.586405
1.0	0.0	-0.0001745492	0.1	04-12-23 12:16:48.792013
1.0	0.0	-0.000177565	0.1	04-12-23 12:16:48.996296
1.0	0.0	-0.0001923265	0.1	04-12-23 12:16:49.203551
1.0	0.0	-0.0001732001	0.1	04-12-23 12:16:49.507834
1.0	0.0	-0.0001749461	0.1	04-12-23 12:16:49.713067
1.0	0.0	-0.0001809777	0.1	04-12-23 12:16:50.019371
1.0	0.0	-0.0001828824	0.1	04-12-23 12:16:50.224906
1.0	0.0	-0.000185422	0.1	04-12-23 12:16:50.429540
1.0	0.0	-0.0001828824	0.1	04-12-23 12:16:50.634488
1.0	0.0	-0.0001905806	0.1	04-12-23 12:16:50.841860
1.0	0.0	-0.0002162942	0.1	04-12-23 12:16:51.044699
1.0	0.0	-0.0001811363	0.1	04-12-23 12:16:51.249075
1.0	0.0	-0.0001874854	0.1	04-12-23 12:16:51.394278
1.0	0.0	-0.0001705811	0.1	04-12-23 12:16:51.556516
1.0	0.0	-0.0001843903	0.1	04-12-23 12:16:51.696453
1.0	0.0	-0.0001820887	0.1	04-12-23 12:16:51.836303
1.0	0.0	-0.0001716922	0.1	04-12-23 12:16:51.974662
1.0	0.0	-0.000164232	0.1	04-12-23 12:16:52.261932
1.0	0.0	-0.0001977232	0.1	04-12-23 12:16:52.477770
1.0	0.0	-0.0001956598	0.1	04-12-23 12:16:52.785439
1.0	0.0	-0.000179946	0.1	04-12-23 12:16:52.990410
1.0	0.0	-0.0001750254	0.1	04-12-23 12:16:53.194580
1.0	0.0	-0.0001846284	0.1	04-12-23 12:16:53.407290
1.0	0.0	-0.0001905012	0.1	04-12-23 12:16:53.604849
