# 
DCA	Delay	
-6.71792191e-10	0.1	05-12-23 14:24:16.627035
-1.49298853e-10	0.1	05-12-23 14:24:17.217201
-6.71792191e-10	0.1	05-12-23 14:24:17.873797
-3.73224569e-10	0.1	05-12-23 14:24:18.246004
-4.47866475e-10	0.1	05-12-23 14:24:18.362124
-5.2250838e-10	0.1	05-12-23 14:24:18.567677
-3.73224569e-10	0.1	05-12-23 14:24:19.070687
-2.23940758e-10	0.1	05-12-23 14:24:19.266557
-4.47866475e-10	0.1	05-12-23 14:24:19.471446
-5.2250838e-10	0.1	05-12-23 14:24:19.694333
-5.2250838e-10	0.1	05-12-23 14:24:19.880705
-5.97150285e-10	0.1	05-12-23 14:24:20.089330
-4.47866475e-10	0.1	05-12-23 14:24:20.300947
-3.73224569e-10	0.1	05-12-23 14:24:20.496167
-3.73224569e-10	0.1	05-12-23 14:24:20.707044
-4.47866475e-10	0.1	05-12-23 14:24:20.907286
-5.97150285e-10	0.1	05-12-23 14:24:21.109911
-2.98582664e-10	0.1	05-12-23 14:24:21.317558
-5.2250838e-10	0.1	05-12-23 14:24:21.519157
-6.71792191e-10	0.1	05-12-23 14:24:21.732696
-4.47866475e-10	0.1	05-12-23 14:24:21.928699
-5.97150285e-10	0.1	05-12-23 14:24:22.142590
-5.2250838e-10	0.1	05-12-23 14:24:22.338871
-2.98582664e-10	0.1	05-12-23 14:24:22.553854
-1.49298853e-10	0.1	05-12-23 14:24:22.747753
-2.23940758e-10	0.1	05-12-23 14:24:22.963311
-4.47866475e-10	0.1	05-12-23 14:24:23.157497
-5.97150285e-10	0.1	05-12-23 14:24:23.462389
-6.71792191e-10	0.1	05-12-23 14:24:23.577959
-5.2250838e-10	0.1	05-12-23 14:24:23.792526
-4.47866475e-10	0.1	05-12-23 14:24:23.978032
-6.71792191e-10	0.1	05-12-23 14:24:24.186242
-8.95717907e-10	0.1	05-12-23 14:24:24.387152
-5.2250838e-10	0.1	05-12-23 14:24:24.604103
-1.49298853e-10	0.1	05-12-23 14:24:24.794680
-1.49298853e-10	0.1	05-12-23 14:24:25.012851
-7.46569474e-11	0.1	05-12-23 14:24:25.205683
-2.23940758e-10	0.1	05-12-23 14:24:25.410769
-1.49298853e-10	0.1	05-12-23 14:24:25.620003
-2.23940758e-10	0.1	05-12-23 14:24:25.820016
-5.97150285e-10	0.1	05-12-23 14:24:26.032773
-4.47866475e-10	0.1	05-12-23 14:24:26.229954
-4.47866475e-10	0.1	05-12-23 14:24:26.440717
-5.2250838e-10	0.1	05-12-23 14:24:26.639800
-5.97150285e-10	0.1	05-12-23 14:24:26.853772
-4.47866475e-10	0.1	05-12-23 14:24:27.048727
-5.97150285e-10	0.1	05-12-23 14:24:27.354691
-2.23940758e-10	0.1	05-12-23 14:24:27.471238
-7.46569474e-11	0.1	05-12-23 14:24:27.672928
-6.71792191e-10	0.1	05-12-23 14:24:27.876687
-8.21076002e-10	0.1	05-12-23 14:24:28.073015
-4.47866475e-10	0.1	05-12-23 14:24:28.292651
-4.47866475e-10	0.1	05-12-23 14:24:28.485707
-3.73224569e-10	0.1	05-12-23 14:24:28.702946
-4.47866475e-10	0.1	05-12-23 14:24:28.891680
-4.47866475e-10	0.1	05-12-23 14:24:29.098818
-4.47866475e-10	0.1	05-12-23 14:24:29.312664
-5.2250838e-10	0.1	05-12-23 14:24:29.510268
-7.46434096e-10	0.1	05-12-23 14:24:29.711209
-5.97150285e-10	0.1	05-12-23 14:24:29.918528
-5.2250838e-10	0.1	05-12-23 14:24:30.120722
-5.97150285e-10	0.1	05-12-23 14:24:30.329247
-8.95717907e-10	0.1	05-12-23 14:24:30.529218
-4.47866475e-10	0.1	05-12-23 14:24:30.734544
-2.98582664e-10	0.1	05-12-23 14:24:30.939044
-2.98582664e-10	0.1	05-12-23 14:24:31.143417
-2.98582664e-10	0.1	05-12-23 14:24:31.347821
-4.47866475e-10	0.1	05-12-23 14:24:31.554342
