# 
DCA	Source_Voltage	Source_Current	Delay	
-3.65746841e-09	0.0	1.159216e-05	3.0	05-12-23 15:11:17.665263
-3.20961698e-09	5.0	1.159216e-05	3.0	05-12-23 15:11:20.737302
6.1206361e-07	10.0	1.214902e-05	3.0	05-12-23 15:11:23.809548
1.22688898e-06	15.0	1.284706e-05	3.0	05-12-23 15:11:26.882077
1.94479483e-06	20.0	1.351373e-05	3.0	05-12-23 15:11:29.954234
2.55678381e-06	25.0	1.409412e-05	3.0	05-12-23 15:11:33.026415
3.17474415e-06	30.0	1.469804e-05	3.0	05-12-23 15:11:36.098382
3.79053987e-06	35.0	1.531765e-05	3.0	05-12-23 15:11:39.170250
4.51441707e-06	40.0	1.602353e-05	3.0	05-12-23 15:11:42.240389
5.12998886e-06	45.0	1.661176e-05	3.0	05-12-23 15:11:45.314508
5.75190522e-06	50.0	1.734118e-05	3.0	05-12-23 15:11:48.386513
7.26721054e-06	55.0	1.436079e-05	3.0	05-12-23 15:11:51.458473
7.96660519e-06	60.0	3.545098e-05	3.0	05-12-23 15:11:54.530625
8.56441222e-06	65.0	1.297255e-05	3.0	05-12-23 15:11:57.611925
9.15647181e-06	70.0	1.963922e-05	3.0	05-12-23 15:12:00.678848
9.76054875e-06	75.0	1.315294e-05	3.0	05-12-23 15:12:03.768768
1.04625559e-05	80.0	1.967059e-05	3.0	05-12-23 15:12:06.959847
1.10523762e-05	85.0	2.278431e-05	3.0	05-12-23 15:12:11.122395
1.16388377e-05	90.0	1.424314e-05	3.0	05-12-23 15:12:14.192065
1.1936211e-05	95.0	2.661961e-05	3.0	05-12-23 15:12:18.391010
1.26356803e-05	100.0	2.938824e-05	3.0	05-12-23 15:12:21.462312
1.32418472e-05	105.0	4.419608e-05	3.0	05-12-23 15:12:24.742527
1.38435356e-05	110.0	2.619608e-05	3.0	05-12-23 15:12:28.206493
1.4438133e-05	115.0	4.672941e-05	3.0	05-12-23 15:12:31.276433
1.51356616e-05	120.0	3.34353e-05	3.0	05-12-23 15:12:34.378769
1.57281691e-05	125.0	2.909804e-05	3.0	05-12-23 15:12:37.437186
1.63271704e-05	130.0	3.717647e-05	3.0	05-12-23 15:12:40.508307
1.69362483e-05	135.0	4.844706e-05	3.0	05-12-23 15:12:43.581152
1.78064237e-05	140.0	2.448627e-05	3.0	05-12-23 15:12:46.652789
1.84631231e-05	145.0	2.950588e-05	3.0	05-12-23 15:12:49.846400
1.90520478e-05	150.0	4.017255e-05	3.0	05-12-23 15:12:52.899004
1.96549305e-05	155.0	3.592157e-05	3.0	05-12-23 15:12:55.974243
2.03413374e-05	160.0	2.090196e-05	3.0	05-12-23 15:12:59.042664
2.09439215e-05	165.0	3.842353e-05	3.0	05-12-23 15:13:02.114671
2.15302337e-05	170.0	4.043137e-05	3.0	05-12-23 15:13:05.187078
2.21266972e-05	175.0	2.869804e-05	3.0	05-12-23 15:13:08.592481
2.28259425e-05	180.0	3.911373e-05	3.0	05-12-23 15:13:11.638566
2.34096422e-05	185.0	3.67451e-05	3.0	05-12-23 15:13:14.711150
2.40152866e-05	190.0	2.481568e-05	3.0	05-12-23 15:13:17.782855
2.4604062e-05	195.0	2.610196e-05	3.0	05-12-23 15:13:20.882128
2.53065916e-05	200.0	3.020392e-05	3.0	05-12-23 15:13:23.935292
2.59197749e-05	205.0	3.190588e-05	3.0	05-12-23 15:13:26.999215
2.65201197e-05	210.0	4.319216e-05	3.0	05-12-23 15:13:30.070655
2.7139349e-05	215.0	4.530981e-05	3.0	05-12-23 15:13:33.155841
2.78391915e-05	220.0	4.768628e-05	3.0	05-12-23 15:13:36.214006
2.84458062e-05	225.0	4.441568e-05	3.0	05-12-23 15:13:39.287575
2.90501817e-05	230.0	4.709019e-05	3.0	05-12-23 15:13:42.358707
2.96570951e-05	235.0	4.396863e-05	3.0	05-12-23 15:13:45.431014
3.03652975e-05	240.0	4.360784e-05	3.0	05-12-23 15:13:48.502772
3.09698969e-05	245.0	4.008628e-05	3.0	05-12-23 15:13:51.574354
3.15822591e-05	250.0	3.673726e-05	3.0	05-12-23 15:13:54.648537
3.21896203e-05	255.0	3.846274e-05	3.0	05-12-23 15:13:57.855817
3.29086458e-05	260.0	4.896471e-05	3.0	05-12-23 15:14:00.885132
3.3516828e-05	265.0	4.785883e-05	3.0	05-12-23 15:14:03.920722
3.41193375e-05	270.0	3.799216e-05	3.0	05-12-23 15:14:06.951415
3.47293857e-05	275.0	4.355294e-05	3.0	05-12-23 15:14:10.010848
3.54388571e-05	280.0	5.28e-05	3.0	05-12-23 15:14:13.086935
3.60490546e-05	285.0	4.329412e-05	3.0	05-12-23 15:14:16.151284
3.66529823e-05	290.0	4.683137e-05	3.0	05-12-23 15:14:19.223132
3.72618363e-05	295.0	4.980392e-05	3.0	05-12-23 15:14:22.254653
3.79707851e-05	300.0	4.312157e-05	3.0	05-12-23 15:14:25.366498
3.85873273e-05	305.0	5.287843e-05	3.0	05-12-23 15:14:28.439017
3.92059594e-05	310.0	4.626667e-05	3.0	05-12-23 15:14:31.511207
3.98186948e-05	315.0	4.552157e-05	3.0	05-12-23 15:14:34.585372
4.05310771e-05	320.0	5.537255e-05	3.0	05-12-23 15:14:37.615813
4.11394833e-05	325.0	4.523137e-05	3.0	05-12-23 15:14:40.727454
4.17466206e-05	330.0	5.756863e-05	3.0	05-12-23 15:14:43.799080
4.23570421e-05	335.0	5.617255e-05	3.0	05-12-23 15:14:46.871083
4.30674837e-05	340.0	5.842353e-05	3.0	05-12-23 15:14:49.903852
4.36782038e-05	345.0	5.295686e-05	3.0	05-12-23 15:14:53.015157
