# 
Keysight V	SDM3045X	SDM3055-SC	Voltage 1	Current 1	Delay	
-0.00107250437	-0.00117268236	-0.00117770475	0.01	0.0	5.0	07-12-23 15:25:23.749668
0.0496154768	0.0495871504	0.0495532882	0.05	0.0	5.0	07-12-23 15:25:29.856546
0.099332761	0.0992713258	0.0992717397	0.1	0.0	5.0	07-12-23 15:25:35.489938
0.149224252	0.149258554	0.149254332	0.15	0.0	5.0	07-12-23 15:25:48.869788
0.199520558	0.199603037	0.199529217	0.2	0.0	5.0	07-12-23 15:25:56.944751
0.249437801	0.249472278	0.249539961	0.25	0.0	5.0	07-12-23 15:26:02.610639
0.299576202	0.299665234	0.299612697	0.3	0.0	5.0	07-12-23 15:26:08.581607
0.350041905	0.35009656	0.350126568	0.35	0.0	5.0	07-12-23 15:26:15.418029
0.399794373	0.399910102	0.399918092	0.4	0.0	5.0	07-12-23 15:26:23.024962
0.450217276	0.450234521	0.450239696	0.45	0.0	5.0	07-12-23 15:26:30.225937
0.50001349	0.499952535	0.500005465	0.5	0.0	5.0	07-12-23 15:26:37.307030
0.549611595	0.549629823	0.549711039	0.55	0.0	5.0	07-12-23 15:26:46.416663
0.600026621	0.600045278	0.600058099	0.6	0.0	5.0	07-12-23 15:26:52.255771
0.650230607	0.650197807	0.650232059	0.65	0.0	5.0	07-12-23 15:26:57.993217
0.700030128	0.700034408	0.700069704	0.7	0.0	5.0	07-12-23 15:27:07.205479
0.750352482	0.750383981	0.750450904	0.75	0.0	5.0	07-12-23 15:27:14.154731
0.800173012	0.800105589	0.800170254	0.8	0.0	5.0	07-12-23 15:27:24.717066
0.849748334	0.849790363	0.84981683	0.85	0.0	5.0	07-12-23 15:27:30.248240
0.900337487	0.900329195	0.900322315	0.9	0.0	5.0	07-12-23 15:27:36.106774
0.950389282	0.950355053	0.950343241	0.95	0.0	5.0	07-12-23 15:27:41.620527
1.00018731	1.00012368	1.00014944	1.0	0.0	5.0	07-12-23 15:27:49.522930
