# 
Keysight V	SDM3045X	Amplitude	Frequency	Offset	Delay	
-8.96373129	-8.97109851	0.0	1000000.0	-10.0	3.0	07-12-23 17:46:32.999348
-8.1004705	-8.10103607	0.0	1000000.0	-8.947368421052632	3.0	07-12-23 17:46:37.396621
-7.1465419	-7.14627517	0.0	1000000.0	-7.894736842105264	3.0	07-12-23 17:46:41.411531
-6.20064906	-6.20005774	0.0	1000000.0	-6.842105263157895	3.0	07-12-23 17:46:45.090742
-5.26194453	-5.26092623	0.0	1000000.0	-5.7894736842105265	3.0	07-12-23 17:46:49.372537
-4.31873287	-4.31970931	0.0	1000000.0	-4.736842105263158	3.0	07-12-23 17:46:53.594104
-3.36306918	-3.36359551	0.0	1000000.0	-3.6842105263157894	3.0	07-12-23 17:46:57.151698
-2.4130319	-2.41289705	0.0	1000000.0	-2.6315789473684212	3.0	07-12-23 17:47:00.845751
-1.47294718	-1.47292839	0.0	1000000.0	-1.578947368421053	3.0	07-12-23 17:47:04.523814
-0.497470528	-0.497485264	0.0	1000000.0	-0.526315789473685	3.0	07-12-23 17:47:08.176035
0.503948532	0.504115235	0.0	1000000.0	0.5263157894736832	3.0	07-12-23 17:47:11.693313
1.48023395	1.48037683	0.0	1000000.0	1.578947368421053	3.0	07-12-23 17:47:16.399204
2.42373805	2.42263646	0.0	1000000.0	2.6315789473684212	3.0	07-12-23 17:47:20.128793
3.34326756	3.34483425	0.0	1000000.0	3.6842105263157894	3.0	07-12-23 17:47:24.566309
4.29171268	4.29140299	0.0	1000000.0	4.7368421052631575	3.0	07-12-23 17:47:28.414263
5.22998942	5.22961512	0.0	1000000.0	5.789473684210527	3.0	07-12-23 17:47:32.793900
6.16049888	6.16062174	0.0	1000000.0	6.842105263157894	3.0	07-12-23 17:47:36.973582
7.102096	7.10208532	0.0	1000000.0	7.894736842105264	3.0	07-12-23 17:47:40.884029
8.04501524	8.04504008	0.0	1000000.0	8.94736842105263	3.0	07-12-23 17:47:44.371874
8.98155255	8.98126023	0.0	1000000.0	10.0	3.0	07-12-23 17:47:48.279130
