# 
ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	Delay	
0.001034546	2735.9	2394.8	1420.7	0.0004742433	1765.75	1435.15	2098.75	0.1	08-12-23 16:34:28.376208
0.001080577	2732.05	2379.35	1430.3	0.0004948777	1758.3	1431.45	2090.4	0.1	08-12-23 16:34:28.577054
0.001066291	2731.05	2381.65	1424.5	0.0004361491	1738.3	1425.15	2087.65	0.1	08-12-23 16:34:28.776159
0.001077402	2726.4	2398.1	1423.8	0.0004123402	1760.1	1435.35	2100.2	0.1	08-12-23 16:34:28.976573
0.001075815	2726.2	2391.5	1423.8	0.0004155147	1766.95	1433.0	2102.05	0.1	08-12-23 16:34:29.175192
0.001034546	2719.45	2399.4	1427.65	0.0004155147	1764.9	1427.15	2088.4	0.1	08-12-23 16:34:29.375431
0.00102661	2724.55	2397.0	1430.35	0.0004298	1772.85	1424.85	2098.95	0.1	08-12-23 16:34:29.575479
0.00106153	2727.1	2390.9	1434.15	0.0004631325	1768.2	1437.5	2094.95	0.1	08-12-23 16:34:29.775673
0.001004388	2724.9	2391.95	1426.5	0.0003710714	1772.3	1434.3	2102.75	0.1	08-12-23 16:34:29.975266
0.001020261	2721.75	2395.75	1429.25	0.0004996395	1760.95	1432.1	2100.35	0.1	08-12-23 16:34:30.174311
0.001017086	2726.95	2385.0	1435.55	0.000459958	1778.55	1442.6	2108.9	0.1	08-12-23 16:34:30.374538
0.001025022	2725.6	2392.9	1434.75	0.0004583707	1774.1	1432.35	2108.45	0.1	08-12-23 16:34:30.575423
0.001023435	2723.6	2392.45	1427.45	0.0004107529	1762.85	1428.45	2101.45	0.1	08-12-23 16:34:30.775840
0.001042482	2726.65	2397.45	1425.3	0.0004837668	1756.5	1417.05	2092.95	0.1	08-12-23 16:34:30.976287
0.001021848	2726.0	2395.0	1429.85	0.0004456726	1759.3	1418.0	2088.65	0.1	08-12-23 16:34:31.177151
0.001012324	2735.6	2397.95	1432.05	0.0004298	1757.0	1420.8	2085.35	0.1	08-12-23 16:34:31.377445
0.001001214	2732.45	2390.95	1433.15	0.0003948803	1771.55	1431.1	2104.05	0.1	08-12-23 16:34:31.577609
0.001001214	2738.7	2388.4	1432.4	0.0004028166	1772.65	1434.0	2095.85	0.1	08-12-23 16:34:31.778167
0.001017086	2737.95	2394.7	1429.5	0.0005536063	1773.6	1431.45	2102.1	0.1	08-12-23 16:34:31.978672
0.0009996265	2742.5	2396.8	1433.55	0.000582177	1772.65	1435.5	2098.35	0.1	08-12-23 16:34:32.177977
0.001017086	2744.9	2398.2	1434.4	0.000417102	1777.4	1426.4	2098.55	0.1	08-12-23 16:34:32.377675
0.001004388	2736.7	2402.75	1434.0	0.0004155147	1774.4	1427.65	2098.85	0.1	08-12-23 16:34:32.578611
0.001028197	2730.35	2396.25	1428.7	0.0004218637	1776.15	1440.5	2106.2	0.1	08-12-23 16:34:32.777768
0.001002801	2726.8	2397.75	1441.45	0.0004742433	1774.6	1435.25	2102.65	0.1	08-12-23 16:34:32.977685
0.001036133	2738.4	2391.5	1442.1	0.0004520217	1776.3	1445.05	2109.55	0.1	08-12-23 16:34:33.178764
0.001039308	2746.3	2391.45	1443.5	0.0006059859	1781.55	1435.95	2107.2	0.1	08-12-23 16:34:33.379284
0.001001214	2743.8	2392.65	1435.9	0.0004504344	1786.0	1435.5	2111.65	0.1	08-12-23 16:34:33.578668
0.0009837537	2745.15	2395.4	1439.65	0.0004647197	1782.95	1435.05	2109.3	0.1	08-12-23 16:34:33.778840
0.001039308	2741.65	2403.9	1441.55	0.0004583707	1781.75	1444.75	2116.6	0.1	08-12-23 16:34:33.978501
0.0009710556	2745.85	2402.65	1448.25	0.0004409109	1780.2	1435.45	2102.2	0.1	08-12-23 16:34:34.179015
0.0009837537	2733.45	2396.3	1438.9	0.0005170993	1773.7	1430.75	2105.9	0.1	08-12-23 16:34:34.379984
0.001074228	2731.1	2398.35	1443.75	0.0004440853	1764.65	1417.75	2096.55	0.1	08-12-23 16:34:34.580011
0.001102798	2745.5	2403.05	1435.7	0.0004790051	1757.5	1416.05	2089.6	0.1	08-12-23 16:34:34.780743
