# 
VDC	Amplitude	Frequency	Offset	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	Delay	
2.42920623e-05	0.0	1000000.0	5.0	0.001601198	2886.9	2612.6	1486.35	0.0008028062	1927.25	1480.55	2053.2	0.1	08-12-23 17:28:33.803308
1.30801583e-05	0.0	1000000.0	5.0	0.001598023	2886.9	2613.15	1482.4	0.0007742354	1926.95	1488.65	2060.9	0.1	08-12-23 17:28:34.185564
1.68174596e-05	0.0	1000000.0	5.0	0.001607547	2881.4	2613.75	1490.4	0.0007789973	1926.35	1485.2	2054.7	0.1	08-12-23 17:28:34.718346
2.80293637e-05	0.0	1000000.0	5.0	0.001601198	2883.9	2614.65	1490.45	0.0008012188	1926.2	1486.25	2063.7	0.1	08-12-23 17:28:35.736871
3.55039664e-05	0.0	1000000.0	5.0	0.001604372	2888.8	2618.15	1487.65	0.0007980443	1930.3	1491.1	2054.95	0.1	08-12-23 17:28:38.412919
1.30801583e-05	0.0	1000000.0	5.0	0.001631356	2882.05	2614.7	1496.3	0.0007916953	1932.35	1484.85	2053.55	0.1	08-12-23 17:28:39.333796
2.42920623e-05	0.0	1000000.0	5.0	0.001632943	2879.0	2610.7	1485.35	0.0007599501	1924.65	1485.5	2052.25	0.1	08-12-23 17:28:39.956607
2.42920623e-05	0.0	1000000.0	5.0	0.001648816	2882.3	2613.3	1485.0	0.0007694737	1931.15	1481.8	2055.4	0.1	08-12-23 17:28:40.664198
1.30801583e-05	0.0	1000000.0	5.0	0.00165199	2880.1	2613.9	1485.9	0.0007964571	1922.65	1480.5	2055.2	0.1	08-12-23 17:28:43.120422
2.42920623e-05	0.0	1000000.0	5.0	0.001659926	2879.2	2621.0	1492.25	0.0007742354	1917.45	1483.85	2060.85	0.1	08-12-23 17:28:45.028579
2.42920623e-05	0.0	1000000.0	5.0	0.001617071	2878.95	2616.5	1491.95	0.0007551883	1928.8	1488.95	2054.15	0.1	08-12-23 17:28:50.088785
-9.15642795e-05	0.0	1000000.0	5.0	0.001629769	2876.35	2618.75	1488.1	0.0008218532	1926.1	1482.4	2045.65	0.1	08-12-23 17:28:56.639172
3.55039664e-05	0.0	1000000.0	5.0	0.001598023	2883.2	2612.95	1488.3	0.0007758227	1928.65	1484.35	2044.5	0.1	08-12-23 17:28:56.983783
3.55039664e-05	0.0	1000000.0	5.0	0.00163453	2878.45	2620.1	1491.35	0.0008123296	1930.2	1479.35	2051.35	0.1	08-12-23 17:28:57.344771
5.79277745e-05	0.0	1000000.0	5.0	0.001610721	2882.3	2621.75	1497.75	0.0007789973	1924.25	1481.25	2055.8	0.1	08-12-23 17:28:57.650508
-5.60634847e-06	0.0	1000000.0	5.0	0.001626594	2884.4	2611.7	1491.25	0.0008234406	1929.65	1483.15	2051.4	0.1	08-12-23 17:28:57.957984
5.60555558e-06	0.0	1000000.0	5.0	0.001613896	2884.65	2613.85	1490.25	0.0007710609	1921.05	1485.95	2052.8	0.1	08-12-23 17:28:58.262790
2.80293637e-05	0.0	1000000.0	5.0	0.001601198	2876.7	2618.75	1496.0	0.0008361386	1925.85	1490.2	2050.8	0.1	08-12-23 17:28:58.471616
