# 
VDC	Voltage 1	Current 1	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	Delay	
-10.9961025	1.0	0.004	-10.97753	-6927839.0	-6934293.0	-6931738.0	-11.01068	-6931056.0	-6929973.0	-6927337.0	0.1	11-12-23 11:48:17.484567
-10.9958503	1.0	0.004	-10.97729	-6927697.0	-6934161.0	-6931605.0	-11.0105	-6930926.0	-6929842.0	-6927223.0	0.1	11-12-23 11:48:18.274224
-10.9957238	1.0	0.004	-10.97722	-6927666.0	-6934110.0	-6931563.0	-11.01042	-6930855.0	-6929781.0	-6927146.0	0.1	11-12-23 11:48:18.924894
-10.9956164	1.0	0.004	-10.97715	-6927634.0	-6934052.0	-6931504.0	-11.01032	-6930824.0	-6929737.0	-6927104.0	0.1	11-12-23 11:48:19.734244
-10.995553	1.0	0.004	-10.977	-6927602.0	-6933992.0	-6931475.0	-11.01034	-6930819.0	-6929712.0	-6927109.0	0.1	11-12-23 11:48:20.549979
-10.9954817	1.0	0.004	-10.97706	-6927527.0	-6933972.0	-6931438.0	-11.01023	-6930723.0	-6929650.0	-6927017.0	0.1	11-12-23 11:48:21.370180
-10.9954361	1.0	0.004	-10.97691	-6927480.0	-6933919.0	-6931383.0	-11.01019	-6930709.0	-6929626.0	-6926979.0	0.1	11-12-23 11:48:22.189922
-10.995382	1.0	0.004	-10.97696	-6927450.0	-6933898.0	-6931377.0	-11.01003	-6930647.0	-6929538.0	-6926958.0	0.1	11-12-23 11:48:23.013351
-10.9953648	1.0	0.004	-10.97693	-6927453.0	-6933903.0	-6931382.0	-11.01018	-6930707.0	-6929594.0	-6927027.0	0.1	11-12-23 11:48:23.728280
-10.995377	1.0	0.004	-10.977	-6927464.0	-6933906.0	-6931372.0	-11.01007	-6930693.0	-6929598.0	-6926970.0	0.1	11-12-23 11:48:24.443641
-10.9953239	1.0	0.004	-10.97692	-6927431.0	-6933882.0	-6931361.0	-11.01004	-6930661.0	-6929573.0	-6926957.0	0.1	11-12-23 11:48:25.265628
-10.9953149	1.0	0.004	-10.97683	-6927431.0	-6933897.0	-6931339.0	-11.01001	-6930626.0	-6929537.0	-6926926.0	0.1	11-12-23 11:48:26.085215
-10.9953032	1.0	0.004	-10.97686	-6927474.0	-6933908.0	-6931351.0	-11.00999	-6930661.0	-6929526.0	-6926962.0	0.1	11-12-23 11:48:26.904214
-10.9953051	1.0	0.004	-10.97689	-6927445.0	-6933862.0	-6931338.0	-11.01	-6930624.0	-6929519.0	-6926916.0	0.1	11-12-23 11:48:27.744173
-10.9952741	1.0	0.004	-10.97682	-6927409.0	-6933848.0	-6931302.0	-11.01002	-6930618.0	-6929529.0	-6926915.0	0.1	11-12-23 11:48:28.543535
-10.9952689	1.0	0.004	-10.97693	-6927431.0	-6933870.0	-6931322.0	-11.00999	-6930626.0	-6929556.0	-6926929.0	0.1	11-12-23 11:48:29.258660
-10.995234	1.0	0.004	-10.97686	-6927375.0	-6933862.0	-6931318.0	-11.01004	-6930567.0	-6929524.0	-6926936.0	0.1	11-12-23 11:48:30.075721
-10.9952484	1.0	0.004	-10.97688	-6927409.0	-6933880.0	-6931334.0	-11.01	-6930546.0	-6929499.0	-6926873.0	0.1	11-12-23 11:48:30.893988
-10.9952475	1.0	0.004	-10.97684	-6927429.0	-6933871.0	-6931330.0	-11.00993	-6930539.0	-6929489.0	-6926866.0	0.1	11-12-23 11:48:31.615216
-10.9952674	1.0	0.004	-10.9769	-6927409.0	-6933883.0	-6931333.0	-11.00993	-6930557.0	-6929520.0	-6926894.0	0.1	11-12-23 11:48:32.331635
-10.9952368	1.0	0.004	-10.9768	-6927365.0	-6933834.0	-6931307.0	-11.00994	-6930563.0	-6929520.0	-6926847.0	0.1	11-12-23 11:48:33.157780
-10.9952176	1.0	0.004	-10.97678	-6927363.0	-6933834.0	-6931282.0	-11.00998	-6930550.0	-6929456.0	-6926861.0	0.1	11-12-23 11:48:33.890866
-10.995209	1.0	0.004	-10.97678	-6927367.0	-6933806.0	-6931265.0	-11.00984	-6930538.0	-6929497.0	-6926843.0	0.1	11-12-23 11:48:34.580938
-10.9952229	1.0	0.004	-10.97681	-6927362.0	-6933812.0	-6931269.0	-11.00994	-6930530.0	-6929474.0	-6926834.0	0.1	11-12-23 11:48:35.296872
-10.9952225	1.0	0.004	-10.97678	-6927358.0	-6933826.0	-6931271.0	-11.00986	-6930516.0	-6929481.0	-6926849.0	0.1	11-12-23 11:48:36.118356
-10.995249	1.0	0.004	-10.97679	-6927382.0	-6933794.0	-6931261.0	-11.00998	-6930537.0	-6929506.0	-6926864.0	0.1	11-12-23 11:48:36.937391
-10.995243	1.0	0.004	-10.97676	-6927387.0	-6933848.0	-6931274.0	-11.00995	-6930523.0	-6929491.0	-6926866.0	0.1	11-12-23 11:48:37.753805
-10.9951973	1.0	0.004	-10.97675	-6927365.0	-6933830.0	-6931246.0	-11.00991	-6930522.0	-6929466.0	-6926840.0	0.1	11-12-23 11:48:38.583115
-10.9951884	1.0	0.004	-10.97675	-6927353.0	-6933816.0	-6931264.0	-11.00983	-6930515.0	-6929491.0	-6926832.0	0.1	11-12-23 11:48:39.396633
-10.9951945	1.0	0.004	-10.97675	-6927377.0	-6933808.0	-6931259.0	-11.00996	-6930518.0	-6929470.0	-6926846.0	0.1	11-12-23 11:48:40.211834
-10.9952038	1.0	0.004	-10.9767	-6927348.0	-6933808.0	-6931266.0	-11.00991	-6930539.0	-6929506.0	-6926864.0	0.1	11-12-23 11:48:41.120702
-10.9951829	1.0	0.004	-10.97665	-6927292.0	-6933763.0	-6931218.0	-11.00994	-6930523.0	-6929482.0	-6926853.0	0.1	11-12-23 11:48:41.851278
-10.9951937	1.0	0.004	-10.97676	-6927344.0	-6933810.0	-6931228.0	-11.00995	-6930518.0	-6929470.0	-6926834.0	0.1	11-12-23 11:48:42.573770
-10.9952021	1.0	0.004	-10.97672	-6927340.0	-6933798.0	-6931240.0	-11.00989	-6930510.0	-6929483.0	-6926837.0	0.1	11-12-23 11:48:43.399610
-10.9951809	1.0	0.004	-10.97663	-6927321.0	-6933802.0	-6931226.0	-11.00991	-6930515.0	-6929450.0	-6926830.0	0.1	11-12-23 11:48:44.207514
-10.9951637	1.0	0.004	-10.97663	-6927322.0	-6933774.0	-6931207.0	-11.00994	-6930477.0	-6929442.0	-6926794.0	0.1	11-12-23 11:48:45.028880
-10.9951474	1.0	0.004	-10.97667	-6927330.0	-6933791.0	-6931252.0	-11.00988	-6930520.0	-6929450.0	-6926816.0	0.1	11-12-23 11:48:45.744789
-10.995156	1.0	0.004	-10.97676	-6927366.0	-6933783.0	-6931262.0	-11.0099	-6930508.0	-6929454.0	-6926810.0	0.1	11-12-23 11:48:46.566534
-10.9951598	1.0	0.004	-10.97669	-6927330.0	-6933767.0	-6931238.0	-11.00992	-6930450.0	-6929406.0	-6926758.0	0.1	11-12-23 11:48:47.384338
-10.995164	1.0	0.004	-10.97671	-6927341.0	-6933785.0	-6931250.0	-11.00978	-6930450.0	-6929434.0	-6926785.0	0.1	11-12-23 11:48:48.139302
-10.9951715	1.0	0.004	-10.97676	-6927346.0	-6933776.0	-6931240.0	-11.00988	-6930486.0	-6929445.0	-6926777.0	0.1	11-12-23 11:48:48.919453
-10.9951663	1.0	0.004	-10.97672	-6927322.0	-6933765.0	-6931222.0	-11.00988	-6930488.0	-6929430.0	-6926810.0	0.1	11-12-23 11:48:49.745267
-10.9951378	1.0	0.004	-10.97668	-6927308.0	-6933734.0	-6931210.0	-11.00987	-6930473.0	-6929406.0	-6926776.0	0.1	11-12-23 11:48:50.456263
-10.9951567	1.0	0.004	-10.97674	-6927350.0	-6933753.0	-6931241.0	-11.00992	-6930485.0	-6929454.0	-6926807.0	0.1	11-12-23 11:48:51.274292
-10.9951725	1.0	0.004	-10.9768	-6927374.0	-6933785.0	-6931255.0	-11.00991	-6930474.0	-6929467.0	-6926793.0	0.1	11-12-23 11:48:51.977502
-10.9951395	1.0	0.004	-10.97663	-6927296.0	-6933730.0	-6931203.0	-11.00984	-6930458.0	-6929433.0	-6926754.0	0.1	11-12-23 11:48:52.810160
-10.9951155	1.0	0.004	-10.97667	-6927302.0	-6933743.0	-6931212.0	-11.00986	-6930483.0	-6929377.0	-6926762.0	0.1	11-12-23 11:48:53.652449
-10.9951064	1.0	0.004	-10.97657	-6927282.0	-6933721.0	-6931217.0	-11.00977	-6930409.0	-6929381.0	-6926714.0	0.1	11-12-23 11:48:54.448177
-10.9950998	1.0	0.004	-10.97663	-6927311.0	-6933706.0	-6931212.0	-11.00989	-6930414.0	-6929407.0	-6926744.0	0.1	11-12-23 11:48:55.268096
-10.9950924	1.0	0.004	-10.97656	-6927251.0	-6933696.0	-6931199.0	-11.00979	-6930401.0	-6929389.0	-6926698.0	0.1	11-12-23 11:48:56.087650
-10.9950392	1.0	0.004	-10.97666	-6927278.0	-6933670.0	-6931174.0	-11.00971	-6930399.0	-6929367.0	-6926675.0	0.1	11-12-23 11:48:56.906162
-10.9950767	1.0	0.004	-10.97665	-6927308.0	-6933709.0	-6931202.0	-11.00982	-6930392.0	-6929396.0	-6926720.0	0.1	11-12-23 11:48:57.733839
-10.995088	1.0	0.004	-10.97661	-6927288.0	-6933679.0	-6931214.0	-11.00976	-6930426.0	-6929431.0	-6926721.0	0.1	11-12-23 11:48:58.544678
-10.9951158	1.0	0.004	-10.9767	-6927294.0	-6933696.0	-6931195.0	-11.00978	-6930429.0	-6929411.0	-6926718.0	0.1	11-12-23 11:48:59.259363
-10.9951251	1.0	0.004	-10.97671	-6927322.0	-6933757.0	-6931234.0	-11.00991	-6930430.0	-6929450.0	-6926750.0	0.1	11-12-23 11:49:00.080294
-10.9951557	1.0	0.004	-10.97673	-6927322.0	-6933742.0	-6931190.0	-11.00984	-6930449.0	-6929449.0	-6926776.0	0.1	11-12-23 11:49:00.898188
-10.9951375	1.0	0.004	-10.97665	-6927299.0	-6933693.0	-6931192.0	-11.00988	-6930455.0	-6929410.0	-6926741.0	0.1	11-12-23 11:49:01.716751
-10.9951426	1.0	0.004	-10.97672	-6927330.0	-6933758.0	-6931226.0	-11.00993	-6930466.0	-6929398.0	-6926763.0	0.1	11-12-23 11:49:02.430445
-10.9951835	1.0	0.004	-10.97678	-6927358.0	-6933810.0	-6931256.0	-11.00994	-6930501.0	-6929474.0	-6926814.0	0.1	11-12-23 11:49:03.252169
-10.9951536	1.0	0.004	-10.97671	-6927324.0	-6933754.0	-6931206.0	-11.00998	-6930469.0	-6929456.0	-6926774.0	0.1	11-12-23 11:49:03.967676
-10.9951272	1.0	0.004	-10.97674	-6927318.0	-6933741.0	-6931215.0	-11.00985	-6930460.0	-6929450.0	-6926782.0	0.1	11-12-23 11:49:04.787821
-10.995114	1.0	0.004	-10.97662	-6927299.0	-6933743.0	-6931202.0	-11.00987	-6930454.0	-6929444.0	-6926777.0	0.1	11-12-23 11:49:05.607953
-10.9950976	1.0	0.004	-10.97666	-6927287.0	-6933706.0	-6931182.0	-11.00989	-6930443.0	-6929432.0	-6926789.0	0.1	11-12-23 11:49:06.325494
-10.9951062	1.0	0.004	-10.97665	-6927298.0	-6933737.0	-6931199.0	-11.00982	-6930454.0	-6929438.0	-6926770.0	0.1	11-12-23 11:49:07.040709
-10.9951329	1.0	0.004	-10.97678	-6927328.0	-6933736.0	-6931232.0	-11.00975	-6930475.0	-6929450.0	-6926791.0	0.1	11-12-23 11:49:07.760671
-10.9951649	1.0	0.004	-10.97667	-6927298.0	-6933725.0	-6931215.0	-11.00993	-6930466.0	-6929475.0	-6926778.0	0.1	11-12-23 11:49:08.583607
-10.9951913	1.0	0.004	-10.97668	-6927351.0	-6933789.0	-6931258.0	-11.00988	-6930485.0	-6929469.0	-6926792.0	0.1	11-12-23 11:49:09.405933
-10.9951711	1.0	0.004	-10.97666	-6927304.0	-6933754.0	-6931213.0	-11.00983	-6930485.0	-6929460.0	-6926757.0	0.1	11-12-23 11:49:10.325221
-10.9950983	1.0	0.004	-10.97663	-6927281.0	-6933678.0	-6931184.0	-11.0098	-6930458.0	-6929417.0	-6926756.0	0.1	11-12-23 11:49:11.339726
-10.9951071	1.0	0.004	-10.97663	-6927321.0	-6933718.0	-6931212.0	-11.00988	-6930490.0	-6929468.0	-6926765.0	0.1	11-12-23 11:49:12.172232
-10.9950859	1.0	0.004	-10.97657	-6927262.0	-6933674.0	-6931159.0	-11.00977	-6930437.0	-6929410.0	-6926748.0	0.1	11-12-23 11:49:12.983641
-10.9950661	1.0	0.004	-10.97668	-6927299.0	-6933722.0	-6931189.0	-11.0098	-6930472.0	-6929426.0	-6926771.0	0.1	11-12-23 11:49:13.800984
