# 
VDC	Voltage 1	Current 1	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	Delay	a	
-11.9103908	0.058	0.0	-11.8309	-7466429.0	-7473250.0	-7470653.0	-11.82503	-7443603.0	-7442479.0	-7439710.0	7.0	1.0	11-12-23 15:34:55.541494
-11.4903472	0.5	0.001	-11.47109	-7239463.0	-7246214.0	-7243506.0	-11.50594	-7242740.0	-7241610.0	-7238898.0	7.0	1.0	11-12-23 15:35:03.156616
-10.9937595	1.0	0.004	-10.97528	-6926454.0	-6932940.0	-6930402.0	-11.00849	-6929622.0	-6928568.0	-6925978.0	7.0	1.0	11-12-23 15:35:10.787028
-10.4956952	1.5	0.006	-10.47797	-6612542.0	-6618734.0	-6616346.0	-10.50984	-6615633.0	-6614637.0	-6612126.0	7.0	1.0	11-12-23 15:35:18.332021
-9.99589483	2.0	0.009	-9.978955	-6297515.0	-6303414.0	-6301215.0	-10.00923	-6300466.0	-6299543.0	-6297092.0	7.0	1.0	11-12-23 15:35:26.028622
-9.49671357	2.5	0.012	-9.480541	-5982871.0	-5988502.0	-5986452.0	-9.5093	-5985736.0	-5984878.0	-5982559.0	7.0	1.0	11-12-23 15:35:33.564603
-8.99651279	3.001	0.014	-8.981197	-5667599.0	-5672958.0	-5671087.0	-9.008425	-5670373.0	-5669604.0	-5667350.0	7.0	1.0	11-12-23 15:35:41.092213
-8.4975344	3.5	0.017	-8.482929	-5353114.0	-5358130.0	-5356456.0	-8.508765	-5355798.0	-5355061.0	-5352920.0	7.0	1.0	11-12-23 15:35:48.640118
-7.99766912	4.0	0.019	-7.983804	-5038032.0	-5042804.0	-5041254.0	-8.008276	-5040614.0	-5039967.0	-5037894.0	7.0	1.0	11-12-23 15:35:56.170877
-7.49791981	4.5	0.022	-7.48485	-4723045.0	-4727532.0	-4726166.0	-7.507696	-4725538.0	-4724953.0	-4722996.0	7.0	1.0	11-12-23 15:36:03.703148
-6.99790395	5.001	0.025	-6.985571	-4407915.0	-4412097.0	-4410915.0	-7.007025	-4410286.0	-4409737.0	-4407891.0	7.0	1.0	11-12-23 15:36:11.233185
-6.49828364	5.5	0.027	-6.486754	-4092987.0	-4096920.0	-4095876.0	-6.506748	-4095286.0	-4094804.0	-4093068.0	7.0	1.0	11-12-23 15:36:18.766190
-5.99923243	6.0	0.03	-5.988389	-3778409.0	-3782053.0	-3781190.0	-6.00703	-3780626.0	-3780237.0	-3778576.0	7.0	1.0	11-12-23 15:36:26.303416
-5.49948822	6.5	0.032	-5.489428	-3463434.0	-3466808.0	-3466098.0	-5.506561	-3465534.0	-3465209.0	-3463636.0	7.0	1.0	11-12-23 15:36:33.887756
-5.00009737	6.999	0.035	-4.990874	-3148690.0	-3151766.0	-3151231.0	-5.006358	-3150674.0	-3150420.0	-3148943.0	7.0	1.0	11-12-23 15:36:41.424039
-4.49953929	7.5	0.037	-4.491018	-2833204.0	-2836004.0	-2835620.0	-4.505127	-2835064.0	-2834905.0	-2833506.0	7.0	1.0	11-12-23 15:36:48.952389
-4.00048333	8.0	0.04	-3.992753	-2518614.0	-2521130.0	-2520916.0	-4.005407	-2520396.0	-2520270.0	-2518966.0	7.0	1.0	11-12-23 15:36:56.578837
-3.50064246	8.5	0.042	-3.493634	-2203577.0	-2205816.0	-2205754.0	-3.50484	-2205221.0	-2205177.0	-2203958.0	7.0	1.0	11-12-23 15:37:04.277920
-3.00163918	8.999	0.045	-2.995385	-1889047.0	-1890992.0	-1891093.0	-3.005076	-1890592.0	-1890614.0	-1889500.0	7.0	1.0	11-12-23 15:37:11.938764
-2.5013326	9.5	0.047	-2.495813	-1573672.0	-1575345.0	-1575629.0	-2.504041	-1575143.0	-1575224.0	-1574202.0	7.0	1.0	11-12-23 15:37:19.468172
-2.00133728	10.0	0.05	-1.996593	-1258525.0	-1259910.0	-1260364.0	-2.003384	-1259894.0	-1260050.0	-1259113.0	7.0	1.0	11-12-23 15:37:26.993287
-1.50174295	10.5	0.053	-1.497731	-943632.4	-944741.7	-945359.5	-1.503031	-944885.8	-945127.9	-944291.0	7.0	1.0	11-12-23 15:37:34.570040
-1.00188436	11.0	0.055	-0.9986885	-628577.4	-629410.6	-630193.9	-1.002455	-629729.1	-630033.1	-629283.8	7.0	1.0	11-12-23 15:37:42.146289
-0.502715543	11.5	0.058	-0.5002888	-313963.8	-314515.4	-315475.7	-0.5026317	-315029.5	-315402.3	-314746.9	7.0	1.0	11-12-23 15:37:49.675473
