# 
VDC	Voltage 1	Current 1	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	Delay	
-11.9908943	0.001	0.0	-11.83031	-7466074.0	-7472879.0	-7470268.0	-11.82451	-7443237.0	-7442126.0	-7439367.0	6.0	11-12-23 11:51:41.486120
-11.8942621	0.099	0.0	-11.83051	-7466238.0	-7472995.0	-7470397.0	-11.82453	-7443298.0	-7442174.0	-7439430.0	6.0	11-12-23 11:51:48.220722
-11.795399	0.199	0.0	-11.77563	-7431730.0	-7438570.0	-7435770.0	-11.81119	-7434986.0	-7433873.0	-7431076.0	6.0	11-12-23 11:51:54.980095
-11.6949316	0.3	0.0	-11.67541	-7368443.0	-7375231.0	-7372439.0	-11.71069	-7371703.0	-7370544.0	-7367773.0	6.0	11-12-23 11:52:01.634525
-11.5948505	0.4	0.001	-11.5755	-7305355.0	-7312088.0	-7309350.0	-11.61041	-7308589.0	-7307472.0	-7304686.0	6.0	11-12-23 11:52:08.395468
-11.4951281	0.5	0.001	-11.47574	-7242397.0	-7249075.0	-7246391.0	-11.51057	-7245661.0	-7244546.0	-7241804.0	6.0	11-12-23 11:52:15.149150
-11.3956184	0.6	0.002	-11.37648	-7179698.0	-7186395.0	-7183670.0	-11.4109	-7182930.0	-7181858.0	-7179140.0	6.0	11-12-23 11:52:21.907898
-11.2954049	0.7	0.002	-11.27643	-7116581.0	-7123198.0	-7120524.0	-11.3107	-7119782.0	-7118704.0	-7116026.0	6.0	11-12-23 11:52:28.668312
-11.1948603	0.801	0.003	-11.17609	-7053227.0	-7059765.0	-7057154.0	-11.20989	-7056394.0	-7055340.0	-7052654.0	6.0	11-12-23 11:52:35.424433
-11.0955578	0.9	0.003	-11.07691	-6990582.0	-6997071.0	-6994478.0	-11.11045	-6993785.0	-6992740.0	-6990096.0	6.0	11-12-23 11:52:42.183556
-10.9953664	1.0	0.004	-10.97692	-6927502.0	-6933929.0	-6931391.0	-11.01013	-6930590.0	-6929606.0	-6926926.0	6.0	11-12-23 11:52:48.943468
-10.895413	1.1	0.004	-10.87718	-6864453.0	-6870882.0	-6868359.0	-10.91	-6867588.0	-6866586.0	-6863930.0	6.0	11-12-23 11:52:55.599324
-10.7955962	1.2	0.005	-10.77748	-6801568.0	-6807898.0	-6805393.0	-10.81002	-6804665.0	-6803700.0	-6801061.0	6.0	11-12-23 11:53:02.356418
-10.6955323	1.3	0.005	-10.67755	-6738491.0	-6744774.0	-6742315.0	-10.70991	-6741631.0	-6740648.0	-6738032.0	6.0	11-12-23 11:53:09.112936
-10.5956272	1.4	0.006	-10.57779	-6675466.0	-6681694.0	-6679297.0	-10.60978	-6678610.0	-6677632.0	-6675070.0	6.0	11-12-23 11:53:15.647281
-10.4962088	1.499	0.006	-10.4786	-6612891.0	-6619013.0	-6616624.0	-10.51033	-6615976.0	-6614973.0	-6612417.0	6.0	11-12-23 11:53:22.324740
-10.395681	1.6	0.007	-10.37816	-6549462.0	-6555542.0	-6553182.0	-10.4096	-6552539.0	-6551570.0	-6548989.0	6.0	11-12-23 11:53:29.076527
-10.2956269	1.7	0.007	-10.27823	-6486403.0	-6492450.0	-6490136.0	-10.30943	-6489455.0	-6488513.0	-6485978.0	6.0	11-12-23 11:53:35.739600
-10.1962996	1.8	0.008	-10.17914	-6423845.0	-6429784.0	-6427523.0	-10.21	-6426817.0	-6425932.0	-6423439.0	6.0	11-12-23 11:53:42.495364
-10.0965994	1.899	0.008	-10.07945	-6360968.0	-6366862.0	-6364629.0	-10.11013	-6363981.0	-6363067.0	-6360613.0	6.0	11-12-23 11:53:49.255703
-9.99579823	2.0	0.009	-9.978942	-6297430.0	-6303302.0	-6301093.0	-10.00907	-6300403.0	-6299514.0	-6297062.0	6.0	11-12-23 11:53:56.013523
-9.89611543	2.1	0.01	-9.879275	-6234617.0	-6240452.0	-6238241.0	-9.909284	-6237530.0	-6236674.0	-6234236.0	6.0	11-12-23 11:54:02.772018
-9.79648611	2.199	0.01	-9.779865	-6171844.0	-6177574.0	-6175415.0	-9.809542	-6174741.0	-6173879.0	-6171445.0	6.0	11-12-23 11:54:09.533212
-9.69619579	2.3	0.011	-9.679753	-6108643.0	-6114327.0	-6112210.0	-9.709058	-6111502.0	-6110650.0	-6108293.0	6.0	11-12-23 11:54:16.288751
-9.59544579	2.401	0.011	-9.579226	-6045140.0	-6050783.0	-6048658.0	-9.608212	-6047993.0	-6047149.0	-6044781.0	6.0	11-12-23 11:54:23.042273
-9.49636424	2.499	0.012	-9.48023	-5982686.0	-5988290.0	-5986213.0	-9.508982	-5985538.0	-5984694.0	-5982367.0	6.0	11-12-23 11:54:29.703758
