# 
VDC	Voltage 1	Current 1	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	Delay	
0.202642298	11.999	0.062	-0.008001725	-2020.35	-2612.55	-4018.25	-0.01030167	-4211.85	-5014.3	-4671.05	0.0	11-12-23 12:44:36.902941
-0.0143160054	11.999	0.06	-0.01227304	-5963.05	-6209.95	-7294.2	-0.01294922	-6814.35	-7220.4	-6625.75	0.0	11-12-23 12:44:37.588375
-0.0124496493	11.999	0.06	-0.009463592	-4216.85	-4464.05	-5545.9	-0.01015405	-5058.95	-5492.1	-4889.7	0.0	11-12-23 12:44:38.200620
-0.00988352057	11.999	0.06	-0.006900167	-2533.75	-2794.5	-3894.0	-0.007681099	-3435.65	-3869.75	-3287.95	0.0	11-12-23 12:44:39.000511
-0.00777667468	11.999	0.06	-0.005462109	-1622.2	-1878.25	-2986.0	-0.00626685	-2540.4	-2983.95	-2409.4	0.0	11-12-23 12:44:39.660270
-0.00650985696	11.999	0.06	-0.004536737	-1034.8	-1292.65	-2404.5	-0.005387508	-1969.4	-2405.7	-1832.85	0.0	11-12-23 12:44:40.249627
-0.00567081993	11.999	0.06	-0.00357327	-426.5	-691.55	-1803.55	-0.004424041	-1381.3	-1817.05	-1247.5	0.0	11-12-23 12:44:41.100297
-0.00493452035	11.999	0.06	-0.00309233	-135.5	-405.9	-1513.9	-0.003976434	-1080.7	-1522.7	-949.45	0.0	11-12-23 12:44:41.624091
-0.00454102618	11.999	0.06	-0.002754244	80.8	-186.8	-1303.1	-0.003624062	-867.05	-1318.65	-741.65	0.0	11-12-23 12:44:42.148048
-0.00421846538	11.999	0.06	-0.002468537	263.25	-6.7	-1111.3	-0.003346292	-681.65	-1136.55	-556.25	0.0	11-12-23 12:44:42.671375
-0.00394918413	11.999	0.06	-0.002222511	457.8	187.1	-917.7	-0.00307487	-488.85	-940.85	-368.75	0.0	11-12-23 12:44:43.307439
-0.00367388919	11.999	0.06	-0.001970137	602.65	339.4	-775.95	-0.00282567	-353.0	-800.7	-221.75	0.0	11-12-23 12:44:43.830853
-0.00343780191	11.999	0.06	-0.001724112	744.4	480.7	-632.9	-0.002603454	-210.05	-662.15	-81.55	0.0	11-12-23 12:44:44.534322
-0.00329758093	11.999	0.06	-0.00162094	812.6	546.4	-569.05	-0.002511393	-150.0	-600.9	-24.25	0.0	11-12-23 12:44:45.114155
-0.00318868228	11.999	0.06	-0.001528879	888.45	622.65	-490.15	-0.002395523	-76.8	-527.15	53.35	0.0	11-12-23 12:44:45.670971
-0.00307586748	11.999	0.06	-0.00140666	945.2	687.5	-425.3	-0.002236797	-12.1	-451.1	125.95	0.0	11-12-23 12:44:46.217220
-0.0029639401	11.999	0.06	-0.001362217	1013.1	743.35	-371.15	-0.00221775	41.15	-393.0	172.7	0.0	11-12-23 12:44:46.759167
-0.00287447702	11.999	0.06	-0.00120984	1075.3	807.65	-310.05	-0.002068547	105.85	-339.8	227.5	0.0	11-12-23 12:44:47.298922
