# 
ch2a	ch2a avglen	Delay	a	
729493.3	10.0	0.1	16.0	12-12-23 19:22:09.819607
-572111.5	19.166666666666664	0.1	16.0	12-12-23 19:22:09.956290
-1550476.0	28.333333333333332	0.1	16.0	12-12-23 19:22:10.092116
-1550476.0	37.5	0.1	16.0	12-12-23 19:22:10.227222
-1550476.0	46.666666666666664	0.1	16.0	12-12-23 19:22:10.364557
-1550476.0	55.833333333333336	0.1	16.0	12-12-23 19:22:10.499561
1275734.0	65.0	0.1	16.0	12-12-23 19:22:10.635896
1275734.0	74.16666666666667	0.1	16.0	12-12-23 19:22:10.771938
1275734.0	83.33333333333333	0.1	16.0	12-12-23 19:22:10.908222
1275734.0	92.5	0.1	16.0	12-12-23 19:22:11.043789
1275734.0	101.66666666666667	0.1	16.0	12-12-23 19:22:11.181337
-47263.5	110.83333333333333	0.1	16.0	12-12-23 19:22:11.318706
-47263.5	120.0	0.1	16.0	12-12-23 19:22:11.454331
