# 
ch2a	ch2a avglen	Delay	a	
nan	10.0	0.1	0	12-12-23 18:53:58.223716
nan	19.6	0.1	0	12-12-23 18:53:58.356459
nan	29.2	0.1	0	12-12-23 18:53:58.489348
nan	38.8	0.1	0	12-12-23 18:53:58.622510
nan	48.4	0.1	0	12-12-23 18:53:58.756799
nan	58.0	0.1	0	12-12-23 18:53:58.889562
nan	67.6	0.1	0	12-12-23 18:53:59.021524
nan	77.2	0.1	0	12-12-23 18:53:59.168721
nan	86.8	0.1	0	12-12-23 18:53:59.300708
nan	96.39999999999999	0.1	0	12-12-23 18:53:59.433011
nan	106.0	0.1	0	12-12-23 18:53:59.571707
nan	115.6	0.1	0	12-12-23 18:53:59.704336
nan	125.19999999999999	0.1	0	12-12-23 18:53:59.836489
nan	134.8	0.1	0	12-12-23 18:53:59.969254
nan	144.4	0.1	0	12-12-23 18:54:00.102070
nan	154.0	0.1	0	12-12-23 18:54:00.234463
nan	163.6	0.1	0	12-12-23 18:54:00.366875
nan	173.20000000000002	0.1	0	12-12-23 18:54:00.499677
nan	182.79999999999998	0.1	0	12-12-23 18:54:00.632839
nan	192.4	0.1	0	12-12-23 18:54:00.765891
nan	202.0	0.1	0	12-12-23 18:54:00.898627
nan	211.6	0.1	0	12-12-23 18:54:01.031468
nan	221.2	0.1	0	12-12-23 18:54:01.164617
nan	230.8	0.1	0	12-12-23 18:54:01.297547
nan	240.39999999999998	0.1	0	12-12-23 18:54:01.430098
nan	250.0	0.1	0	12-12-23 18:54:01.562319
