# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC	Delay	a	
0.135	0.0	250	250	-7426386.0	-7440245.0	-7447862.0	-7445748.0	-7442609.0	-7436886.0	-7436169.0	-7433699.0	-11.8732964	6	2.0	13-12-23 17:04:15.078729
0.5	0.002	250	250	-7223899.0	-7236697.0	-7243376.0	-7240701.0	-7245528.0	-7239640.0	-7238591.0	-7235962.0	-11.4865031	6	2.0	13-12-23 17:04:22.570612
1.0	0.004	250	250	-6912183.0	-6924335.0	-6930783.0	-6928256.0	-6932858.0	-6927233.0	-6926218.0	-6923656.0	-10.9904943	6	2.0	13-12-23 17:04:29.732313
1.499	0.007	250	250	-6599074.0	-6610608.0	-6616756.0	-6614418.0	-6618848.0	-6613390.0	-6612445.0	-6610005.0	-10.492648	6	2.0	13-12-23 17:04:36.994627
2.0	0.01	250	250	-6284802.0	-6295707.0	-6301562.0	-6299365.0	-6303605.0	-6298379.0	-6297500.0	-6295132.0	-9.99296517	6	2.0	13-12-23 17:04:44.168598
2.499	0.012	250	250	-5970914.0	-5981225.0	-5986793.0	-5984748.0	-5988835.0	-5983780.0	-5982961.0	-5980689.0	-9.49397528	6	2.0	13-12-23 17:04:51.343637
3.0	0.015	250	250	-5656331.0	-5666003.0	-5671300.0	-5669438.0	-5673349.0	-5668521.0	-5667762.0	-5665599.0	-8.99382569	6	2.0	13-12-23 17:04:58.830024
3.499	0.017	250	250	-5342484.0	-5351552.0	-5356578.0	-5354898.0	-5358624.0	-5353981.0	-5353299.0	-5351193.0	-8.49500743	6	2.0	13-12-23 17:05:06.081308
4.0	0.02	250	250	-5028114.0	-5036553.0	-5041303.0	-5039763.0	-5043343.0	-5038919.0	-5038294.0	-5036286.0	-7.99518488	6	2.0	13-12-23 17:05:13.242272
4.5	0.022	250	250	-4713793.0	-4721608.0	-4726058.0	-4724680.0	-4728076.0	-4723847.0	-4723293.0	-4721367.0	-7.49553096	6	2.0	13-12-23 17:05:20.416197
5.0	0.025	250	250	-4399362.0	-4406550.0	-4410723.0	-4409520.0	-4412734.0	-4408704.0	-4408217.0	-4406398.0	-6.99567276	6	2.0	13-12-23 17:05:27.590048
5.5	0.027	250	250	-4085132.0	-4091699.0	-4095604.0	-4094567.0	-4097579.0	-4093762.0	-4093347.0	-4091613.0	-6.49612646	6	2.0	13-12-23 17:05:34.818077
5.999	0.03	250	250	-3771265.0	-3777199.0	-3780829.0	-3779955.0	-3782781.0	-3779159.0	-3778819.0	-3777169.0	-5.99714852	6	2.0	13-12-23 17:05:42.317851
6.499	0.033	250	250	-3456961.0	-3462287.0	-3465625.0	-3464913.0	-3467583.0	-3464144.0	-3463875.0	-3462313.0	-5.49747377	6	2.0	13-12-23 17:05:49.669314
6.999	0.035	250	250	-3142864.0	-3147547.0	-3150595.0	-3150062.0	-3152557.0	-3149328.0	-3149138.0	-3147667.0	-4.99819422	6	2.0	13-12-23 17:05:56.863909
7.499	0.038	250	250	-2828101.0	-2832151.0	-2834941.0	-2834574.0	-2836884.0	-2833875.0	-2833724.0	-2832357.0	-4.49777205	6	2.0	13-12-23 17:06:04.320390
7.999	0.04	250	250	-2514127.0	-2517566.0	-2520073.0	-2519857.0	-2522012.0	-2519206.0	-2519117.0	-2517827.0	-3.9986867	6	2.0	13-12-23 17:06:11.507728
8.499	0.043	250	250	-2199739.0	-2202553.0	-2204782.0	-2204734.0	-2206703.0	-2204094.0	-2204073.0	-2202894.0	-3.49894075	6	2.0	13-12-23 17:06:18.672704
8.999	0.045	250	250	-1885889.0	-1888085.0	-1890028.0	-1890144.0	-1891928.0	-1889539.0	-1889574.0	-1888484.0	-3.00004189	6	2.0	13-12-23 17:06:25.947603
9.499	0.048	250	250	-1571257.0	-1572828.0	-1574488.0	-1574778.0	-1576366.0	-1574179.0	-1574291.0	-1573285.0	-2.49986393	6	2.0	13-12-23 17:06:33.217344
9.999	0.05	250	250	-1256791.0	-1257737.0	-1259119.0	-1259575.0	-1260989.0	-1259006.0	-1259183.0	-1258271.0	-1.99993014	6	2.0	13-12-23 17:06:40.515846
10.499	0.053	250	250	-942595.5	-942913.5	-944017.7	-944641.3	-945869.8	-944107.8	-944343.8	-943519.2	-1.50047625	6	2.0	13-12-23 17:06:48.059278
10.999	0.056	250	250	-628215.5	-627907.7	-628737.9	-629527.3	-630580.8	-629013.9	-629325.8	-628586.6	-1.00069883	6	2.0	13-12-23 17:06:55.241629
11.499	0.058	250	250	-314235.0	-313305.6	-313857.0	-314807.2	-315676.2	-314326.4	-314708.7	-314045.5	-0.501550315	6	2.0	13-12-23 17:07:02.567927
11.999	0.061	250	250	99.032	1650.044	1381.34	265.728	-419.332	724.772	275.12	845.388	-0.00180903132	6	2.0	13-12-23 17:07:09.876539
12.498	0.063	250	250	313827.5	315996.3	316003.3	314734.0	314224.4	315160.0	314652.0	315124.8	0.496926132	6	2.0	13-12-23 17:07:17.044725
12.999	0.066	250	250	628369.1	631155.9	631440.9	630016.7	629678.8	630404.1	629835.9	630214.7	0.996962642	6	2.0	13-12-23 17:07:24.212630
13.498	0.068	250	250	942166.2	945564.1	946128.8	944544.7	944386.7	944909.0	944277.2	944561.2	1.49581941	6	2.0	13-12-23 17:07:31.585639
13.999	0.071	250	250	1256747.0	1260772.0	1261622.0	1259871.0	1259896.0	1260209.0	1259509.0	1259714.0	1.99590827	6	2.0	13-12-23 17:07:38.754441
14.499	0.074	250	250	1570800.0	1575447.0	1576578.0	1574665.0	1574867.0	1574968.0	1574212.0	1574308.0	2.49524248	6	2.0	13-12-23 17:07:46.229083
14.998	0.076	250	250	1884709.0	1889969.0	1891396.0	1889315.0	1889693.0	1889589.0	1888770.0	1888769.0	2.99412523	6	2.0	13-12-23 17:07:53.396849
