# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC	temp	Delay	a	
0.104	0.0	250	250	-7429557.0	-7443183.0	-7450609.0	-7447407.0	-7428535.0	-7421799.0	-7420998.0	-7418508.0	-11.8826906	52.5250465	6.0	5.0	14-12-23 17:22:31.335493
0.5	0.002	250	250	-7222791.0	-7235883.0	-7243098.0	-7239649.0	-7244465.0	-7238015.0	-7237167.0	-7234693.0	-11.4867447	52.4168673	6.0	5.0	14-12-23 17:22:38.576891
1.0	0.004	250	250	-6911196.0	-6923654.0	-6930591.0	-6927339.0	-6931978.0	-6925727.0	-6924955.0	-6922559.0	-10.9908591	52.3149986	6.0	5.0	14-12-23 17:22:45.841251
1.499	0.007	250	250	-6598148.0	-6610005.0	-6616629.0	-6613548.0	-6618004.0	-6611982.0	-6611272.0	-6608959.0	-10.4930774	52.289148	6.0	5.0	14-12-23 17:22:53.014993
2.0	0.01	250	250	-6283870.0	-6295078.0	-6301385.0	-6298524.0	-6302779.0	-6297000.0	-6296338.0	-6294116.0	-9.99327126	52.1500254	6.0	5.0	14-12-23 17:23:00.191239
2.499	0.012	250	250	-5969955.0	-5980485.0	-5986522.0	-5983866.0	-5987914.0	-5982395.0	-5981745.0	-5979633.0	-9.49408926	52.1022462	6.0	5.0	14-12-23 17:23:07.467962
3.0	0.015	250	250	-5655398.0	-5665312.0	-5671011.0	-5668542.0	-5672428.0	-5667126.0	-5666580.0	-5664518.0	-8.99393557	52.0490581	6.0	5.0	14-12-23 17:23:14.856094
3.499	0.017	250	250	-5341587.0	-5350879.0	-5356275.0	-5354013.0	-5357704.0	-5352657.0	-5352144.0	-5350161.0	-8.49498176	52.0084909	6.0	5.0	14-12-23 17:23:22.026061
3.999	0.02	250	250	-5027194.0	-5035869.0	-5040958.0	-5038882.0	-5042419.0	-5037616.0	-5037144.0	-5035267.0	-7.99512039	52.0286165	6.0	5.0	14-12-23 17:23:29.241016
4.499	0.022	250	250	-4712903.0	-4720927.0	-4725729.0	-4723834.0	-4727223.0	-4722602.0	-4722208.0	-4720419.0	-7.49535761	51.931864	6.0	5.0	14-12-23 17:23:36.413864
5.0	0.025	250	250	-4398421.0	-4405789.0	-4410278.0	-4408607.0	-4411795.0	-4407413.0	-4407083.0	-4405367.0	-6.99530608	51.8949028	6.0	5.0	14-12-23 17:23:43.599827
5.5	0.027	250	250	-4084208.0	-4090946.0	-4095136.0	-4093674.0	-4096676.0	-4092529.0	-4092248.0	-4090617.0	-6.49576134	51.8786759	6.0	5.0	14-12-23 17:23:50.768770
5.999	0.03	250	250	-3770359.0	-3776466.0	-3780334.0	-3779083.0	-3781912.0	-3777972.0	-3777762.0	-3776227.0	-5.99673529	51.8552371	6.0	5.0	14-12-23 17:23:57.943272
6.499	0.033	250	250	-3456002.0	-3461444.0	-3465015.0	-3463959.0	-3466606.0	-3462913.0	-3462749.0	-3461299.0	-5.49685714	51.8317983	6.0	5.0	14-12-23 17:24:05.100013
6.999	0.035	250	250	-3141878.0	-3146702.0	-3149970.0	-3149123.0	-3151581.0	-3148106.0	-3148002.0	-3146646.0	-4.99746221	51.8146699	6.0	5.0	14-12-23 17:24:12.477005
7.499	0.038	250	250	-2827109.0	-2831261.0	-2834248.0	-2833602.0	-2835875.0	-2832634.0	-2832574.0	-2831302.0	-4.49695444	51.802049	6.0	5.0	14-12-23 17:24:19.682857
7.999	0.04	250	250	-2513149.0	-2516669.0	-2519358.0	-2518905.0	-2521012.0	-2518012.0	-2518001.0	-2516819.0	-3.99781501	51.7930341	6.0	5.0	14-12-23 17:24:26.856776
8.499	0.043	250	250	-2198794.0	-2201681.0	-2204062.0	-2203815.0	-2205742.0	-2202964.0	-2203028.0	-2201915.0	-3.49802086	51.8447119	6.0	5.0	14-12-23 17:24:34.030305
8.999	0.045	250	250	-1884934.0	-1887178.0	-1889260.0	-1889204.0	-1890968.0	-1888421.0	-1888538.0	-1887506.0	-2.99893349	51.7804132	6.0	5.0	14-12-23 17:24:41.205008
9.499	0.048	250	250	-1570346.0	-1571953.0	-1573731.0	-1573877.0	-1575460.0	-1573135.0	-1573308.0	-1572376.0	-2.49870915	51.7659893	6.0	5.0	14-12-23 17:24:48.725372
9.999	0.05	250	250	-1255838.0	-1256806.0	-1258285.0	-1258630.0	-1260029.0	-1257935.0	-1258155.0	-1257305.0	-1.99870837	51.7596788	6.0	5.0	14-12-23 17:24:55.928746
10.499	0.053	250	250	-941643.3	-941976.1	-943153.6	-943709.2	-944931.3	-943066.1	-943348.8	-942574.7	-1.49917204	51.7560729	6.0	5.0	14-12-23 17:25:03.094911
10.999	0.056	250	250	-627301.2	-626991.7	-627876.8	-628623.6	-629662.4	-628025.1	-628376.0	-627674.9	-0.999358989	51.7533684	6.0	5.0	14-12-23 17:25:10.332839
11.499	0.058	250	250	-313363.7	-312425.8	-313001.7	-313945.4	-314809.7	-313409.3	-313806.2	-313187.8	-0.500196876	51.7596788	6.0	5.0	14-12-23 17:25:17.535289
11.999	0.061	250	250	1047.236	2619.14	2344.06	1206.204	516.044	1690.292	1228.516	1762.208	-0.00025852047	51.7524669	6.0	5.0	14-12-23 17:25:24.704832
12.498	0.063	250	250	314745.7	316947.1	316975.9	315649.3	315136.1	316080.9	315567.2	316009.5	0.498593957	51.7668908	6.0	5.0	14-12-23 17:25:31.977172
12.999	0.066	250	250	629321.0	632158.8	632494.9	630968.9	630634.1	631344.2	630780.0	631137.4	0.998720502	51.7704968	6.0	5.0	14-12-23 17:25:39.156931
13.498	0.068	250	250	943237.8	946719.0	947345.8	945630.3	945474.3	945950.6	945322.2	945604.2	1.49785003	51.8420074	6.0	5.0	14-12-23 17:25:46.319146
13.999	0.071	250	250	1257849.0	1261970.0	1262898.0	1260990.0	1261007.0	1261253.0	1260573.0	1260769.0	1.99807695	51.800246	6.0	5.0	14-12-23 17:25:53.492150
14.499	0.074	250	250	1571996.0	1576761.0	1577982.0	1575872.0	1576062.0	1576086.0	1575351.0	1575456.0	2.49749446	51.7431593	6.0	5.0	14-12-23 17:26:00.667247
14.998	0.076	250	250	1885924.0	1891320.0	1892844.0	1890535.0	1890904.0	1890686.0	1889903.0	1889927.0	2.99655747	51.7539772	6.0	5.0	14-12-23 17:26:07.841924
15.499	0.079	250	250	2200888.0	2206924.0	2208763.0	2206252.0	2206805.0	2206361.0	2205523.0	2205456.0	3.49738714	51.8372072	6.0	5.0	14-12-23 17:26:15.018667
15.998	0.081	250	250	2514662.0	2521337.0	2523472.0	2520766.0	2521504.0	2520829.0	2519926.0	2519781.0	3.99629942	51.8381087	6.0	5.0	14-12-23 17:26:22.193830
16.499	0.084	250	250	2829559.0	2836877.0	2839313.0	2836406.0	2837318.0	2836401.0	2835445.0	2835209.0	4.4968855	51.866055	6.0	5.0	14-12-23 17:26:29.354172
16.998	0.086	250	250	3143272.0	3151225.0	3153964.0	3150855.0	3151937.0	3150810.0	3149799.0	3149476.0	4.99572199	51.87507	6.0	5.0	14-12-23 17:26:36.531328
