# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC	temp	Delay	a	
0.068	0.0	250	250	-7462868.0	-7475906.0	-7482341.0	-7480277.0	-7457698.0	-7452100.0	-7450724.0	-7447798.0	-11.9139552	14.0230335	6.0	1.0	14-12-23 15:31:21.778053
0.5	0.002	250	250	-7225599.0	-7238167.0	-7244466.0	-7242202.0	-7246328.0	-7240954.0	-7239635.0	-7236765.0	-11.4885588	13.9436202	6.0	1.0	14-12-23 15:31:29.072471
1.0	0.004	250	250	-6913099.0	-6925102.0	-6931111.0	-6928992.0	-6932944.0	-6927751.0	-6926504.0	-6923734.0	-10.9915151	13.9811511	6.0	1.0	14-12-23 15:31:36.224602
1.499	0.007	250	250	-6599752.0	-6611133.0	-6616873.0	-6614897.0	-6618724.0	-6613680.0	-6612550.0	-6609850.0	-10.4932879	13.9054608	6.0	1.0	14-12-23 15:31:43.381669
2.0	0.009	250	250	-6285329.0	-6296077.0	-6301569.0	-6299738.0	-6303419.0	-6298585.0	-6297477.0	-6294913.0	-9.99345868	13.9625368	6.0	1.0	14-12-23 15:31:50.559192
2.499	0.012	250	250	-5971377.0	-5981523.0	-5986767.0	-5985076.0	-5988601.0	-5983926.0	-5982922.0	-5980460.0	-9.49435785	13.8831235	6.0	1.0	14-12-23 15:31:57.729598
3.0	0.015	250	250	-5656701.0	-5666280.0	-5671198.0	-5669674.0	-5673048.0	-5668554.0	-5667654.0	-5665302.0	-8.99411662	13.8673013	6.0	1.0	14-12-23 15:32:04.914531
3.499	0.017	250	250	-5342754.0	-5351679.0	-5356383.0	-5354987.0	-5358221.0	-5353913.0	-5353074.0	-5350788.0	-8.49501206	13.942061	6.0	1.0	14-12-23 15:32:12.098187
4.0	0.02	250	250	-5028255.0	-5036565.0	-5040996.0	-5039743.0	-5042836.0	-5038698.0	-5037935.0	-5035770.0	-7.99507426	13.8561327	6.0	1.0	14-12-23 15:32:19.295392
4.5	0.022	250	250	-4713787.0	-4721492.0	-4725633.0	-4724552.0	-4727486.0	-4723557.0	-4722867.0	-4720795.0	-7.49524053	13.8403105	6.0	1.0	14-12-23 15:32:26.455778
5.0	0.025	250	250	-4399268.0	-4406337.0	-4410241.0	-4409300.0	-4412056.0	-4408330.0	-4407714.0	-4405752.0	-6.99526964	13.825419	6.0	1.0	14-12-23 15:32:33.715742
5.5	0.027	250	250	-4085026.0	-4091496.0	-4095120.0	-4094323.0	-4096950.0	-4093401.0	-4092839.0	-4091020.0	-6.49571007	13.8151811	6.0	1.0	14-12-23 15:32:40.892162
5.999	0.03	250	250	-3771009.0	-3776843.0	-3780218.0	-3779571.0	-3782060.0	-3778704.0	-3778221.0	-3776485.0	-5.99649166	13.852712	6.0	1.0	14-12-23 15:32:48.053415
6.499	0.032	250	250	-3456603.0	-3461826.0	-3464931.0	-3464450.0	-3466770.0	-3463594.0	-3463205.0	-3461554.0	-5.49672632	13.7816752	6.0	1.0	14-12-23 15:32:55.325332
6.999	0.035	250	250	-3142409.0	-3147038.0	-3149880.0	-3149530.0	-3151727.0	-3148733.0	-3148429.0	-3146857.0	-4.99731549	13.8173447	6.0	1.0	14-12-23 15:33:02.488217
7.5	0.037	250	250	-2827462.0	-2831474.0	-2834060.0	-2833844.0	-2835882.0	-2833080.0	-2832837.0	-2831359.0	-4.49663259	13.7714373	6.0	1.0	14-12-23 15:33:09.661227
7.999	0.04	250	250	-2513577.0	-2516962.0	-2519272.0	-2519227.0	-2521124.0	-2518506.0	-2518334.0	-2516965.0	-3.99763434	13.7863288	6.0	1.0	14-12-23 15:33:16.841265
8.499	0.043	250	250	-2199068.0	-2201836.0	-2203881.0	-2203977.0	-2205709.0	-2203284.0	-2203189.0	-2201930.0	-3.49768991	13.8722571	6.0	1.0	14-12-23 15:33:24.010137
8.999	0.045	250	250	-1885150.0	-1887302.0	-1889113.0	-1889335.0	-1890929.0	-1888691.0	-1888683.0	-1887510.0	-2.99869297	13.8170425	6.0	1.0	14-12-23 15:33:31.259946
9.499	0.048	250	250	-1570485.0	-1572014.0	-1573572.0	-1573936.0	-1575383.0	-1573336.0	-1573392.0	-1572329.0	-2.49855827	13.8347262	6.0	1.0	14-12-23 15:33:38.708763
9.999	0.05	250	250	-1255879.0	-1256801.0	-1258089.0	-1258605.0	-1259898.0	-1258040.0	-1258173.0	-1257207.0	-1.99844339	13.8403105	6.0	1.0	14-12-23 15:33:45.859794
10.499	0.053	250	250	-941655.7	-941953.2	-942989.4	-943648.6	-944794.4	-943121.7	-943327.6	-942463.9	-1.49887629	13.868232	6.0	1.0	14-12-23 15:33:53.018133
10.999	0.055	250	250	-627129.1	-626810.7	-627590.8	-628394.6	-629387.5	-627907.6	-628189.4	-627424.5	-0.998919128	13.9290309	6.0	1.0	14-12-23 15:34:00.216264
11.499	0.058	250	250	-313130.2	-312196.7	-312717.2	-313669.4	-314513.0	-313224.1	-313577.9	-312901.5	-0.499748149	13.9429917	6.0	1.0	14-12-23 15:34:07.400745
11.999	0.061	250	250	1293.252	2844.136	2580.4	1481.932	792.736	1892.824	1464.748	2047.156	0.000109093414	13.9290309	6.0	1.0	14-12-23 15:34:14.561930
12.498	0.063	250	250	315092.7	317245.9	317241.8	316008.2	315461.6	316373.6	315876.3	316354.4	0.49894085	13.8700935	6.0	1.0	14-12-23 15:34:21.756150
12.999	0.066	250	250	629734.1	632503.1	632756.6	631384.4	630984.2	631703.5	631131.5	631515.6	0.999155249	13.8738163	6.0	1.0	14-12-23 15:34:29.019850
13.498	0.068	250	250	943628.9	947006.4	947519.2	946004.6	945761.5	946286.3	945650.8	945930.6	1.49808467	13.9411302	6.0	1.0	14-12-23 15:34:36.192507
13.999	0.071	250	250	1258194.0	1262194.0	1262970.0	1261306.0	1261204.0	1261543.0	1260831.0	1261016.0	1.99820896	13.8794007	6.0	1.0	14-12-23 15:34:43.367698
14.499	0.073	250	250	1572465.0	1577090.0	1578119.0	1576310.0	1576361.0	1576520.0	1575732.0	1575806.0	2.49772166	13.9383381	6.0	1.0	14-12-23 15:34:50.530303
14.998	0.076	250	250	1886408.0	1891637.0	1892934.0	1890978.0	1891193.0	1891143.0	1890291.0	1890271.0	2.99674872	13.9141394	6.0	1.0	14-12-23 15:34:57.793900
15.5	0.079	250	250	2201552.0	2207403.0	2208939.0	2206845.0	2207217.0	2206985.0	2206056.0	2205947.0	3.49774009	13.8654399	6.0	1.0	14-12-23 15:35:04.956603
15.998	0.081	250	250	2515338.0	2521793.0	2523600.0	2521364.0	2521875.0	2521459.0	2520455.0	2520230.0	3.99646605	13.925308	6.0	1.0	14-12-23 15:35:12.129280
16.499	0.084	250	250	2830333.0	2837397.0	2839475.0	2837104.0	2837738.0	2837130.0	2836063.0	2835758.0	4.49717246	13.9225159	6.0	1.0	14-12-23 15:35:19.304016
16.999	0.086	250	250	3144163.0	3151849.0	3154179.0	3151662.0	3152455.0	3151663.0	3150509.0	3150108.0	4.99602523	13.8449641	6.0	1.0	14-12-23 15:35:26.480547
