# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC	temp	Delay	a	
0.102	0.0	250	250	-7430572.0	-7444026.0	-7451065.0	-7449358.0	-7449817.0	-7444471.0	-7443590.0	-7441010.0	-11.8740782	13.9339866	6.0	3.0	14-12-23 16:39:37.413505
0.5	0.002	250	250	-7224203.0	-7236822.0	-7243050.0	-7240809.0	-7244943.0	-7239537.0	-7238289.0	-7235420.0	-11.4865797	13.9581853	6.0	3.0	14-12-23 16:39:44.587125
1.0	0.004	250	250	-6912558.0	-6924587.0	-6930502.0	-6928438.0	-6932455.0	-6927205.0	-6926027.0	-6923271.0	-10.9907645	14.0133999	6.0	3.0	14-12-23 16:39:51.761674
1.499	0.007	250	250	-6599377.0	-6610796.0	-6616455.0	-6614531.0	-6618360.0	-6613325.0	-6612194.0	-6609536.0	-10.4928338	13.9572546	6.0	3.0	14-12-23 16:39:58.995964
2.0	0.01	250	250	-6285007.0	-6295827.0	-6301217.0	-6299419.0	-6303088.0	-6298193.0	-6297202.0	-6294629.0	-9.99307112	13.9535317	6.0	3.0	14-12-23 16:40:06.174107
2.499	0.012	250	250	-5971058.0	-5981277.0	-5986389.0	-5984753.0	-5988271.0	-5983612.0	-5982659.0	-5980192.0	-9.49393303	13.9470167	6.0	3.0	14-12-23 16:40:13.325963
3.0	0.015	250	250	-5656377.0	-5665986.0	-5670864.0	-5669380.0	-5672738.0	-5668265.0	-5667368.0	-5665007.0	-8.99379622	14.0180535	6.0	3.0	14-12-23 16:40:20.527014
3.499	0.017	250	250	-5342528.0	-5351500.0	-5356136.0	-5354778.0	-5358021.0	-5353736.0	-5352901.0	-5350658.0	-8.49484721	13.9330559	6.0	3.0	14-12-23 16:40:27.701549
4.0	0.02	250	250	-5028065.0	-5036432.0	-5040795.0	-5039600.0	-5042660.0	-5038568.0	-5037821.0	-5035666.0	-7.99496098	13.9284023	6.0	3.0	14-12-23 16:40:34.976348
4.5	0.022	250	250	-4713659.0	-4721390.0	-4725517.0	-4724466.0	-4727387.0	-4723463.0	-4722808.0	-4720732.0	-7.49515536	13.9042036	6.0	3.0	14-12-23 16:40:42.149591
5.0	0.025	250	250	-4399129.0	-4406242.0	-4410110.0	-4409197.0	-4411996.0	-4408245.0	-4407655.0	-4405680.0	-6.99510556	13.943596	6.0	3.0	14-12-23 16:40:49.423277
5.5	0.027	250	250	-4084816.0	-4091315.0	-4094913.0	-4094149.0	-4096781.0	-4093236.0	-4092721.0	-4090851.0	-6.49547492	13.8511527	6.0	3.0	14-12-23 16:40:56.634280
5.999	0.03	250	250	-3770832.0	-3776703.0	-3780065.0	-3779438.0	-3781926.0	-3778574.0	-3778123.0	-3776355.0	-5.99636625	13.8390533	6.0	3.0	14-12-23 16:41:03.781042
6.499	0.032	250	250	-3456520.0	-3461778.0	-3464869.0	-3464379.0	-3466731.0	-3463559.0	-3463174.0	-3461517.0	-5.49667391	13.8213697	6.0	3.0	14-12-23 16:41:10.974154
6.999	0.035	250	250	-3142391.0	-3147024.0	-3149856.0	-3149511.0	-3151710.0	-3148719.0	-3148421.0	-3146862.0	-4.99733271	13.8700692	6.0	3.0	14-12-23 16:41:18.170543
7.499	0.038	250	250	-2827521.0	-2831544.0	-2834123.0	-2833919.0	-2835983.0	-2833174.0	-2832959.0	-2831489.0	-4.49678643	13.8260233	6.0	3.0	14-12-23 16:41:25.421769
