# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC	temp	Delay	a	
0.0	0.0	250	250	-7450019.0	-7463104.0	-7469962.0	-7467275.0	-7445957.0	-7439920.0	-7438819.0	-7436067.0	-11.9946693	30.7560565	6.0	1.0	14-12-23 13:12:10.522659
0.5	0.002	250	250	-7229775.0	-7242549.0	-7249321.0	-7246538.0	-7251436.0	-7245610.0	-7244492.0	-7241813.0	-11.4955357	30.8118563	6.0	1.0	14-12-23 13:12:17.697343
1.0	0.004	250	250	-6915401.0	-6927558.0	-6934053.0	-6931449.0	-6936184.0	-6930559.0	-6929503.0	-6926905.0	-10.9957285	30.8521053	6.0	1.0	14-12-23 13:12:24.987361
1.499	0.007	250	250	-6601443.0	-6613006.0	-6619206.0	-6616746.0	-6621286.0	-6615862.0	-6614892.0	-6612387.0	-10.4966282	30.8804626	6.0	1.0	14-12-23 13:12:32.236810
2.0	0.009	250	250	-6286678.0	-6297641.0	-6303529.0	-6301245.0	-6305602.0	-6300375.0	-6299473.0	-6297072.0	-9.9961522	30.9152231	6.0	1.0	14-12-23 13:12:39.408933
2.499	0.012	250	250	-5972459.0	-5982775.0	-5988378.0	-5986285.0	-5990430.0	-5985410.0	-5984580.0	-5982258.0	-9.49661148	30.9655344	6.0	1.0	14-12-23 13:12:46.612701
3.0	0.014	250	250	-5657610.0	-5667287.0	-5672648.0	-5670716.0	-5674691.0	-5669875.0	-5669100.0	-5666891.0	-8.99606746	30.9783409	6.0	1.0	14-12-23 13:12:53.788179
3.499	0.017	250	250	-5343689.0	-5352726.0	-5357805.0	-5356008.0	-5359869.0	-5355232.0	-5354530.0	-5352395.0	-8.49698777	31.0632501	6.0	1.0	14-12-23 13:13:01.001833
4.0	0.019	250	250	-5029117.0	-5037546.0	-5042367.0	-5040736.0	-5044362.0	-5039942.0	-5039316.0	-5037277.0	-7.99697199	31.0423734	6.0	1.0	14-12-23 13:13:08.275719
4.5	0.022	250	250	-4714614.0	-4722436.0	-4726934.0	-4725504.0	-4728945.0	-4724710.0	-4724160.0	-4722227.0	-7.49695399	31.0004575	6.0	1.0	14-12-23 13:13:15.453860
