# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC	temp	Delay	a	
0.014	0.0	250	250	-7463544.0	-7476516.0	-7482870.0	-7480721.0	-7457531.0	-7451914.0	-7450607.0	-7447654.0	-11.973898	13.7124756	6.0	1.0	14-12-23 16:00:15.239747
0.5	0.002	250	250	-7227739.0	-7240369.0	-7246640.0	-7244425.0	-7248534.0	-7243152.0	-7241897.0	-7238969.0	-11.4917439	13.6845541	6.0	1.0	14-12-23 16:00:22.390089
1.0	0.004	250	250	-6913972.0	-6925982.0	-6931989.0	-6929908.0	-6933843.0	-6928627.0	-6927473.0	-6924667.0	-10.9928543	13.6603554	6.0	1.0	14-12-23 16:00:29.537258
1.499	0.007	250	250	-6600145.0	-6611572.0	-6617289.0	-6615330.0	-6619154.0	-6614124.0	-6613024.0	-6610317.0	-10.4939631	13.6687318	6.0	1.0	14-12-23 16:00:36.704532
2.0	0.01	250	250	-6285468.0	-6296261.0	-6301733.0	-6299938.0	-6303616.0	-6298753.0	-6297703.0	-6295101.0	-9.99377048	13.6678011	6.0	1.0	14-12-23 16:00:43.908132
2.499	0.012	250	250	-5971418.0	-5981567.0	-5986738.0	-5985143.0	-5988682.0	-5984030.0	-5983041.0	-5980545.0	-9.49452054	13.6333645	6.0	1.0	14-12-23 16:00:51.072815
3.0	0.015	250	250	-5656760.0	-5666299.0	-5671222.0	-5669741.0	-5673107.0	-5668649.0	-5667725.0	-5665366.0	-8.99422552	13.5604663	6.0	1.0	14-12-23 16:00:58.431173
3.499	0.017	250	250	-5342815.0	-5351768.0	-5356421.0	-5355078.0	-5358297.0	-5354022.0	-5353170.0	-5350910.0	-8.49522589	13.7099856	6.0	1.0	14-12-23 16:01:05.751165
3.999	0.02	250	250	-5028335.0	-5036675.0	-5041060.0	-5039862.0	-5042970.0	-5038882.0	-5038103.0	-5035954.0	-7.99529081	13.6966534	6.0	1.0	14-12-23 16:01:13.113144
4.499	0.022	250	250	-4713927.0	-4721629.0	-4725761.0	-4724726.0	-4727636.0	-4723766.0	-4723077.0	-4720998.0	-7.49551532	13.7242728	6.0	1.0	14-12-23 16:01:20.373461
5.0	0.025	250	250	-4399352.0	-4406435.0	-4410299.0	-4409407.0	-4412187.0	-4408501.0	-4407854.0	-4405901.0	-6.99540118	13.8278847	6.0	1.0	14-12-23 16:01:27.549159
5.5	0.028	250	250	-4085066.0	-4091525.0	-4095166.0	-4094381.0	-4097030.0	-4093503.0	-4092965.0	-4091102.0	-6.49579826	13.8902429	6.0	1.0	14-12-23 16:01:35.030336
5.999	0.03	250	250	-3771066.0	-3776931.0	-3780300.0	-3779654.0	-3782150.0	-3778819.0	-3778362.0	-3776579.0	-5.99666507	13.9321252	6.0	1.0	14-12-23 16:01:42.199021
6.499	0.033	250	250	-3456753.0	-3461999.0	-3465101.0	-3464593.0	-3466940.0	-3463781.0	-3463395.0	-3461728.0	-5.49693409	13.9414324	6.0	1.0	14-12-23 16:01:49.372921
6.999	0.035	250	250	-3142562.0	-3147172.0	-3150038.0	-3149679.0	-3151868.0	-3148909.0	-3148591.0	-3147029.0	-4.99752905	13.9386402	6.0	1.0	14-12-23 16:01:56.546573
7.499	0.038	250	250	-2827779.0	-2831787.0	-2834384.0	-2834171.0	-2836224.0	-2833440.0	-2833202.0	-2831736.0	-4.4971463	13.9107187	6.0	1.0	14-12-23 16:02:03.780179
7.999	0.04	250	250	-2513849.0	-2517224.0	-2519552.0	-2519496.0	-2521387.0	-2518797.0	-2518622.0	-2517257.0	-3.99805012	13.8313054	6.0	1.0	14-12-23 16:02:10.942563
8.499	0.043	250	250	-2199488.0	-2202248.0	-2204318.0	-2204413.0	-2206162.0	-2203759.0	-2203642.0	-2202401.0	-3.49833212	13.8595292	6.0	1.0	14-12-23 16:02:18.116211
8.999	0.045	250	250	-1885615.0	-1887755.0	-1889566.0	-1889809.0	-1891411.0	-1889187.0	-1889162.0	-1888002.0	-2.99942333	13.8129932	6.0	1.0	14-12-23 16:02:25.283414
9.499	0.048	250	250	-1571035.0	-1572561.0	-1574136.0	-1574503.0	-1575952.0	-1573910.0	-1573977.0	-1572908.0	-2.49938546	13.7701802	6.0	1.0	14-12-23 16:02:32.439181
9.999	0.05	250	250	-1256519.0	-1257434.0	-1258738.0	-1259250.0	-1260543.0	-1258693.0	-1258816.0	-1257851.0	-1.99938243	13.7208521	6.0	1.0	14-12-23 16:02:39.614022
10.499	0.053	250	250	-942321.9	-942618.8	-943656.5	-944318.6	-945472.1	-943803.3	-944000.7	-943141.5	-1.49987614	13.6752469	6.0	1.0	14-12-23 16:02:46.811951
10.999	0.056	250	250	-627828.9	-627508.2	-628285.5	-629098.2	-630097.1	-628615.2	-628892.1	-628127.2	-0.999962487	13.6910691	6.0	1.0	14-12-23 16:02:53.988604
11.499	0.058	250	250	-313748.1	-312817.9	-313336.6	-314296.6	-315139.9	-313843.6	-314197.4	-313522.2	-0.500656476	13.7068913	6.0	1.0	14-12-23 16:03:01.162879
11.999	0.061	250	250	754.608	2304.424	2044.384	943.108	244.64	1351.096	926.192	1506.944	-0.000648882174	13.6544689	6.0	1.0	14-12-23 16:03:08.476645
12.499	0.063	250	250	314686.8	316844.8	316846.0	315608.8	315056.9	315967.9	315464.5	315950.9	0.498390772	13.767388	6.0	1.0	14-12-23 16:03:15.916324
12.999	0.066	250	250	629346.1	632109.7	632369.7	630993.6	630590.4	631312.9	630748.5	631122.3	0.998571081	13.7860024	6.0	1.0	14-12-23 16:03:23.090722
13.498	0.068	250	250	943250.5	946635.1	947148.6	945635.7	945374.5	945912.5	945272.0	945547.3	1.49757261	13.7354414	6.0	1.0	14-12-23 16:03:30.265358
13.999	0.071	250	250	1258019.0	1262018.0	1262794.0	1261134.0	1261021.0	1261374.0	1260657.0	1260844.0	1.99795255	13.8064782	6.0	1.0	14-12-23 16:03:37.439088
14.499	0.074	250	250	1572172.0	1576798.0	1577831.0	1576025.0	1576055.0	1576221.0	1575435.0	1575517.0	2.4972966	13.8362612	6.0	1.0	14-12-23 16:03:44.643941
14.998	0.076	250	250	1886192.0	1891421.0	1892727.0	1890773.0	1890967.0	1890936.0	1890081.0	1890066.0	2.99648032	13.920328	6.0	1.0	14-12-23 16:03:51.821852
15.499	0.079	250	250	2201286.0	2207129.0	2208691.0	2206595.0	2206930.0	2206706.0	2205779.0	2205656.0	3.49732357	13.8716285	6.0	1.0	14-12-23 16:03:58.980928
15.998	0.081	250	250	2515047.0	2521506.0	2523338.0	2521091.0	2521580.0	2521181.0	2520171.0	2519963.0	3.99607475	13.8247904	6.0	1.0	14-12-23 16:04:06.177890
16.499	0.084	250	250	2830008.0	2837075.0	2839166.0	2836774.0	2837420.0	2836833.0	2835746.0	2835428.0	4.49674223	13.8809357	6.0	1.0	14-12-23 16:04:13.441057
16.999	0.087	250	250	3143911.0	3151591.0	3153945.0	3151407.0	3152209.0	3151432.0	3150268.0	3149873.0	4.99563437	13.8781435	6.0	1.0	14-12-23 16:04:20.614878
17.499	0.089	250	250	3458440.0	3466742.0	3469330.0	3466685.0	3467624.0	3466656.0	3465432.0	3464929.0	5.49566616	13.8781435	6.0	1.0	14-12-23 16:04:27.788945
17.999	0.092	250	250	3772771.0	3781686.0	3784551.0	3781747.0	3782829.0	3781693.0	3780387.0	3779782.0	5.99534328	13.943596	6.0	1.0	14-12-23 16:04:35.063999
18.498	0.094	250	250	4086971.0	4096521.0	4099625.0	4096681.0	4097915.0	4096584.0	4095212.0	4094502.0	6.49480479	13.8660442	6.0	1.0	14-12-23 16:04:42.237594
18.999	0.097	250	250	4401466.0	4411628.0	4415035.0	4411907.0	4413298.0	4411780.0	4410318.0	4409540.0	6.99476184	13.8455684	6.0	1.0	14-12-23 16:04:49.565304
19.499	0.1	250	250	4715436.0	4726196.0	4729854.0	4726600.0	4728150.0	4726431.0	4724932.0	4724026.0	7.49372434	13.8604599	6.0	1.0	14-12-23 16:04:56.830612
19.999	0.102	250	250	5029787.0	5041176.0	5045095.0	5041702.0	5043386.0	5041486.0	5039899.0	5038903.0	7.99344364	13.9004808	6.0	1.0	14-12-23 16:05:03.982297
20.498	0.105	250	250	5343665.0	5355662.0	5359835.0	5356300.0	5358112.0	5356061.0	5354394.0	5353270.0	8.49237693	14.0040927	6.0	1.0	14-12-23 16:05:11.134974
20.998	0.107	250	250	5658019.0	5670661.0	5675086.0	5671391.0	5673349.0	5671098.0	5669348.0	5668152.0	8.99203778	13.9777304	6.0	1.0	14-12-23 16:05:18.294238
21.499	0.11	250	250	5971824.0	5985068.0	5989776.0	5985940.0	5988072.0	5985634.0	5983794.0	5982501.0	9.49088875	14.0009984	6.0	1.0	14-12-23 16:05:25.455695
21.999	0.112	250	250	6285739.0	6299625.0	6304595.0	6300596.0	6302864.0	6300234.0	6298351.0	6296926.0	9.98988582	13.9656311	6.0	1.0	14-12-23 16:05:32.630575
22.498	0.115	250	250	6599135.0	6613635.0	6618835.0	6614706.0	6617145.0	6614333.0	6612351.0	6610840.0	10.4879808	13.9042036	6.0	1.0	14-12-23 16:05:39.804409
22.998	0.118	250	250	6842096.0	7488947.0	6863397.0	7490583.0	7487627.0	6860122.0	7481919.0	7480191.0	10.9973182	13.8362612	6.0	1.0	14-12-23 16:05:46.978465
23.498	0.12	250	250	6842053.0	7489826.0	6863398.0	7491492.0	7488652.0	6860218.0	7482950.0	7481249.0	11.4842148	13.7562194	6.0	1.0	14-12-23 16:05:54.183947
23.999	0.123	250	250	6833385.0	7490034.0	6854862.0	7491681.0	7488759.0	6851567.0	7483051.0	7481309.0	11.9653383	13.6892076	6.0	1.0	14-12-23 16:06:01.578098
