# 
Kithley V	Keysight V	hvpsu1	hvpsu2	hvpsu3	hvpsu4	Delay	a	
249.952438	249.760977	-250.0	-250.0	-250.0	-250.0	4.0	-250.0	18-12-23 15:32:18.287407
-245.248054	-245.059838	-245.0	-245.0	-245.0	-245.0	4.0	-245.0	18-12-23 15:32:23.508494
-240.242777	-240.05943	-240.0	-240.0	-240.0	-240.0	4.0	-240.0	18-12-23 15:32:28.730701
-235.235241	-235.054744	-235.0	-235.0	-235.0	-235.0	4.0	-235.0	18-12-23 15:32:33.953106
-230.236991	-230.061453	-230.0	-230.0	-230.0	-230.0	4.0	-230.0	18-12-23 15:32:39.062675
-225.228334	-225.056417	-225.0	-225.0	-225.0	-225.0	4.0	-225.0	18-12-23 15:32:44.271536
-220.222624	-220.054663	-220.0	-220.0	-220.0	-220.0	4.0	-220.0	18-12-23 15:32:49.518201
-215.220286	-215.054568	-215.0	-215.0	-215.0	-215.0	4.0	-215.0	18-12-23 15:32:54.740805
-210.214051	-210.0529	-210.0	-210.0	-210.0	-210.0	4.0	-210.0	18-12-23 15:32:59.963130
-205.204543	-205.048318	-205.0	-205.0	-205.0	-205.0	4.0	-205.0	18-12-23 15:33:05.185692
-200.206176	-200.053524	-200.0	-200.0	-200.0	-200.0	4.0	-200.0	18-12-23 15:33:10.295120
-195.199451	-195.051113	-195.0	-195.0	-195.0	-195.0	4.0	-195.0	18-12-23 15:33:15.528394
-190.189366	-190.045707	-190.0	-190.0	-190.0	-190.0	4.0	-190.0	18-12-23 15:33:20.751161
-185.188918	-185.048709	-185.0	-185.0	-185.0	-185.0	4.0	-185.0	18-12-23 15:33:25.973485
-180.180432	-180.04487	-180.0	-180.0	-180.0	-180.0	4.0	-180.0	18-12-23 15:33:31.195868
-175.173366	-175.041894	-175.0	-175.0	-175.0	-175.0	4.0	-175.0	18-12-23 15:33:36.328449
-170.172138	-170.044669	-170.0	-170.0	-170.0	-170.0	4.0	-170.0	18-12-23 15:33:41.640787
-165.165549	-165.042818	-165.0	-165.0	-165.0	-165.0	4.0	-165.0	18-12-23 15:33:46.759708
-160.159675	-160.040841	-160.0	-160.0	-160.0	-160.0	4.0	-160.0	18-12-23 15:33:51.983400
