# 
Kithley V	Keysight V	Voltage 1	Current 1	Delay	
-0.00095147497	-0.00101363212	0.001	0.0	7.0	18-12-23 14:21:18.010822
0.999892055	0.999822221	1.0	0.0	7.0	18-12-23 14:21:26.305179
1.99992276	1.99990011	2.0	0.0	7.0	18-12-23 14:21:34.497743
3.00048119	3.00041335	3.001	0.0	7.0	18-12-23 14:21:42.790202
4.00020179	4.0001762	4.0	0.0	7.0	18-12-23 14:21:50.983731
5.0006816	5.00061057	5.0	0.0	7.0	18-12-23 14:21:59.262760
6.00026118	6.0001614	6.0	0.0	7.0	18-12-23 14:22:07.461982
7.00018858	6.99999022	6.999	0.0	7.0	18-12-23 14:22:15.662426
8.00050295	8.0003048	8.0	0.0	7.0	18-12-23 14:22:23.855002
9.00015364	8.99991901	8.999	0.0	7.0	18-12-23 14:22:32.159047
10.0010734	10.0007321	10.0	0.0	7.0	18-12-23 14:22:40.379342
