# 
Kithley V	Keysight V	hvpsu1	hvpsu2	hvpsu3	hvpsu4	Delay	
-3.98190078	-3.9815569	-250.0	0	0	0	4.0	18-12-23 14:54:08.681048
-3.6043703	-3.6038489	-240.0	0	0	0	4.0	18-12-23 14:54:13.903174
-3.60554404	-3.60503476	-230.0	0	0	0	4.0	18-12-23 14:54:19.125589
-3.60678476	-3.60626217	-220.0	0	0	0	4.0	18-12-23 14:54:24.348441
-3.60778892	-3.60746443	-210.0	0	0	0	4.0	18-12-23 14:54:29.570518
-3.60890462	-3.60858959	-200.0	0	0	0	4.0	18-12-23 14:54:34.793149
-3.6100872	-3.60964806	-190.0	0	0	0	4.0	18-12-23 14:54:40.015424
-3.61135018	-3.61112566	-180.0	0	0	0	4.0	18-12-23 14:54:45.232251
-3.61250607	-3.60927162	-170.0	0	0	0	4.0	18-12-23 14:54:50.460020
-160.157989	-160.155173	-160.0	0	0	0	4.0	18-12-23 14:54:55.682456
-150.149183	-150.146579	-150.0	0	0	0	4.0	18-12-23 14:55:00.904908
-140.140885	-140.13862	-140.0	0	0	0	4.0	18-12-23 14:55:06.127282
