# 
Kithley V	Keysight V	hvpsu1	hvpsu2	hvpsu3	hvpsu4	Delay	a	
249.953556	249.7631	-250.0	-250.0	-250.0	-250.0	4.0	-250.0	18-12-23 15:16:10.467057
-245.248576	-245.06177	-245.0	-245.0	-245.0	-245.0	4.0	-245.0	18-12-23 15:16:15.691071
-240.243725	-240.060807	-240.0	-240.0	-240.0	-240.0	4.0	-240.0	18-12-23 15:16:20.913878
-235.236005	-235.057179	-235.0	-235.0	-235.0	-235.0	4.0	-235.0	18-12-23 15:16:26.136561
-230.237973	-230.063113	-230.0	-230.0	-230.0	-230.0	4.0	-230.0	18-12-23 15:16:31.255868
-225.229298	-225.058165	-225.0	-225.0	-225.0	-225.0	4.0	-225.0	18-12-23 15:16:36.479878
-220.2242	-220.056559	-220.0	-220.0	-220.0	-220.0	4.0	-220.0	18-12-23 15:16:41.702399
-215.221381	-215.056856	-215.0	-215.0	-215.0	-215.0	4.0	-215.0	18-12-23 15:16:46.925161
-210.214953	-210.055111	-210.0	-210.0	-210.0	-210.0	4.0	-210.0	18-12-23 15:16:52.147648
-205.205533	-205.050056	-205.0	-205.0	-205.0	-205.0	4.0	-205.0	18-12-23 15:16:57.370410
-200.206665	-200.055525	-200.0	-200.0	-200.0	-200.0	4.0	-200.0	18-12-23 15:17:02.593148
-195.200295	-195.052955	-195.0	-195.0	-195.0	-195.0	4.0	-195.0	18-12-23 15:17:07.815180
-190.190626	-190.047752	-190.0	-190.0	-190.0	-190.0	4.0	-190.0	18-12-23 15:17:13.038927
-185.189876	-185.050743	-185.0	-185.0	-185.0	-185.0	4.0	-185.0	18-12-23 15:17:18.191791
-180.181184	-180.046565	-180.0	-180.0	-180.0	-180.0	4.0	-180.0	18-12-23 15:17:23.484022
-175.174192	-175.043434	-175.0	-175.0	-175.0	-175.0	4.0	-175.0	18-12-23 15:17:28.705434
-170.172844	-170.046216	-170.0	-170.0	-170.0	-170.0	4.0	-170.0	18-12-23 15:17:33.816529
-165.16619	-165.044086	-165.0	-165.0	-165.0	-165.0	4.0	-165.0	18-12-23 15:17:39.049663
-160.160003	-160.042272	-160.0	-160.0	-160.0	-160.0	4.0	-160.0	18-12-23 15:17:44.272373
