# 
Keysight V	Delay	
-0.683818634	0.0	18-12-23 13:45:00.244781
-1.51504746	0.0	18-12-23 13:45:00.903533
2.35324593	0.0	18-12-23 13:45:01.563365
-1.03135042	0.0	18-12-23 13:45:02.218862
-1.18195528	0.0	18-12-23 13:45:02.875069
2.36996709	0.0	18-12-23 13:45:03.531923
-1.4290735	0.0	18-12-23 13:45:04.188097
-0.759994109	0.0	18-12-23 13:45:04.845310
2.30231461	0.0	18-12-23 13:45:05.502824
-1.75055797	0.0	18-12-23 13:45:06.159093
-0.345097181	0.0	18-12-23 13:45:06.816792
2.16285668	0.0	18-12-23 13:45:07.473985
-2.00730108	0.0	18-12-23 13:45:08.130565
0.0866207204	0.0	18-12-23 13:45:08.787348
1.93679608	0.0	18-12-23 13:45:09.443464
0.401121754	0.0	18-12-23 13:45:10.100395
1.06532993	0.0	18-12-23 13:45:10.757084
1.38233734	0.0	18-12-23 13:45:11.413649
1.37321528	0.0	18-12-23 13:45:12.069988
0.738122482	0.0	18-12-23 13:45:12.726359
0.888482344	0.0	18-12-23 13:45:13.383784
1.76557307	0.0	18-12-23 13:45:14.040798
2.34802195	0.0	18-12-23 13:45:14.697105
2.53555423	0.0	18-12-23 13:45:15.353761
2.29956521	0.0	18-12-23 13:45:16.011013
1.67914951	0.0	18-12-23 13:45:16.667667
0.776593507	0.0	18-12-23 13:45:17.324842
-0.253957794	0.0	18-12-23 13:45:17.982059
-1.24273852	0.0	18-12-23 13:45:18.638647
-2.02069309	0.0	18-12-23 13:45:19.295054
-2.45982039	0.0	18-12-23 13:45:19.951705
-2.48395334	0.0	18-12-23 13:45:20.607484
-2.09001046	0.0	18-12-23 13:45:21.264662
-1.34429013	0.0	18-12-23 13:45:21.921049
-0.373124731	0.0	18-12-23 13:45:22.578146
0.662941807	0.0	18-12-23 13:45:23.234836
1.58793491	0.0	18-12-23 13:45:23.890369
2.24611642	0.0	18-12-23 13:45:24.546978
2.52924851	0.0	18-12-23 13:45:25.203441
2.39044445	0.0	18-12-23 13:45:25.859696
1.85183258	0.0	18-12-23 13:45:26.516735
1.00210464	0.0	18-12-23 13:45:27.173182
-0.0120711437	0.0	18-12-23 13:45:27.830548
-1.02756902	0.0	18-12-23 13:45:28.487607
-1.86633422	0.0	18-12-23 13:45:29.144229
-2.39150184	0.0	18-12-23 13:45:29.801806
-2.51419173	0.0	18-12-23 13:45:30.458355
-2.21256038	0.0	18-12-23 13:45:31.114285
-1.53965762	0.0	18-12-23 13:45:31.771705
0.751599334	0.0	18-12-23 13:45:32.428742
2.24541206	0.0	18-12-23 13:45:33.086498
1.18998606	0.0	18-12-23 13:45:33.743689
1.94482617	0.0	18-12-23 13:45:34.401259
-0.196773664	0.0	18-12-23 13:45:35.058384
1.1843903	0.0	18-12-23 13:45:35.715997
-1.30199469	0.0	18-12-23 13:45:36.371622
1.66770097	0.0	18-12-23 13:45:37.029340
-0.254851958	0.0	18-12-23 13:45:37.686812
0.00654110868	0.0	18-12-23 13:45:38.343646
0.0064504363	0.0	18-12-23 13:45:39.000746
0.00640699749	0.0	18-12-23 13:45:39.657113
0.00568456497	0.0	18-12-23 13:45:40.314702
0.00611712267	0.0	18-12-23 13:45:40.972042
0.00599457437	0.0	18-12-23 13:45:41.630180
0.00507976996	0.0	18-12-23 13:45:42.286755
0.00583180159	0.0	18-12-23 13:45:42.944898
0.00583198017	0.0	18-12-23 13:45:43.601722
0.00609270233	0.0	18-12-23 13:45:44.258925
0.0060775233	0.0	18-12-23 13:45:44.915684
0.00576720147	0.0	18-12-23 13:45:45.572813
0.399825038	0.0	18-12-23 13:45:46.229787
0.367408969	0.0	18-12-23 13:45:46.886211
0.28445084	0.0	18-12-23 13:45:47.543080
0.164517709	0.0	18-12-23 13:45:48.200368
0.0394797819	0.0	18-12-23 13:45:48.858030
-0.104036522	0.0	18-12-23 13:45:49.514585
-0.238575909	0.0	18-12-23 13:45:50.172107
-0.321373862	0.0	18-12-23 13:45:50.829627
-0.379696537	0.0	18-12-23 13:45:51.487160
-0.384363712	0.0	18-12-23 13:45:52.143788
-0.337571872	0.0	18-12-23 13:45:52.800755
-0.241628131	0.0	18-12-23 13:45:53.457553
-0.113104302	0.0	18-12-23 13:45:54.114220
0.033473038	0.0	18-12-23 13:45:54.770375
0.178735326	0.0	18-12-23 13:45:55.427259
0.297227563	0.0	18-12-23 13:45:56.084555
0.373549644	0.0	18-12-23 13:45:56.741029
0.400235315	0.0	18-12-23 13:45:57.397963
