# keith - ch4, keys - ch3
Keithley V	Keysight V	hvpsu1	hvpsu2	hvpsu3	hvpsu4	Delay	a	b	
-31.5734914	-42.9205739	38921.0	36921.0	38921.0	36921.0	2.0	38921.0	-2000.0	19-12-23 19:25:14.556232
-33.12904	-44.4556909	38921.0	37121.0	38921.0	37121.0	2.0	38921.0	-1800.0	19-12-23 19:25:17.730557
-34.6881013	-45.9945027	38921.0	37321.0	38921.0	37321.0	2.0	38921.0	-1600.0	19-12-23 19:25:21.007579
-36.23172	-46.9013486	38921.0	37521.0	38921.0	37521.0	2.0	38921.0	-1400.0	19-12-23 19:25:24.267910
-37.7557148	-46.9011979	38921.0	37721.0	38921.0	37721.0	2.0	38921.0	-1200.0	19-12-23 19:25:27.383083
-39.2806513	-46.9013528	38921.0	37921.0	38921.0	37921.0	2.0	38921.0	-1000.0	19-12-23 19:25:30.633105
-40.8073193	-46.9011679	38921.0	38121.0	38921.0	38121.0	2.0	38921.0	-800.0	19-12-23 19:25:33.909830
-42.3319204	-46.9013793	38921.0	38321.0	38921.0	38321.0	2.0	38921.0	-600.0	19-12-23 19:25:37.186468
-43.8563032	-46.901428	38921.0	38521.0	38921.0	38521.0	2.0	38921.0	-400.0	19-12-23 19:25:40.359938
-45.3805433	-46.9011921	38921.0	38721.0	38921.0	38721.0	2.0	38921.0	-200.0	19-12-23 19:25:43.535534
-46.9060509	-46.9012351	38921.0	38921.0	38921.0	38921.0	2.0	38921.0	0.0	19-12-23 19:25:46.709798
-48.4322053	-46.9012699	38921.0	39121.0	38921.0	39121.0	2.0	38921.0	200.0	19-12-23 19:25:49.986708
-49.9564137	-46.9011817	38921.0	39321.0	38921.0	39321.0	2.0	38921.0	400.0	19-12-23 19:25:53.161887
-51.4804255	-46.9012496	38921.0	39521.0	38921.0	39521.0	2.0	38921.0	600.0	19-12-23 19:25:56.334312
-53.0049556	-46.9011118	38921.0	39721.0	38921.0	39721.0	2.0	38921.0	800.0	19-12-23 19:25:59.509907
-54.5315298	-46.9013565	38921.0	39921.0	38921.0	39921.0	2.0	38921.0	1000.0	19-12-23 19:26:02.682991
-56.0560026	-46.9013657	38921.0	40121.0	38921.0	40121.0	2.0	38921.0	1200.0	19-12-23 19:26:05.959917
-57.5807302	-46.901452	38921.0	40321.0	38921.0	40321.0	2.0	38921.0	1400.0	19-12-23 19:26:09.134319
-57.5848731	-46.8743682	38921.0	40521.0	38921.0	40521.0	2.0	38921.0	1600.0	19-12-23 19:26:12.411039
-57.5526051	-46.8413693	38921.0	40721.0	38921.0	40721.0	2.0	38921.0	1800.0	19-12-23 19:26:15.689165
-57.5188413	-46.8099586	38921.0	40921.0	38921.0	40921.0	2.0	38921.0	2000.0	19-12-23 19:26:18.965837
