# keith - ch4, keys - ch3
Keithley V	Keysight V	hvpsu1	hvpsu2	hvpsu3	hvpsu4	Delay	a	b	
249.786898	249.76378	0.0	-500.0	0.0	-500.0	2.0	0.0	-500.0	19-12-23 18:59:29.027074
241.406036	237.59104	1613.4	1113.4	1613.4	1113.4	2.0	1613.4	-500.0	19-12-23 18:59:32.267622
229.105864	225.291304	3226.8	2726.8	3226.8	2726.8	2.0	3226.8	-500.0	19-12-23 18:59:35.561657
216.795589	212.981087	4840.2	4340.2	4840.2	4340.2	2.0	4840.2	-500.0	19-12-23 18:59:38.755293
204.496281	200.681371	6453.6	5953.6	6453.6	5953.6	2.0	6453.6	-500.0	19-12-23 18:59:42.032129
192.187894	188.372738	8067.0	7567.0	8067.0	7567.0	2.0	8067.0	-500.0	19-12-23 18:59:45.308902
179.885511	176.071964	9680.4	9180.4	9680.4	9180.4	2.0	9680.4	-500.0	19-12-23 18:59:48.585892
167.587276	163.773552	11293.8	10793.8	11293.8	10793.8	2.0	11293.8	-500.0	19-12-23 18:59:51.862443
155.276338	151.462742	12907.2	12407.2	12907.2	12407.2	2.0	12907.2	-500.0	19-12-23 18:59:55.139526
142.973549	139.160615	14520.6	14020.6	14520.6	14020.6	2.0	14520.6	-500.0	19-12-23 18:59:58.416638
130.666044	126.852888	16134.0	15634.0	16134.0	15634.0	2.0	16134.0	-500.0	19-12-23 19:00:01.693271
118.363192	114.550729	17747.4	17247.4	17747.4	17247.4	2.0	17747.4	-500.0	19-12-23 19:00:04.970036
106.062571	102.250933	19360.8	18860.8	19360.8	18860.8	2.0	19360.8	-500.0	19-12-23 19:00:08.246934
93.7529254	89.9417244	20974.2	20474.2	20974.2	20474.2	2.0	20974.2	-500.0	19-12-23 19:00:11.421361
81.4551254	77.6447244	22587.6	22087.6	22587.6	22087.6	2.0	22587.6	-500.0	19-12-23 19:00:14.698249
69.1473938	65.3378644	24201.0	23701.0	24201.0	23701.0	2.0	24201.0	-500.0	19-12-23 19:00:17.975495
56.8461758	53.035981	25814.4	25314.4	25814.4	25314.4	2.0	25814.4	-500.0	19-12-23 19:00:21.250739
44.5488105	40.7389458	27427.8	26927.8	27427.8	26927.8	2.0	27427.8	-500.0	19-12-23 19:00:24.528779
32.2411355	28.4313469	29041.2	28541.2	29041.2	28541.2	2.0	29041.2	-500.0	19-12-23 19:00:27.805762
19.9420562	16.1331339	30654.6	30154.6	30654.6	30154.6	2.0	30654.6	-500.0	19-12-23 19:00:31.082350
7.637456	3.82843194	32268.0	31768.0	32268.0	31768.0	2.0	32268.0	-500.0	19-12-23 19:00:34.359408
-4.66379508	-8.47200269	33881.4	33381.4	33881.4	33381.4	2.0	33881.4	-500.0	19-12-23 19:00:37.636422
-16.9635189	-20.7710232	35494.8	34994.8	35494.8	34994.8	2.0	35494.8	-500.0	19-12-23 19:00:40.912979
-29.2669466	-33.0785159	37108.2	36608.2	37108.2	36608.2	2.0	37108.2	-500.0	19-12-23 19:00:44.160448
-41.5685356	-45.3760656	38721.6	38221.6	38721.6	38221.6	2.0	38721.6	-500.0	19-12-23 19:00:47.364862
-53.8750839	-57.683656	40335.0	39835.0	40335.0	39835.0	2.0	40335.0	-500.0	19-12-23 19:00:50.641091
-66.176803	-69.9858383	41948.4	41448.4	41948.4	41448.4	2.0	41948.4	-500.0	19-12-23 19:00:53.917929
-78.4743711	-82.2843427	43561.8	43061.8	43561.8	43061.8	2.0	43561.8	-500.0	19-12-23 19:00:57.092531
-90.7814099	-94.5932645	45175.2	44675.2	45175.2	44675.2	2.0	45175.2	-500.0	19-12-23 19:01:00.265985
-103.084462	-106.893836	46788.6	46288.6	46788.6	46288.6	2.0	46788.6	-500.0	19-12-23 19:01:03.445915
-115.390151	-119.199477	48402.0	47902.0	48402.0	47902.0	2.0	48402.0	-500.0	19-12-23 19:01:06.718320
-127.692981	-131.501915	50015.4	49515.4	50015.4	49515.4	2.0	50015.4	-500.0	19-12-23 19:01:09.890837
-139.99377	-143.803688	51628.8	51128.8	51628.8	51128.8	2.0	51628.8	-500.0	19-12-23 19:01:13.066964
-152.298616	-156.114011	53242.2	52742.2	53242.2	52742.2	2.0	53242.2	-500.0	19-12-23 19:01:16.182906
-164.602087	-168.411174	54855.6	54355.6	54855.6	54355.6	2.0	54855.6	-500.0	19-12-23 19:01:19.415799
-176.911499	-180.718514	56469.0	55969.0	56469.0	55969.0	2.0	56469.0	-500.0	19-12-23 19:01:22.692753
-189.2142	-193.021414	58082.4	57582.4	58082.4	57582.4	2.0	58082.4	-500.0	19-12-23 19:01:25.969343
-201.512215	-205.319929	59695.8	59195.8	59695.8	59195.8	2.0	59695.8	-500.0	19-12-23 19:01:29.173996
-213.821205	-217.62869	61309.2	60809.2	61309.2	60809.2	2.0	61309.2	-500.0	19-12-23 19:01:32.420754
-226.124736	-229.930112	62922.6	62422.6	62922.6	62422.6	2.0	62922.6	-500.0	19-12-23 19:01:35.696316
-238.429128	-242.232933	64536.0	64036.0	64536.0	64036.0	2.0	64536.0	-500.0	19-12-23 19:01:38.974414
